world,T,n_sites,seed,mutual_dependence_between_sites,relation_persistence,component_coupling,network_propagation_depth,relational_nonfactorization,relational_excess,relation_shuffle_delta
W1_distinction_only,50,16,15,0.3166078976356732,0.0,0.0011892839258887,0.5028630445668503,0.3166078976356732,9.931817758144174,0.0011892839258887
W1_distinction_only,50,16,16,0.3164321616174251,0.0,0.0008763144717076,0.5025682273410116,0.3164321616174251,9.93377423419178,0.0008763144717076
W1_distinction_only,50,16,19,0.3160585303863861,0.0,-0.0094374999999999,0.503070625,0.3160585303863861,9.9397409953187,0.0
W1_distinction_only,50,16,18,0.3161714006496293,0.0,0.008,0.5034906250000001,0.3161714006496293,9.937193132082704,0.008
W1_distinction_only,50,16,17,0.3159045630040853,0.0,0.0017517517517517,0.5027671421421421,0.3159045630040853,9.942611946885272,0.0017517517517517
W1_distinction_only,100,16,1,0.3159389565391422,0.0,0.0065657828914457,0.5019215857928965,0.3159389565391422,9.937773095333924,0.0065657828914457
W1_distinction_only,100,16,0,0.3164465201371462,0.0,0.001628256513026,0.5013724323647295,0.3164465201371462,9.933770197654658,0.001628256513026
W1_distinction_only,100,16,2,0.3165150125013082,0.0,0.0,0.5010856910365549,0.3165150125013082,9.930133780328024,0.0
W1_distinction_only,100,16,3,0.316486139613578,0.0,0.0045045045045045,0.5009193568568568,0.316486139613578,9.931980083516477,0.0045045045045045
W1_distinction_only,100,16,4,0.3159622721854765,0.0,-0.003507014028056,0.5014388151302606,0.3159622721854765,9.938463354622897,0.0
W1_distinction_only,100,16,5,0.316855390231574,0.0,0.0021885942971486,0.5015029389694847,0.316855390231574,9.926433950257769,0.0021885942971486
W1_distinction_only,100,16,7,0.3169627815356162,0.0,0.0026315789473683,0.5013953634085214,0.3169627815356162,9.923580402770677,0.0026315789473683
W1_distinction_only,100,16,6,0.3159789185580403,0.0,0.0008767535070139,0.5015794088176353,0.3159789185580403,9.939349483043271,0.0008767535070139
W1_distinction_only,100,16,9,0.316439246202412,0.0,-0.002002002002002,0.5007032032032032,0.316439246202412,9.933644684832652,0.0
W1_distinction_only,100,16,8,0.3159876423407741,0.0,-0.0078828828828828,0.5004032157157158,0.3159876423407741,9.942490523660805,0.0
W1_distinction_only,100,16,11,0.3170313562314972,0.0,0.0027527527527527,0.5011786786786788,0.3170313562314972,9.925159586546156,0.0027527527527527
W1_distinction_only,100,16,10,0.3161432634236145,0.0,-6.262525050099166e-05,0.5013238977955912,0.3161432634236145,9.937288428088328,0.0
W1_distinction_only,100,16,14,0.3162195159104118,0.0,-0.0058779389694847,0.5012615682841421,0.3162195159104118,9.937363086338568,0.0
W1_distinction_only,100,16,15,0.3167294332899436,0.0,0.0048269809428285,0.5008538114343029,0.3167294332899436,9.930536856694117,0.0048269809428285
W1_distinction_only,100,16,13,0.3164350727284724,0.0,-0.001941382765531,0.5010214178356712,0.3164350727284724,9.93413055947815,0.0
W1_distinction_only,100,16,12,0.3161551376825506,0.0,0.0011278195488721,0.5008336466165413,0.3161551376825506,9.935691426435438,0.0011278195488721
W1_distinction_only,100,16,16,0.3161501288158775,0.0,-0.0006895687061183,0.5015393054162487,0.3161501288158775,9.935596545115114,0.0
W2_asymmetry_only,50,16,1,0.3164179653588189,0.0,-0.0104584168336673,0.5001740981963928,0.3164179653588189,9.93415557822055,0.0
W2_asymmetry_only,50,16,2,0.3161319774703947,0.0,-0.0038124999999999,0.499696875,0.3161319774703947,9.938159363960686,0.0
W2_asymmetry_only,50,16,0,0.3166334064500387,0.0,-0.0060685685685685,0.5000669419419419,0.3166334064500387,9.931198489473868,0.0
W2_asymmetry_only,50,16,3,0.3161479104262793,0.0,-0.0088301603206413,0.499568512024048,0.3161479104262793,9.937281635776044,0.0
W1_distinction_only,100,16,17,0.3164017792658868,0.0,0.0016290726817042,0.5014580200501253,0.3164017792658868,9.934419989695296,0.0016290726817042
W1_distinction_only,100,16,19,0.3161566906775203,0.0,0.0080120180270406,0.5009520530796194,0.3161566906775203,9.937027254219508,0.0080120180270406
W1_distinction_only,100,16,18,0.3160780703651089,0.0,-0.0019404106159239,0.5010637831747622,0.3160780703651089,9.939872098492714,0.0
W2_asymmetry_only,50,16,4,0.3162524991007383,0.0,0.0014389389389389,0.5001013513513513,0.3162524991007383,9.934827217769111,0.0014389389389389
W2_asymmetry_only,50,16,5,0.3164593356132661,0.0,-0.0039394697348674,0.500714732366183,0.3164593356132661,9.934285290900014,0.0
W2_asymmetry_only,50,16,7,0.3167381318335453,0.0,0.0013144717075613,0.5000000000000001,0.3167381318335453,9.929807414986056,0.0013144717075613
W2_asymmetry_only,50,16,6,0.3168760655216491,0.0,-0.0010025062656641,0.5003533834586467,0.3168760655216491,9.927573665997208,0.0
W2_asymmetry_only,50,16,8,0.3161494768514455,0.0,-0.0081956956956956,0.5002245995995995,0.3161494768514455,9.938615851316268,0.0
W2_asymmetry_only,50,16,9,0.3165416426635783,0.0,-0.0027568922305764,0.4990870927318295,0.3165416426635783,9.931139135474504,0.0
W2_asymmetry_only,50,16,10,0.3162783066324454,0.0,-0.0001252505010019,0.5003413076152304,0.3162783066324454,9.937091003931988,0.0
W2_asymmetry_only,50,16,11,0.3157409770216589,0.0,0.0035017508754376,0.4997686343171586,0.3157409770216589,9.946244253826986,0.0035017508754376
W2_asymmetry_only,50,16,12,0.3165147484838794,0.0,0.0026328986960882,0.50003259779338,0.3165147484838794,9.932673484647022,0.0026328986960882
W2_asymmetry_only,50,16,13,0.3165500774284169,0.0,-0.0009375,0.5001087500000001,0.3165500774284169,9.929370874501316,0.0
W2_asymmetry_only,50,16,14,0.317102696551245,0.0,0.0005627813906953,0.5003801900950475,0.317102696551245,9.923345151023296,0.0005627813906953
W2_asymmetry_only,50,16,15,0.3164281714689178,0.0,0.0014411027568922,0.5003339598997494,0.3164281714689178,9.934381392678766,0.0014411027568922
W2_asymmetry_only,50,16,17,0.3160426961688786,0.0,0.0003128128128128,0.499054054054054,0.3160426961688786,9.938771926176443,0.0003128128128128
W2_asymmetry_only,50,16,16,0.3160581469481795,0.0,0.0039453907815631,0.5002386022044089,0.3160581469481795,9.938323261478352,0.0039453907815631
W2_asymmetry_only,50,16,18,0.3160241571390982,0.0,-0.0028764382191096,0.5002107303651826,0.3160241571390982,9.938557695925528,0.0
W2_asymmetry_only,50,16,19,0.3169991159961323,0.0,-0.0026315789473684,0.4996234335839599,0.3169991159961323,9.924661241229028,0.0
W2_asymmetry_only,100,16,1,0.3176794490662175,0.0,0.0015687751004015,0.5004866340361446,0.3176794490662175,9.9146883367588,0.0015687751004015
W2_asymmetry_only,100,16,0,0.3162200837921026,0.0,6.265664160404194e-05,0.5003063909774436,0.3162200837921026,9.93832912160094,6.265664160404194e-05
W2_asymmetry_only,100,16,3,0.3166107329279577,0.0,0.0029522613065326,0.5000537060301508,0.3166107329279577,9.929847922009236,0.0029522613065326
W2_asymmetry_only,100,16,2,0.3176638725135619,0.0,-0.0031375502008031,0.5000571034136547,0.3176638725135619,9.915623210529912,0.0
W2_asymmetry_only,100,16,4,0.3164381869804931,0.0,-0.0062688064192578,0.5000275827482448,0.3164381869804931,9.934608055703006,0.0
W2_asymmetry_only,100,16,6,0.3168036126505508,0.0,0.0043903662819869,0.5000470396387356,0.3168036126505508,9.927933212623111,0.0043903662819869
W2_asymmetry_only,100,16,5,0.3161536886502037,0.0,-0.0096442885771542,0.5000970691382766,0.3161536886502037,9.93909404197538,0.0
W2_asymmetry_only,100,16,7,0.3163354895831135,0.0,0.0076005025125627,0.5001058417085428,0.3163354895831135,9.935729224255878,0.0076005025125627
W2_asymmetry_only,100,16,8,0.3168345767382053,0.0,0.0003761283851554,0.5003745611835506,0.3168345767382053,9.928560482488631,0.0003761283851554
W2_asymmetry_only,100,16,9,0.316407639482087,0.0,0.002630260521042,0.4997006513026051,0.316407639482087,9.935991462788564,0.002630260521042
W2_asymmetry_only,100,16,10,0.3168096909124946,0.0,0.0058867735470941,0.4997156813627254,0.3168096909124946,9.926866415228266,0.0058867735470941
W2_asymmetry_only,100,16,11,0.316527672606429,0.0,0.0036377320622177,0.4992520697441044,0.316527672606429,9.931983799936068,0.0036377320622177
W2_asymmetry_only,100,16,12,0.3168451649506921,0.0,-0.0004390366281986,0.4997453587556448,0.3168451649506921,9.92604900084421,0.0
W2_asymmetry_only,100,16,13,0.3169948816985067,0.0,0.0045877325289089,0.4995858471593766,0.3169948816985067,9.924046035877774,0.0045877325289089
W2_asymmetry_only,100,16,14,0.3170932609222652,0.0,-0.0035087719298245,0.4998837719298245,0.3170932609222652,9.92338943455795,0.0
W2_asymmetry_only,100,16,15,0.3163418839433889,0.0,0.0033885542168675,0.4999755271084337,0.3163418839433889,9.933408774027988,0.0033885542168675
W3_relation_only,50,16,1,0.3201699367873181,0.6032487341772151,0.1050632911392405,0.5019892405063291,0.3201699367873181,9.87081347402779,0.1050632911392405
W3_relation_only,50,16,0,0.3191664917172621,0.6034288238263503,0.0952801615345784,0.502943589096416,0.3191664917172621,9.891144554286877,0.0952801615345784
W3_relation_only,50,16,2,0.3193174693140545,0.6032054204660587,0.0951114488348531,0.5022973657548125,0.3193174693140545,9.885515241450967,0.0951114488348531
W3_relation_only,50,16,3,0.3185657814549447,0.6024987373737374,0.0921085858585858,0.5024135101010101,0.3185657814549447,9.898797293772809,0.0921085858585858
W2_asymmetry_only,100,16,18,0.31653627617961,0.0,0.0005017561465128,0.5002972905168088,0.31653627617961,9.93014772598536,0.0005017561465128
W2_asymmetry_only,100,16,17,0.316708304868731,0.0,-0.0036340852130326,0.4996356516290726,0.316708304868731,9.930328298446549,0.0
W2_asymmetry_only,100,16,16,0.3162192015247152,0.0,0.002571500250878,0.5001207350727548,0.3162192015247152,9.937905489544324,0.002571500250878
W3_relation_only,50,16,5,0.3187659545069788,0.6031619504800404,0.0885548256695301,0.5034828196058615,0.3187659545069788,9.897695878583042,0.0885548256695301
W3_relation_only,50,16,4,0.3186501028707086,0.6030238877654196,0.0887259858442871,0.5031825075834176,0.3186501028707086,9.898444216373502,0.0887259858442871
W2_asymmetry_only,100,16,19,0.3163053687862413,0.0,0.0059523809523809,0.500265977443609,0.3163053687862413,9.936382683072305,0.0059523809523809
W3_relation_only,50,16,7,0.317998332472497,0.6037783232628399,0.0913897280966767,0.5027530211480361,0.317998332472497,9.909573166616122,0.0913897280966767
W3_relation_only,50,16,6,0.3184884906993117,0.6026640585562847,0.0882761231701161,0.5018772084805654,0.3184884906993117,9.898679556439069,0.0882761231701161
W3_relation_only,50,16,8,0.3189976437086608,0.602677304964539,0.0915020263424518,0.5029331306990881,0.3189976437086608,9.893693430216985,0.0915020263424518
W3_relation_only,50,16,9,0.3189056539615892,0.6020810196870268,0.0948384654215043,0.5038137304391721,0.3189056539615892,9.89279048085349,0.0948384654215043
W3_relation_only,50,16,10,0.3187544817897889,0.6047020791075051,0.0928625760649087,0.5032213488843813,0.3187544817897889,9.896131602696409,0.0928625760649087
W3_relation_only,50,16,11,0.3185866199750528,0.6037176724137931,0.0887423935091278,0.502873985801217,0.3185866199750528,9.897872510598528,0.0887423935091278
W3_relation_only,50,16,13,0.317988711398895,0.6028820850202429,0.0882464574898785,0.5021577682186235,0.317988711398895,9.909767150061118,0.0882464574898785
W3_relation_only,50,16,12,0.3185583768334679,0.6023457258472433,0.0926277187658067,0.5037696004046536,0.3185583768334679,9.897667162939548,0.0926277187658067
W3_relation_only,50,16,14,0.3186766287983938,0.6029453441295547,0.0963436234817813,0.503194585020243,0.3186766287983938,9.897379154136573,0.0963436234817813
