world,T,n_sites,metric,mean,std,ci_low,ci_high,n_seeds
W3_relation_only,50,16,time_reversal_asymmetry,0.0,0.0,0.0,0.0,20
W3_relation_only,50,16,relational_nonfactorization,0.3187503790291148,0.0005031606161236905,0.3185538705332591,0.3189421089136626,20
W3_relation_only,50,16,structured_viable_richness,14.204785185883674,0.035372124903384296,14.19170583172603,14.217734705283684,20
W3_relation_only,50,16,DAR_branch_score,15.076625381549926,0.0348939011790339,15.059819514086046,15.093486291202199,20
W3_relation_only,100,16,lineage_survival_depth,0.5262962145783184,0.0008603830190337414,0.5260322337179925,0.5266902045291645,20
W3_relation_only,100,16,time_reversal_asymmetry,0.0,0.0,0.0,0.0,20
W3_relation_only,100,16,relational_nonfactorization,0.31967649939160336,0.00044938976414983875,0.31951395690602613,0.31986889966559284,20
W3_relation_only,100,16,structured_viable_richness,14.051199492436947,0.039807994455401494,14.039909344035632,14.06955514523316,20
W3_relation_only,100,16,DAR_branch_score,14.89717220640687,0.0394728328182785,14.881079584691555,14.911970120419097,20
W4_distinction_asymmetry,50,16,lineage_survival_depth,0.5183726368075355,0.000823737244159625,0.5179998765852525,0.5187540138126419,20
W4_distinction_asymmetry,50,16,time_reversal_asymmetry,0.0,0.0,0.0,0.0,20
W4_distinction_asymmetry,50,16,relational_nonfactorization,0.3164564688139147,0.00037168879020618305,0.31626694893197194,0.3166246299337321,20
W4_distinction_asymmetry,50,16,structured_viable_richness,14.367826347615672,0.01137325837219033,14.363591586527377,14.37327712410915,20
W4_distinction_asymmetry,50,16,DAR_branch_score,15.202655453237124,0.011430041308425279,15.197333421340037,15.20825372330905,20
W4_distinction_asymmetry,100,16,lineage_survival_depth,0.5091573062960552,0.0006132536458862026,0.5089119315033893,0.509381999508522,20
W4_distinction_asymmetry,100,16,time_reversal_asymmetry,0.0,0.0,0.0,0.0,20
W4_distinction_asymmetry,100,16,relational_nonfactorization,0.31680560345822234,0.00032952511478009076,0.31666665110813236,0.3169210658044484,20
W4_distinction_asymmetry,100,16,structured_viable_richness,14.345266060193262,0.014623307095725674,14.340100970754973,14.351633682224005,20
W4_distinction_asymmetry,100,16,DAR_branch_score,15.171228969947538,0.014480555644231083,15.16454222906349,15.177832402747143,20
W5_distinction_relation,50,16,lineage_survival_depth,0.5530287512432144,0.0015740877621236073,0.5524019216812184,0.5536210786246034,20
W5_distinction_relation,50,16,time_reversal_asymmetry,0.0,0.0,0.0,0.0,20
W5_distinction_relation,50,16,relational_nonfactorization,0.3185390647129341,0.0003466670553902104,0.3183769960842491,0.3186841500548929,20
W5_distinction_relation,50,16,structured_viable_richness,14.213919278753224,0.028671962285691945,14.203669269341463,14.227397791446995,20
W5_distinction_relation,50,16,DAR_branch_score,15.085487094709373,0.028532180152563674,15.075296691844379,15.096147650524049,20
W5_distinction_relation,100,16,lineage_survival_depth,0.5267589743619475,0.0009759041136975875,0.526410266211581,0.5271006044529916,20
W5_distinction_relation,100,16,time_reversal_asymmetry,0.0,0.0,0.0,0.0,20
W5_distinction_relation,100,16,relational_nonfactorization,0.3193358861065185,0.0004633768861610622,0.3191229725228136,0.31949761516214986,20
W5_distinction_relation,100,16,structured_viable_richness,14.05900613230709,0.04108040422555243,14.039957950359936,14.072393831108137,20
W5_distinction_relation,100,16,DAR_branch_score,14.905100992775555,0.04077827741070384,14.889213096984175,14.918309968272592,20
W6_asymmetry_relation,50,16,lineage_survival_depth,0.5149775742732534,0.0008779033427080195,0.5145782901266686,0.5152195183895506,20
W6_asymmetry_relation,50,16,time_reversal_asymmetry,0.0,0.0,0.0,0.0,20
W6_asymmetry_relation,50,16,relational_nonfactorization,0.3165645139857587,0.00038707863995512585,0.31639310759496436,0.31669180116074275,20
W6_asymmetry_relation,50,16,structured_viable_richness,14.344899854654178,0.02063724725546167,14.338168811753507,14.353377775736037,20
W6_asymmetry_relation,50,16,DAR_branch_score,15.17644194291319,0.020328021112092965,15.168092705802358,15.18590418630234,20
W6_asymmetry_relation,100,16,lineage_survival_depth,0.5075726578007761,0.0004822373292932417,0.5073765907818852,0.5077933065850997,20
