condition,kappa,alpha,T,seed,singleton_fraction,small_fiber_fraction,component_balance,viable_propagation_index,estimator_warning
endpoint_fakeout,time_shuffled_COM,0.5,900,1,0.0,0.1111111111111111,0.6987937239287506,0.3342703071537309,
endpoint_fakeout,random_balanced_k_COM_cardinality,0.5,900,1,0.0,0.0,0.5180035965554265,0.5180035965554265,
endpoint_fakeout,hash_high_cardinality,0.5,900,1,0.3453908984830805,0.7042007001166861,0.1535303183691426,0.0,
endpoint_fakeout,joint_basin,0.5,900,1,0.0,0.0,1.0,0.991014,
endpoint_fakeout,boundary_v2_regime_sequence,0.5,900,1,0.0,0.0,1.0,0.9903553333333333,
endpoint_fakeout,basin_transition_profile,0.5,900,1,0.0,0.0454545454545454,0.5547503933692373,0.5175749052583845,
rigid_collapse,center_of_mass,0.5,900,1,0.0,0.0,1.0,1.0,
rigid_collapse,component_A_only,0.5,900,1,0.0,0.0,0.5252806595528989,0.0,
rigid_collapse,component_B_only,0.5,900,1,0.0,0.0,0.7513008204359181,0.7513008204359181,
rigid_collapse,time_shuffled_COM,0.5,900,1,0.0,0.0,1.0,1.0,
rigid_collapse,random_balanced_k_COM_cardinality,0.5,900,1,0.0,0.0,0.8631523358162132,0.8631523358162132,
rigid_collapse,hash_high_cardinality,0.5,900,1,0.0714285714285714,0.1428571428571428,0.2369869450087616,0.0,
rigid_collapse,joint_basin,0.5,900,1,0.0,0.0,1.0,1.0,
rigid_collapse,boundary_v2_regime_sequence,0.5,900,1,0.0,0.0,1.0,1.0,
rigid_collapse,basin_transition_profile,0.5,900,1,0.0,0.0,0.6497455498401022,0.6497455498401022,
delayed_trap,center_of_mass,0.5,900,1,0.0,0.1111111111111111,0.58644198682224,0.3415750900312365,
delayed_trap,component_A_only,0.5,900,1,0.0,0.0625,0.468217048784924,0.0,
delayed_trap,component_B_only,0.5,900,1,0.0,0.0,0.7389397867854619,0.7331595534599638,
delayed_trap,time_shuffled_COM,0.5,900,1,0.0,0.1111111111111111,0.58644198682224,0.3181955050829253,
delayed_trap,random_balanced_k_COM_cardinality,0.5,900,1,0.0,0.0,0.4056790834427342,0.4056790834427342,
delayed_trap,hash_high_cardinality,0.5,900,1,0.4098124098124098,0.7914862914862915,0.1586685698031415,0.0,
delayed_trap,joint_basin,0.5,900,1,0.0,0.0,0.998021289413026,0.9865719891808796,
delayed_trap,boundary_v2_regime_sequence,0.5,900,1,0.0,0.0,1.0,0.9918463333333334,
delayed_trap,basin_transition_profile,0.5,900,1,0.0555555555555555,0.3888888888888889,0.5212799512475286,0.4827613158899665,
noise_fakeout,center_of_mass,0.5,900,1,0.1363636363636363,0.1363636363636363,1.0,0.0464737121212121,
