alpha,T,seed,condition,kappa,condition_family,threshold,component_threshold,p_viable,node_count,node_entropy,node_singleton_fraction,macro_path_entropy,fiber_entropy,singleton_fraction,small_fiber_fraction,certified_node_fraction,certified_edge_count,certified_edge_fraction,transport_survival_mean,certified_path_count,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,mean_certified_path_length,max_certified_path_length,component_A_preservation,component_B_preservation,component_balance,lower_rank_erasure_score,edge_component_balance_mean,nonfragmentation,viable_propagation_index,delta_vs_product,delta_vs_shuffled,delta_vs_time_shuffled,component_necessity_A,component_necessity_B,component_necessity_min,ordered_edge_predictivity,edge_order_delta_vs_time_shuffled,edge_order_delta_vs_endpoint_fakeout,local_edge_survival_min,edge_transition_consistency,within_fiber_A_diversity,within_fiber_B_diversity,within_fiber_component_balance,within_fiber_effective_radius,rigid_collapse_diversity_delta,early_edge_survival,middle_edge_survival,late_edge_survival,late_to_early_transport_ratio,final_segment_certified_mass,delayed_trap_late_delta,base_signal_positive,R1_component_necessity_pass,R2_edge_order_pass,R3_nondegeneracy_pass,R4_late_retention_pass,refined_positive
0.5,900,1,coupled,component_A_only,base,main,0.6,1.0,76,2.969077016323177,0.131578947368421,2.969077016323177,2.969077016323177,0.0,0.0625,0.868421052631579,51,0.2756756756756757,0.1058333333333333,59,0.059,0.0632857142857142,0.391,6,0.8969021442642817,0.5096172661442236,0.5096172661442236,0.4903827338557763,0.1733388351636088,1.0,0.0031821351460155,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,1,coupled,component_B_only,base,main,0.6,1.0,36,1.9478683881715708,0.1111111111111111,1.9478683881715708,1.9478683881715708,0.0,0.0,0.8888888888888888,78,0.9069767441860463,0.9976666666666668,991,0.991,0.9937619047619048,5.97,6,1.0,0.7767942234796362,0.7767942234796362,0.2232057765203637,0.1382541649911983,1.0,0.7680068682922269,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,1,coupled,time_shuffled_COM,base,main,0.6,1.0,51,2.1507417472511827,0.1372549019607843,2.1507417472511827,2.1507417472511827,0.0,0.1111111111111111,0.8627450980392157,75,0.6302521008403361,0.8033333333333333,623,0.623,0.7205238095238096,4.647,6,1.0,0.7035214311360803,0.7035214311360803,0.2964785688639196,0.2025428656963472,1.0,0.3520960607835484,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,1,coupled,random_balanced_k_COM_cardinality,base,main,0.6,1.0,49,2.8063205118066867,0.0,2.8063205118066867,2.8063205118066867,0.0,0.0,1.0,294,1.0,1.0,1000,1.0,1.0,6.0,6,0.9489192454042442,0.5391732361518995,0.5391732361518995,0.4608267638481005,0.2579634966902807,1.0,0.5391732361518995,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,1,coupled,hash_high_cardinality,base,main,0.6,1.0,3328,9.896395021814152,0.9092548076923076,9.896395021814152,9.896395021814152,0.341025641025641,0.7,0.0907451923076923,0,0.0,0.0,0,0.0,0.0,0.0,0,0.2690850088902264,0.1528933423428458,0.1528933423428458,0.8471066576571542,0.1428329952670723,0.658974358974359,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
0.5,900,1,product,component_A_only,base,main,0.6,0.998,94,2.878552402060892,0.2446808510638297,2.878552402060892,2.878552402060892,0.1111111111111111,0.1666666666666666,0.7553191489361702,18,0.0845070422535211,0.0141950567802271,3,0.003006012024048,0.0067754556732512,0.0621242484969939,6,0.828588992357806,0.3352013909850461,0.3352013909850461,0.6647986090149539,0.1558357281514091,0.8888888888888888,1.2713968678273457e-05,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,1,product,component_B_only,base,main,0.6,0.998,35,1.4780140251900804,0.1714285714285714,1.4780140251900804,1.4780140251900804,0.0,0.0,0.8285714285714286,67,0.8701298701298701,0.9971609886439544,990,0.9919839679358716,0.9922702547953048,5.955911823647295,6,1.0,0.652831943912079,0.652831943912079,0.347168056087921,0.1103139701964707,1.0,0.6457602817070403,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,1,product,time_shuffled_COM,base,main,0.6,0.998,56,2.030350429300125,0.2321428571428571,2.030350429300125,2.030350429300125,0.0,0.1,0.7678571428571429,66,0.5641025641025641,0.7344689378757515,539,0.5400801603206413,0.6197156217196298,4.013026052104208,6,1.0,0.4752355826214503,0.4752355826214503,0.5247644173785497,0.2252898967769687,1.0,0.1885126973698508,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,1,product,random_balanced_k_COM_cardinality,base,main,0.6,0.998,56,2.9994507685770224,0.0,2.9994507685770224,2.9994507685770224,0.0,0.0,1.0,384,1.0,1.0,998,1.0,1.0,6.0,6,0.7951911927543709,0.3216904839054635,0.3216904839054635,0.6783095160945365,0.2201085187681557,1.0,0.3216904839054635,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
0.5,900,1,product,hash_high_cardinality,base,main,0.6,0.998,3672,9.513676661093994,0.9395424836601308,9.513676661093994,9.513676661093994,0.3354735152487961,0.6436597110754414,0.0604575163398692,0,0.0,0.0,0,0.0,0.0,0.0,0,0.2507061065073558,0.1014218586112008,0.1014218586112008,0.8985781413887991,0.0462320067739204,0.6645264847512038,0.0,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
