alpha,T,seed,ordered_edge_predictivity,edge_order_delta_vs_time_shuffled,edge_order_delta_vs_endpoint_fakeout,local_edge_survival_min,edge_transition_consistency
0.5,900,1,0.7417754857764304,0.0144335441687198,0.0570500884970982,0.692,0.7417754857764304
0.5,900,3,0.7334678289324473,0.0896970700163592,0.0665057896948929,0.6816816816816816,0.7334678289324473
0.5,900,2,0.7465990282830063,0.0831941247998696,0.0771365508220216,0.6933867735470942,0.7465990282830063
0.5,900,5,0.7399171591359553,0.0347923203080644,0.0809720165734084,0.7047047047047047,0.7399171591359553
0.5,900,4,0.7300588635308346,0.0573748779143984,0.0512906254028207,0.685370741482966,0.7300588635308346
0.5,900,0,0.7330718967666208,0.0876598352225542,0.0832652895846433,0.707,0.7330718967666208
0.5,900,6,0.7338328701336627,0.098282950670548,0.061685161904879,0.694,0.7338328701336627
0.5,900,7,0.7365963805782909,0.0805885766141611,0.0550097002612972,0.6696787148594378,0.7365963805782909
