alpha,T,condition,threshold,kappa,seed,certified_node_fraction,certified_edge_fraction,certified_path_count,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,transport_survival_mean,viable_propagation_index,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction,small_fiber_fraction,label_imbalance,macro_node_entropy,macro_path_entropy,breadth_index,p_viable,Delta_viable_propagation_vs_product,Delta_viable_propagation_vs_shuffled,Delta_R,Delta_H_weighted
0.45,900,coupled,main,boundary_v2_regime_sequence,49.5,0.6377185856798859,0.9975625604018356,8.27,0.9945145849535784,0.9947454404784133,0.9975625604018356,0.6218614046358151,1.0,1.0,0.0,0.3732162815329627,0.5473063245140913,0.5084045466862998,0.6658574429920336,2.0424669882073956,0.17684750725162818,0.9990066666666667,-0.11293103627807866,-0.10741659909567136,-1.2065528288451914,-1.2048453065972002
0.45,900,coupled,main,center_of_mass,49.5,0.7666693854922735,0.8018827255345649,256.25,0.6398156665331353,0.6488264881907619,0.8018827255345649,0.2363097205283594,1.0,0.8019622074695318,0.099018896265234,0.4256775047356757,0.7475681152095508,0.20634315922359991,2.1155786079522616,7.007517250920276,0.6067475496067894,0.9990066666666667,0.045561842594426666,0.04636752761597715,0.10409400116552359,0.10507213743349464
0.45,900,coupled,main,joint_basin,49.5,0.6769614209320092,0.9948232097657559,148.66,0.9871873318566459,0.9892865758087815,0.9948232097657559,0.5117589949609798,1.0,1.0,0.0,0.478901436027343,0.7548517676335393,0.4077587330626515,1.2476020109229684,4.435399305159423,0.38404009380287646,0.9990066666666667,-0.016395165350121532,-0.010452096557728274,3.2656595196388425,3.2625988904157324
0.45,1500,coupled,main,boundary_v2_regime_sequence,49.5,0.6340690943043884,0.9977389987823381,4.44,0.9937693085803356,0.9940154693362945,0.9977389987823381,0.651895117155646,1.0,1.0,0.0,0.34255604178243493,0.5636906072943225,0.5535078134327074,0.5487862702229708,1.631727373559825,0.1412864472171197,0.99884,-0.12218654850804123,-0.1312224598985393,-2.2012011364784505,-2.198596637446668
0.45,1500,coupled,main,center_of_mass,49.5,0.7965701443212293,0.8775589604458242,338.12,0.6715552435826097,0.6778413703686275,0.8775589604458242,0.25004511883947894,1.0,0.7762657335424358,0.11186713322878207,0.45342912539962166,0.7713767859685942,0.16240822499692043,2.0208531660194082,7.666433733713757,0.6638137939237545,0.99884,0.05915785462770326,0.05734324958322051,0.3218811005312352,0.3216056458230616
0.45,1500,coupled,main,joint_basin,49.5,0.7267237169061173,0.9962890491957656,309.79,0.9901485959502927,0.9909612640119443,0.9962890491957656,0.5141928867988232,1.0,0.9968599250979189,0.0015700374510405175,0.477149424686418,0.7473858006304097,0.2897042521925529,1.4443502130138477,5.9496459198577805,0.515162239668119,0.99884,-0.05448258432716879,-0.06219490765408742,4.857194471331984,4.851574691764553
0.45,2400,coupled,main,boundary_v2_regime_sequence,49.5,0.7308029788838613,0.9989059374331692,5.5,0.996522510628703,0.9966386865128858,0.9989059374331692,0.7354035937547232,1.0,1.0,0.0,0.26125840825840824,0.36748909423909426,0.626141019700303,0.47812286256582076,1.2257320956458084,0.10613270485409869,0.9988266666666666,-0.06233399339009782,-0.06139456227651208,-3.1190074114316966,-3.1157822500196577
0.45,2400,coupled,main,center_of_mass,49.5,0.8002265611492068,0.9311683685199006,465.75,0.7304259915183576,0.7349379579676888,0.9311683685199006,0.2540800073368561,1.0,0.7218171287589448,0.13909143562052761,0.482455807894255,0.7989564826550357,0.12654293777393813,1.964832956937481,8.295590908745314,0.7182919540410658,0.9988266666666666,0.07110850635718166,0.0713242690610578,0.6786874024722804,0.6771293855694189
0.45,2400,coupled,main,joint_basin,49.5,0.7537000151966946,0.9972801800338396,464.75,0.9917736852320376,0.9924066514768648,0.9972801800338396,0.4436939107835899,1.0,0.9296229380319444,0.03518853098402775,0.5174273707533777,0.8003406824138127,0.2771879878660099,1.4648934382342014,6.441362919933864,0.557739542529869,0.9988266666666666,-0.14941175970287157,-0.16011544647005727,5.456847158881331,5.450346006638805
0.5,900,coupled,main,boundary_v2_regime_sequence,49.5,0.6085399528232345,0.9971574716900592,6.55,0.9935730204541702,0.993984889188537,0.9971574716900592,0.6415656583696117,1.0,1.0,0.0,0.3524738519564371,0.5670538341517444,0.5179221382078876,0.640284430818677,1.953057625377117,0.1691077702426171,0.9989199999999999,-0.09260278557410873,-0.09503888582925879,-1.2934103001798398,-1.2919376661373827
