alpha,T,condition,threshold,kappa,metric,mean,std,se,ci_low,ci_high
0.45,1500,product,strict,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,product,strict,boundary_v2_regime_sequence,singleton_fraction,0.21977243423459059,0.034352584665628016,0.0034352584665628015,0.21291160736113898,0.2263018085203228
0.45,1500,product,strict,center_of_mass,viable_propagation_index,0.18774626341997494,0.008363113418681364,0.0008363113418681364,0.18613831372880188,0.18925754792182084
0.45,1500,product,strict,center_of_mass,component_B_preservation,0.7148757576891666,0.00781514457258192,0.0007815144572581921,0.7130797515161895,0.7162930386773624
0.45,1500,product,strict,center_of_mass,singleton_fraction,0.4377418882411012,0.022296816452376963,0.0022296816452376965,0.4338628516639226,0.4422158828043991
0.45,1500,product,strict,joint_basin,viable_propagation_index,0.5661227884522306,0.07247001594814358,0.007247001594814358,0.5520329266582675,0.579277920731905
0.45,1500,product,strict,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,product,strict,joint_basin,singleton_fraction,0.42793006111762383,0.07301828192460562,0.007301828192460562,0.41364694456588674,0.44480110096539577
0.45,1500,shuffled,loose,boundary_v2_regime_sequence,viable_propagation_index,0.786148475283472,0.034099519450596756,0.0034099519450596755,0.7800391661598217,0.7925672371325311
0.45,1500,shuffled,loose,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0
0.45,1500,shuffled,loose,boundary_v2_regime_sequence,singleton_fraction,0.2107367815171483,0.03395670625272939,0.003395670625272939,0.20434176492116968,0.21680323841190263
0.45,1500,shuffled,loose,center_of_mass,viable_propagation_index,0.19434461880009948,0.007649979076114712,0.0007649979076114712,0.1928541261222461,0.1958009286328554
