kappa,variant_id,split,alpha,T,component_A_preservation,component_B_preservation,lower_rank_erasure_score
boundary_v2_regime_sequence,noise_test_001,test,0.525,2400,1.0,1.0,0.0
center_of_mass,noise_test_001,test,0.525,2400,1.0,0.8033150297319471,0.09834248513402633
identity_diagnostic,noise_test_001,test,0.525,2400,0.895288110714043,0.6518339874094627,0.2264389509382471
joint_basin,noise_test_001,test,0.525,2400,1.0,0.997713636726759,0.0011431816366205601
predictive_kmeans_k13,noise_test_001,test,0.525,2400,1.0,0.7511063830667921,0.12444680846660391
predictive_kmeans_k21,noise_test_001,test,0.525,2400,0.9380299256956376,0.6829523057901287,0.18950888425711684
predictive_kmeans_k5,noise_test_001,test,0.525,2400,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_001,test,0.525,2400,1.0,0.9643174118712367,0.017841294064381633
predictive_kmeans_no_COM_k13,noise_test_001,test,0.525,2400,0.9976967528139963,0.7273106195071865,0.13749631383940863
predictive_kmeans_no_COM_k8,noise_test_001,test,0.525,2400,1.0,0.9493974375126838,0.025301281243658064
random_matched_predictive_kmeans_k13,noise_test_001,test,0.525,2400,0.8952922486718583,0.6518369943990698,0.22643537846453582
random_matched_predictive_kmeans_k21,noise_test_001,test,0.525,2400,0.8952886264125567,0.6518343612244122,0.2264385061815155
random_matched_predictive_kmeans_k5,noise_test_001,test,0.525,2400,0.8981973861484939,0.6539524502672833,0.22392508179211137
random_matched_predictive_kmeans_k8,noise_test_001,test,0.525,2400,0.8954018982544893,0.6519169208677204,0.22634059043889512
random_matched_predictive_kmeans_no_COM_k13,noise_test_001,test,0.525,2400,0.8952922486718583,0.6518369943990698,0.22643537846453582
random_matched_predictive_kmeans_no_COM_k8,noise_test_001,test,0.525,2400,0.8954018982544893,0.6519169208677204,0.22634059043889512
all_one_diagnostic,noise_test_002,test,0.525,1500,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_002,test,0.525,1500,1.0,1.0,0.0
center_of_mass,noise_test_002,test,0.525,1500,1.0,0.8318450972883317,0.08407745135583411
identity_diagnostic,noise_test_002,test,0.525,1500,0.8517196851868172,0.62749962386644,0.2603903454733714
joint_basin,noise_test_002,test,0.525,1500,1.0,0.9985114264557855,0.0007442867721072727
predictive_kmeans_k13,noise_test_002,test,0.525,1500,0.9948321023862633,0.7332060161535381,0.13598094073009923
predictive_kmeans_k21,noise_test_002,test,0.525,1500,0.8992388980388523,0.6625090472991165,0.2191260273310155
predictive_kmeans_k5,noise_test_002,test,0.525,1500,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_002,test,0.525,1500,1.0,0.9274585535466567,0.036270723226671554
predictive_kmeans_no_COM_k13,noise_test_002,test,0.525,1500,0.9827820541107916,0.7240590674742258,0.1465794392074913
predictive_kmeans_no_COM_k8,noise_test_002,test,0.525,1500,1.0,0.9240254609319986,0.03798726953400066
random_matched_predictive_kmeans_k13,noise_test_002,test,0.525,1500,0.8517236192850113,0.6275025255068123,0.2603869276040882
random_matched_predictive_kmeans_k21,noise_test_002,test,0.525,1500,0.8517201779158481,0.627499983010654,0.2603899195367489
random_matched_predictive_kmeans_k5,noise_test_002,test,0.525,1500,0.8544895350945336,0.6295402081554594,0.2579851283750034
random_matched_predictive_kmeans_k8,noise_test_002,test,0.525,1500,0.8518285188207702,0.6275798060860374,0.2602958375465962
random_matched_predictive_kmeans_no_COM_k13,noise_test_002,test,0.525,1500,0.8517236192850113,0.6275025255068123,0.2603869276040882
random_matched_predictive_kmeans_no_COM_k8,noise_test_002,test,0.525,1500,0.8518285188207702,0.6275798060860374,0.2602958375465962
all_one_diagnostic,noise_test_002,test,0.525,2400,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_002,test,0.525,2400,1.0,1.0,0.0
center_of_mass,noise_test_002,test,0.525,2400,1.0,0.802347934610509,0.09882603269474544
identity_diagnostic,noise_test_002,test,0.525,2400,0.8949791376634156,0.6512765607356938,0.22687215080044523
joint_basin,noise_test_002,test,0.525,2400,1.0,0.9967977960454113,0.0016011019772943268
predictive_kmeans_k13,noise_test_002,test,0.525,2400,1.0,0.7503320983338533,0.12483395083307329
predictive_kmeans_k21,noise_test_002,test,0.525,2400,0.9371746602033908,0.6819794315291758,0.19042295413371665
predictive_kmeans_k5,noise_test_002,test,0.525,2400,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_002,test,0.525,2400,1.0,0.9628937002894082,0.018553149855295853
predictive_kmeans_no_COM_k13,noise_test_002,test,0.525,2400,0.9972838812823228,0.7261781341717721,0.13826899227295247
predictive_kmeans_no_COM_k8,noise_test_002,test,0.525,2400,1.0,0.9479021872288693,0.02604890638556531
random_matched_predictive_kmeans_k13,noise_test_002,test,0.525,2400,0.8949832729432735,0.6512795708491851,0.22686857810377067
random_matched_predictive_kmeans_k21,noise_test_002,test,0.525,2400,0.8949796528061889,0.6512769359856118,0.22687170560409967
random_matched_predictive_kmeans_k5,noise_test_002,test,0.525,2400,0.8978855550389072,0.6533913872060424,0.2243615288775252
random_matched_predictive_kmeans_k8,noise_test_002,test,0.525,2400,0.8950929426809386,0.6513593522467334,0.22677385253616397
random_matched_predictive_kmeans_no_COM_k13,noise_test_002,test,0.525,2400,0.8949832729432735,0.6512795708491851,0.22686857810377067
random_matched_predictive_kmeans_no_COM_k8,noise_test_002,test,0.525,2400,0.8950929426809386,0.6513593522467334,0.22677385253616397
all_one_diagnostic,noise_test_003,test,0.525,1500,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_003,test,0.525,1500,1.0,1.0,0.0
center_of_mass,noise_test_003,test,0.525,1500,1.0,0.8048120423622089,0.09759397881889548
identity_diagnostic,noise_test_003,test,0.525,1500,0.6934096447066789,0.4560393746582397,0.4252754903175407
joint_basin,noise_test_003,test,0.525,1500,1.0,0.9405275704360977,0.02973621478195112
predictive_kmeans_k13,noise_test_003,test,0.525,1500,0.999447201216858,0.6619926240731968,0.16928008735497255
predictive_kmeans_k21,noise_test_003,test,0.525,1500,0.8639366528552229,0.5681812235089119,0.2839410618179326
predictive_kmeans_k5,noise_test_003,test,0.525,1500,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_003,test,0.525,1500,1.0,0.8364383738806406,0.08178081305967969
predictive_kmeans_no_COM_k13,noise_test_003,test,0.525,1500,0.9994489576521911,0.6614794466331898,0.1695357978573095
predictive_kmeans_no_COM_k8,noise_test_003,test,0.525,1500,1.0,0.8349610171599064,0.0825194914200467
random_matched_predictive_kmeans_k13,noise_test_003,test,0.525,1500,0.6934116568444747,0.45604070881688147,0.42527381716932183
random_matched_predictive_kmeans_k21,noise_test_003,test,0.525,1500,0.6934088441970716,0.4560388485585489,0.4252761536221897
random_matched_predictive_kmeans_k5,noise_test_003,test,0.525,1500,0.6956639294514297,0.45752206563550685,0.4234070024565317
random_matched_predictive_kmeans_k8,noise_test_003,test,0.525,1500,0.6934962557454156,0.4560963711431132,0.42520368655573565
random_matched_predictive_kmeans_no_COM_k13,noise_test_003,test,0.525,1500,0.6934116568444747,0.45604070881688147,0.42527381716932183
random_matched_predictive_kmeans_no_COM_k8,noise_test_003,test,0.525,1500,0.6934962557454156,0.4560963711431132,0.42520368655573565
all_one_diagnostic,noise_test_003,test,0.525,2400,1.0,1.0,0.0
boundary_v2_regime_sequence,noise_test_003,test,0.525,2400,1.0,1.0,0.0
center_of_mass,noise_test_003,test,0.525,2400,1.0,0.6946048751718439,0.152697562414078
identity_diagnostic,noise_test_003,test,0.525,2400,0.7197934056807814,0.4208346722061381,0.4296859610565402
joint_basin,noise_test_003,test,0.525,2400,1.0,0.9280692375838719,0.035965381208063925
predictive_kmeans_k13,noise_test_003,test,0.525,2400,1.0,0.6350168635220507,0.1824915682389746
predictive_kmeans_k21,noise_test_003,test,0.525,2400,0.921469994690683,0.5387317194188359,0.2698991429452404
predictive_kmeans_k5,noise_test_003,test,0.525,2400,1.0,1.0,0.0
predictive_kmeans_k8,noise_test_003,test,0.525,2400,1.0,0.8328145091386596,0.08359274543067015
predictive_kmeans_no_COM_k13,noise_test_003,test,0.525,2400,1.0,0.5990114604199335,0.2004942697900332
predictive_kmeans_no_COM_k8,noise_test_003,test,0.525,2400,1.0,0.8114714779040162,0.09426426104799189
random_matched_predictive_kmeans_k13,noise_test_003,test,0.525,2400,0.7197963158535282,0.42083639337027157,0.42968364538810006
random_matched_predictive_kmeans_k21,noise_test_003,test,0.525,2400,0.7197934073976093,0.42083468166657945,0.42968595546790556
random_matched_predictive_kmeans_k5,noise_test_003,test,0.525,2400,0.7221339136103367,0.4222029391121376,0.4278315736387628
