condition,alpha,T,control,ridge_R2_past_to_future,ridge_R2_time_shuffled,time_shuffled_delta,linear_CKA_past_future,rank_adjusted_prediction_delta
coupled,0.5,2400,rigid_collapse,0.3750678598880768,-0.0002090748312184587,0.37527693471929524,0.4839916229248047,0.18763846735964762
coupled,0.5,2400,noise_fakeout,-0.0007611932815052569,-0.0005170204094611108,-0.00024417287204414606,0.0002504278381820768,-4.0695478674024343e-05
coupled,0.5,2400,single_component_erasure,0.4809853434562683,-0.0002487390302121639,0.4812340824864805,0.4757969379425049,0.12030852062162012
coupled,0.5,2400,endpoint_fakeout,0.4883013069629669,-0.000274207181064412,0.48857551414403133,0.6684659719467163,0.08142925235733856
coupled,0.525,900,none,0.799480140209198,-0.0001993748446693644,0.7996795150538674,0.8467955589294434,0.13327991917564455
coupled,0.525,900,rigid_collapse,0.7557333707809448,-0.00016358141147065908,0.7558969521924155,0.8467955589294434,0.37794847609620774
coupled,0.525,900,noise_fakeout,-0.0005768052651546896,-0.0008717063465155661,0.00029490108136087656,0.00021007379109505564,4.915018022681276e-05
coupled,0.525,900,single_component_erasure,0.850394606590271,-0.0001705661416053772,0.8505651727318764,0.8512209057807922,0.2126412931829691
coupled,0.525,900,endpoint_fakeout,0.7665146589279175,-0.00036745695979334414,0.7668821158877108,0.8754398226737976,0.12781368598128515
coupled,0.525,1500,none,0.6370955109596252,-0.00030282631632871926,0.637398337275954,0.6986259818077087,0.106233056212659
coupled,0.525,1500,rigid_collapse,0.5824744701385498,-9.355589281767607e-05,0.5825680260313675,0.6986258029937744,0.29128401301568374
coupled,0.525,1500,noise_fakeout,-0.0007853477727621794,-0.0006898005376569927,-9.55472351051867e-05,0.00010729689529398456,-1.5924539184197783e-05
coupled,0.525,1500,single_component_erasure,0.6929498314857483,-0.0002550161152612418,0.6932048476010095,0.6940088272094727,0.17330121190025238
coupled,0.525,1500,endpoint_fakeout,0.6244666576385498,-0.0001503102685092017,0.624616967907059,0.780415415763855,0.10410282798450983
coupled,0.525,2400,none,0.43031737208366394,-0.0003905391786247492,0.4307079112622887,0.48476442694664,0.07178465187704812
coupled,0.525,2400,rigid_collapse,0.37907928228378296,-0.00029968650778755546,0.3793789687915705,0.4847643971443176,0.18968948439578526
coupled,0.525,2400,noise_fakeout,-0.0007910383865237236,-0.0005778815248049796,-0.00021315686171874404,0.00010014777217293158,-3.552614361979067e-05
coupled,0.525,2400,single_component_erasure,0.4781937301158905,-0.0001702840527286753,0.4783640141686192,0.4766695499420166,0.1195910035421548
coupled,0.525,2400,endpoint_fakeout,0.49396446347236633,-0.0008651955868117511,0.4948296590591781,0.669514000415802,0.08247160984319635
independent_alpha0,0.45,900,none,0.8239886164665222,-0.0010586465941742063,0.8250472630606964,0.8787539005279541,0.13750787717678273
independent_alpha0,0.45,1500,none,0.6361734867095947,-0.00034036411670967937,0.6365138508263044,0.7426304817199707,0.10608564180438407
independent_alpha0,0.45,2400,none,0.3528670370578766,-0.0006091156974434853,0.35347615275532007,0.4785394072532654,0.05891269212588668
independent_alpha0,0.5,900,none,0.8238258957862854,-0.0007705227471888065,0.8245964185334742,0.8792349100112915,0.1374327364222457
independent_alpha0,0.5,1500,none,0.6399019956588745,-0.0008566858596168458,0.6407586815184914,0.7408583760261536,0.10679311358641523
independent_alpha0,0.5,2400,none,0.3620908856391907,-0.0007581113604828715,0.36284899699967355,0.4856502115726471,0.060474832833278924
independent_alpha0,0.525,900,none,0.8220220804214478,-0.0007066144607961178,0.8227286948822439,0.8784935474395752,0.13712144914704064
independent_alpha0,0.525,1500,none,0.6347233057022095,-0.00020934088388457894,0.634932646586094,0.7401288747787476,0.10582210776434901
independent_alpha0,0.525,2400,none,0.3641135096549988,-0.00014825075049884617,0.3642617604054976,0.4905553460121155,0.06071029340091627
product,0.45,900,none,0.81796795129776,-0.000614698335994035,0.818582649633754,0.8796452879905701,0.13643044160562567
product,0.45,1500,none,0.6434227824211121,-0.0009135578293353319,0.6443363402504474,0.7398427724838257,0.10738939004174124
product,0.45,2400,none,0.3662984371185303,-0.000648572517093271,0.36694700963562354,0.4825226068496704,0.06115783493927059
product,0.5,900,none,0.8190885186195374,-0.0006605805829167366,0.8197490992024541,0.8779053688049316,0.13662484986707568
product,0.5,1500,none,0.6318076848983765,-0.0010828427039086819,0.6328905276022851,0.7404521107673645,0.10548175460038085
product,0.5,2400,none,0.36590147018432617,-0.000633206102065742,0.3665346762863919,0.4828363060951233,0.06108911271439865
product,0.525,900,none,0.8198939561843872,-0.0005970144993625581,0.8204909706837498,0.8776044249534607,0.13674849511395828
product,0.525,1500,none,0.6352881789207458,-0.0010323160095140338,0.6363204949302599,0.7377392649650574,0.10605341582170998
product,0.525,2400,none,0.37044817209243774,-0.00034563374356366694,0.3707938058360014,0.48428019881248474,0.06179896763933357
shuffled,0.45,900,none,0.8224186301231384,-0.0006960818427614868,0.8231147119658999,0.8796525597572327,0.13718578532765
shuffled,0.45,1500,none,0.6368950009346008,-0.0005835150368511677,0.637478515971452,0.7399751543998718,0.10624641932857533
shuffled,0.45,2400,none,0.3700685203075409,-0.0007013392169028521,0.37076985952444375,0.4841512143611908,0.06179497658740729
shuffled,0.5,900,none,0.8240164518356323,-0.0011795286554843187,0.8251959804911166,0.8804743885993958,0.1375326634151861
shuffled,0.5,1500,none,0.6285056471824646,-0.0005298762698657811,0.6290355234523304,0.7383357286453247,0.10483925390872173
shuffled,0.5,2400,none,0.3688109219074249,-0.0010592179605737329,0.36987013986799866,0.4883585572242737,0.06164502331133311
shuffled,0.525,900,none,0.8192543983459473,-0.0019515632884576917,0.821205961634405,0.8797177672386169,0.13686766027240083
shuffled,0.525,1500,none,0.6347745060920715,-0.0003857188276015222,0.635160224919673,0.7364128232002258,0.10586003748661217
shuffled,0.525,2400,none,0.3740696310997009,-0.000355193333234638,0.37442482443293557,0.4884394705295563,0.06240413740548926
time_shuffled,0.45,900,none,0.5102559924125671,-0.0006458552088588476,0.510901847621426,0.7054651975631714,0.08515030793690433
time_shuffled,0.45,1500,none,0.3597544729709625,-0.0004437847528606653,0.3601982577238232,0.49850642681121826,0.06003304295397053
time_shuffled,0.45,2400,none,0.23470452427864075,-0.00026609154883772135,0.23497061582747847,0.27313169836997986,0.03916176930457974
time_shuffled,0.5,900,none,0.49289268255233765,-0.00021701263904105872,0.4931096951913787,0.6802517771720886,0.08218494919856312
time_shuffled,0.5,1500,none,0.33594346046447754,-0.0007267810869961977,0.33667024155147374,0.4556797742843628,0.05611170692524562
time_shuffled,0.5,2400,none,0.22779178619384766,-0.0005033033085055649,0.22829508950235322,0.23997002840042114,0.038049181583725535
time_shuffled,0.525,900,none,0.48125898838043213,-0.0006658827769570053,0.48192487115738913,0.6730203032493591,0.08032081185956486
time_shuffled,0.525,1500,none,0.3408257067203522,-0.0007041964563541114,0.3415299031767063,0.4424070715904236,0.05692165052945105
time_shuffled,0.525,2400,none,0.21738103032112122,-0.0002569124917499721,0.2176379428128712,0.22477562725543976,0.03627299046881186
