condition,alpha,T,control,ridge_R2_past_to_future,ridge_R2_time_shuffled,time_shuffled_delta,linear_CKA_past_future,rank_adjusted_prediction_delta
coupled,0.45,900,none,0.7997519373893738,-0.0005706653464585543,0.8003226027358323,0.8505102396011353,0.13338710045597205
coupled,0.45,900,rigid_collapse,0.7557799220085144,2.8528902475954965e-05,0.7557513931060384,0.8505104780197144,0.3778756965530192
coupled,0.45,900,noise_fakeout,-0.0004399498284328729,-0.00029194424860179424,-0.00014800557983107865,0.00011544775043148547,-2.4667596638513107e-05
coupled,0.45,900,single_component_erasure,0.8534862995147705,-5.250945469015278e-05,0.8535388089694607,0.8548066020011902,0.21338470224236517
coupled,0.45,900,endpoint_fakeout,0.7658140063285828,-0.0003313467896077782,0.7661453531181905,0.8793622851371765,0.1276908921863651
coupled,0.45,1500,none,0.6394875645637512,-0.0006608049152418971,0.6401483694789931,0.7068013548851013,0.10669139491316552
coupled,0.45,1500,rigid_collapse,0.5849756598472595,-0.0002198845468228683,0.5851955443940824,0.7068014144897461,0.2925977721970412
coupled,0.45,1500,noise_fakeout,-0.0006791240884922445,-0.00036641902988776565,-0.00031270505860447884,0.00013451690028887242,-5.211750976741314e-05
coupled,0.45,1500,single_component_erasure,0.7023276686668396,-0.00031574437161907554,0.7026434130384587,0.7049239873886108,0.17566085325961467
coupled,0.45,1500,endpoint_fakeout,0.6205289363861084,-0.0006793143111281097,0.6212082506972365,0.7861511707305908,0.10353470844953942
coupled,0.45,2400,none,0.4112145006656647,-0.0004969645524397492,0.4117114652181044,0.48022469878196716,0.06861857753635074
coupled,0.45,2400,rigid_collapse,0.36106646060943604,-0.00020564570149872452,0.36127210631093476,0.4802246689796448,0.18063605315546738
coupled,0.45,2400,noise_fakeout,-0.0005914079374633729,-0.0008130687056109309,0.00022166076814755797,0.0001180644758278504,3.694346135792633e-05
coupled,0.45,2400,single_component_erasure,0.4649575650691986,-0.0005080244736745954,0.4654655895428732,0.473754346370697,0.1163663973857183
coupled,0.45,2400,endpoint_fakeout,0.4831847548484802,-0.0006259633810259402,0.48381071822950616,0.6681885123252869,0.0806351197049177
coupled,0.5,900,none,0.8017410635948181,-0.0003670658334158361,0.802108129428234,0.8475936055183411,0.133684688238039
coupled,0.5,900,rigid_collapse,0.7572541236877441,-0.0002690869732759893,0.7575232106610201,0.8475935459136963,0.37876160533051006
coupled,0.5,900,noise_fakeout,-0.0003749316092580557,-0.0009150361292995512,0.0005401045200414956,0.00016280953423120081,9.001742000691593e-05
coupled,0.5,900,single_component_erasure,0.8524020910263062,-0.00039087660843506455,0.8527929676347412,0.8522868752479553,0.2131982419086853
coupled,0.5,900,endpoint_fakeout,0.7698683142662048,-0.000190412814845331,0.7700587270810502,0.8771749138832092,0.12834312118017502
coupled,0.5,1500,none,0.6414060592651367,-0.0004427702515386045,0.6418488295166753,0.7069756984710693,0.10697480491944589
coupled,0.5,1500,rigid_collapse,0.5884969830513,-0.00031440163729712367,0.5888113846885972,0.7069757580757141,0.2944056923442986
coupled,0.5,1500,noise_fakeout,-0.0005487084272317588,-0.001057712477631867,0.0005090040504001081,0.00010579329682514071,8.483400840001802e-05
coupled,0.5,1500,single_component_erasure,0.699252724647522,-0.00031651329481974244,0.6995692379423417,0.7032300233840942,0.17489230948558543
coupled,0.5,1500,endpoint_fakeout,0.627379834651947,-0.0006307456642389297,0.628010580316186,0.7879365086555481,0.10466843005269766
coupled,0.5,2400,none,0.4292665123939514,-0.0007279382552951574,0.4299944506492466,0.48399171233177185,0.07166574177487443
