condition,alpha,T,metric,mean,ci_low,ci_high,ci_width
shuffled,0.5,900,p_viable_T,0.9988737037037038,0.9988368055555555,0.9989132314814813,7.642592592571607e-05
shuffled,0.5,900,sample_n,1200.0,1200.0,1200.0,0.0
shuffled,0.5,1500,p_viable_T,0.9988744444444446,0.9988332962962962,0.9989115,7.820370370370533e-05
shuffled,0.5,1500,sample_n,1200.0,1200.0,1200.0,0.0
shuffled,0.5,2400,p_viable_T,0.998861851851852,0.9988186759259259,0.9989011296296295,8.245370370363325e-05
shuffled,0.5,2400,sample_n,1200.0,1200.0,1200.0,0.0
shuffled,0.525,900,p_viable_T,0.9988525925925927,0.9988131388888888,0.9988948703703703,8.173148148149512e-05
shuffled,0.525,900,sample_n,1200.0,1200.0,1200.0,0.0
shuffled,0.525,1500,p_viable_T,0.9988562962962962,0.9988166481481481,0.9988991574074074,8.25092592593446e-05
shuffled,0.525,1500,sample_n,1200.0,1200.0,1200.0,0.0
shuffled,0.525,2400,p_viable_T,0.9988470370370369,0.998807,0.9988883611111109,8.136111111090027e-05
shuffled,0.525,2400,sample_n,1200.0,1200.0,1200.0,0.0
time_shuffled,0.45,900,p_viable_T,0.9989207407407408,0.9988812314814814,0.9989589629629629,7.773148148149112e-05
time_shuffled,0.45,900,sample_n,1200.0,1200.0,1200.0,0.0
time_shuffled,0.45,1500,p_viable_T,0.9989003703703702,0.9988586944444444,0.9989337222222222,7.50277777777919e-05
time_shuffled,0.45,1500,sample_n,1200.0,1200.0,1200.0,0.0
time_shuffled,0.45,2400,p_viable_T,0.998925925925926,0.9988877407407408,0.9989637037037037,7.596296296286109e-05
time_shuffled,0.45,2400,sample_n,1200.0,1200.0,1200.0,0.0
time_shuffled,0.5,900,p_viable_T,0.9988996296296297,0.9988571759259259,0.9989372499999999,8.007407407395473e-05
time_shuffled,0.5,900,sample_n,1200.0,1200.0,1200.0,0.0
time_shuffled,0.5,1500,p_viable_T,0.9988922222222221,0.9988546018518518,0.9989383425925924,8.37407407405788e-05
time_shuffled,0.5,1500,sample_n,1200.0,1200.0,1200.0,0.0
time_shuffled,0.5,2400,p_viable_T,0.9989044444444444,0.9988547962962961,0.9989500370370371,9.5240740740965e-05
time_shuffled,0.5,2400,sample_n,1200.0,1200.0,1200.0,0.0
time_shuffled,0.525,900,p_viable_T,0.9989085185185185,0.9988731203703703,0.9989472314814816,7.411111111121915e-05
time_shuffled,0.525,900,sample_n,1200.0,1200.0,1200.0,0.0
time_shuffled,0.525,1500,p_viable_T,0.9988911111111111,0.9988558703703704,0.9989261203703703,7.024999999993842e-05
time_shuffled,0.525,1500,sample_n,1200.0,1200.0,1200.0,0.0
time_shuffled,0.525,2400,p_viable_T,0.9988566666666666,0.998818324074074,0.998896861111111,7.853703703697423e-05
time_shuffled,0.525,2400,sample_n,1200.0,1200.0,1200.0,0.0
