condition,alpha,T,control,sample_n,early_to_late_neighbor_preservation,early_to_late_future_profile_separation,linear_CKA_gpu,continuation_profile_separation,continuation_viability,ridge_R2_past_to_future,ridge_R2_time_shuffled,time_shuffled_delta,linear_CKA_past_future,rank_adjusted_prediction_delta,A_past_to_A_future_delta,B_past_to_B_future_delta,joint_past_to_joint_future_delta,component_continuity_balance,component_erasure_rejection,gpu_used,p_viable_T,mean_hazard,late_hazard
coupled,0.45,900,none,216000,0.5068872272968292,1.0715903043746948,0.8475989699363708,0.6911153793334961,0.5990013033151627,0.7997519373893738,-0.0005706653464585543,0.8003226027358323,0.8505102396011353,0.13338710045597205,0.8495662808418274,0.45835328102111816,0.7997519373893738,0.6087870001792908,0.5395144456144612,1.0,0.9989018518518519,2.7806121236705563e-06,0.0
coupled,0.45,900,rigid_collapse,216000,0.506700336933136,1.071992039680481,0.8475987911224365,0.6909962594509125,0.5988482981920242,0.7557799220085144,2.8528902475954965e-05,0.7557513931060384,0.8505104780197144,0.3778756965530192,0.8124129176139832,0.24569274485111237,0.7557799220085144,0.4332798272371292,0.30242348382728806,1.0,0.9989018518518519,2.7806121236705563e-06,0.0
coupled,0.45,900,noise_fakeout,216000,-0.006884098052978516,0.019047915935516357,0.001193575793877244,0.24796050786972046,0.12053820490837097,-0.0004399498284328729,-0.00029194424860179424,-0.00014800557983107865,0.00011544775043148547,-2.4667596638513107e-05,-0.0005235171993263066,-0.0005241804174147546,-0.0004399498284328729,0.9999993367819116,0.0,1.0,0.9989018518518519,2.7806121236705563e-06,0.0
coupled,0.45,900,single_component_erasure,216000,0.5932482182979584,1.1682116985321045,0.8527337312698364,0.7672948390245438,0.6802715286612511,0.8534862995147705,-5.250945469015278e-05,0.8535388089694607,0.8548066020011902,0.21338470224236517,0.8495662808418274,0.24569274485111237,0.8534862995147705,0.396126464009285,0.2891978535302245,1.0,0.9989018518518519,2.7806121236705563e-06,0.0
coupled,0.45,900,endpoint_fakeout,216000,0.4710373878479004,1.072776436805725,0.8739396929740906,0.6023570895195007,0.5366972386837006,0.7658140063285828,-0.0003313467896077782,0.7661453531181905,0.8793622851371765,0.1276908921863651,0.8240585923194885,0.29740580916404724,0.7658140063285828,0.4733472168445587,0.36090371720648556,1.0,0.9989018518518519,2.7806121236705563e-06,0.0
coupled,0.45,1500,none,216000,0.33988022804260254,0.8737078309059143,0.6872660517692566,0.5864842236042023,0.4631822258234024,0.6394875645637512,-0.0006608049152418971,0.6401483694789931,0.7068013548851013,0.10669139491316552,0.7052714228630066,0.3184886574745178,0.6394875645637512,0.6132172346115112,0.45158310283101,1.0,0.9989111111111111,2.224607638590736e-06,0.0
coupled,0.45,1500,rigid_collapse,216000,0.3493318557739258,0.8611955642700195,0.6872661113739014,0.5924029350280762,0.470867395401001,0.5849756598472595,-0.0002198845468228683,0.5851955443940824,0.7068014144897461,0.2925977721970412,0.648803174495697,0.15713202953338623,0.5849756598472595,0.5083288550376892,0.2421875165076406,1.0,0.9989111111111111,2.224607638590736e-06,0.0
coupled,0.45,1500,noise_fakeout,216000,0.004819214344024658,0.014425416477024555,0.0011213573161512613,0.2621716260910034,0.13349542021751404,-0.0006791240884922445,-0.00036641902988776565,-0.00031270505860447884,0.00013451690028887242,-5.211750976741314e-05,-0.0003442634188104421,-0.00042892416240647435,-0.0006791240884922445,0.999915339256404,0.0,1.0,0.9989111111111111,2.224607638590736e-06,0.0
coupled,0.45,1500,single_component_erasure,216000,0.4072526693344116,0.9672995209693909,0.6875768899917603,0.6577457785606384,0.532499223947525,0.7023276686668396,-0.00031574437161907554,0.7026434130384587,0.7049239873886108,0.17566085325961467,0.7052714228630066,0.15713202953338623,0.7023276686668396,0.45186060667037964,0.22279653540408356,1.0,0.9989111111111111,2.224607638590736e-06,0.0
coupled,0.45,1500,endpoint_fakeout,216000,0.33894234895706177,0.9087893962860107,0.7645650506019592,0.49322056770324707,0.4160814583301544,0.6205289363861084,-0.0006793143111281097,0.6212082506972365,0.7861511707305908,0.10353470844953942,0.687891960144043,0.195906400680542,0.6205289363861084,0.508014440536499,0.28479239768919473,1.0,0.9989111111111111,2.224607638590736e-06,0.0
coupled,0.45,2400,none,216000,0.21957910060882568,0.6752856373786926,0.5003834366798401,0.5069519579410553,0.3632655292749405,0.4112145006656647,-0.0004969645524397492,0.4117114652181044,0.48022469878196716,0.06861857753635074,0.48486292362213135,0.17381907999515533,0.4112145006656647,0.688956156373024,0.35849117663329094,1.0,0.9989133333333332,1.9773149031065433e-06,0.0
coupled,0.45,2400,rigid_collapse,216000,0.21232455968856812,0.68156498670578,0.5003832578659058,0.5023462176322937,0.3573353886604309,0.36106646060943604,-0.00020564570149872452,0.36127210631093476,0.4802246689796448,0.18063605315546738,0.4219331443309784,0.08407766371965408,0.36106646060943604,0.6621445193886757,0.1992677390939944,1.0,0.9989133333333332,1.9773149031065433e-06,0.0
coupled,0.45,2400,noise_fakeout,216000,-0.002255678176879883,0.028375260531902313,0.001494217081926763,0.2817394733428955,0.1397418975830078,-0.0005914079374633729,-0.0008130687056109309,0.00022166076814755797,0.0001180644758278504,3.694346135792633e-05,-0.00020027754362672567,-0.00018695932521950454,-0.0005914079374633729,0.9999866817815928,0.0,1.0,0.9989133333333332,1.9773149031065433e-06,0.0
coupled,0.45,2400,single_component_erasure,216000,0.2666550874710083,0.7578949332237244,0.4938638508319855,0.5679234564304352,0.41728927195072174,0.4649575650691986,-0.0005080244736745954,0.4654655895428732,0.473754346370697,0.1163663973857183,0.48486292362213135,0.08407766371965408,0.4649575650691986,0.5992147400975227,0.17340501742545777,1.0,0.9989133333333332,1.9773149031065433e-06,0.0
coupled,0.45,2400,endpoint_fakeout,216000,0.26336175203323364,0.8074975609779358,0.673747181892395,0.4264550805091858,0.3449084162712097,0.4831847548484802,-0.0006259633810259402,0.48381071822950616,0.6681885123252869,0.0806351197049177,0.5450699925422668,0.1737116128206253,0.4831847548484802,0.6286416202783585,0.3186959751910302,1.0,0.9989133333333332,1.9773149031065433e-06,0.0
coupled,0.5,900,none,216000,0.5168858170509338,1.0692616701126099,0.8475819826126099,0.6981709599494934,0.6075283885002136,0.8017410635948181,-0.0003670658334158361,0.802108129428234,0.8475936055183411,0.133684688238039,0.8435333967208862,0.4647248387336731,0.8017410635948181,0.6211914420127869,0.5509264251305562,1.0,0.9989114814814815,1.7302530912459402e-06,0.0
coupled,0.5,900,rigid_collapse,216000,0.5119616091251373,1.080155849456787,0.8475819230079651,0.6950924694538116,0.6035270392894745,0.7572541236877441,-0.0002690869732759893,0.7575232106610201,0.8475935459136963,0.37876160533051006,0.8058801889419556,0.24776983261108398,0.7572541236877441,0.4418896436691284,0.307452442696702,1.0,0.9989114814814815,1.7302530912459402e-06,0.0
coupled,0.5,900,noise_fakeout,216000,0.0006413459777832031,0.032916177064180374,0.0011205757036805153,0.2556455135345459,0.12814342975616455,-0.0003749316092580557,-0.0009150361292995512,0.0005401045200414956,0.00016280953423120081,9.001742000691593e-05,-0.00026469718432053924,-0.0004537357890512794,-0.0003749316092580557,0.9998109613952693,0.0,1.0,0.9989114814814815,1.7302530912459402e-06,0.0
coupled,0.5,900,single_component_erasure,216000,0.5783631205558777,1.1927708387374878,0.8532224297523499,0.7579164206981659,0.6681397706270218,0.8524020910263062,-0.00039087660843506455,0.8527929676347412,0.8522868752479553,0.2131982419086853,0.8435333967208862,0.24776983261108398,0.8524020910263062,0.40423643589019775,0.2937285394677357,1.0,0.9989114814814815,1.7302530912459402e-06,0.0
coupled,0.5,900,endpoint_fakeout,216000,0.48223578929901123,1.0695046186447144,0.8773924112319946,0.6083766222000122,0.5453062057495117,0.7698683142662048,-0.000190412814845331,0.7700587270810502,0.8771749138832092,0.12834312118017502,0.8152419924736023,0.29230108857154846,0.7698683142662048,0.47705909609794617,0.358545182007431,1.0,0.9989114814814815,1.7302530912459402e-06,0.0
