world,T,metric,mean,ci_low,ci_high,n_seeds
W4_relation_without_memory,100,relation_slack_excess,0.0,0.0,0.0,50
W4_relation_without_memory,100,order_sensitivity,0.999857142857143,0.9997428571428572,0.9999428571428572,50
W4_relation_without_memory,100,future_distinct_ratio,0.0,0.0,0.0,50
W4_relation_without_memory,100,dynamic_lock_in_index,1.0,1.0,1.0,50
W5_random_stepwise_relation_memory,50,edge_memory_predictive_gain,0.09702702991452988,0.09676300747863244,0.0973832959401709,50
W5_random_stepwise_relation_memory,50,edge_memory_erasure_delta,0.9993040000000001,0.9991880000000002,0.9994001,50
W5_random_stepwise_relation_memory,50,relation_slack_excess,0.0036949786324785754,0.00315241452991448,0.004261813568376022,50
W5_random_stepwise_relation_memory,50,order_sensitivity,1.0,1.0,1.0,50
W5_random_stepwise_relation_memory,50,future_distinct_ratio,0.9993040000000001,0.9991919000000002,0.999412,50
W5_random_stepwise_relation_memory,50,dynamic_lock_in_index,0.0,0.0,0.0,50
W5_random_stepwise_relation_memory,100,edge_memory_predictive_gain,0.09718130341880338,0.09682557692307688,0.09747097756410253,50
W5_random_stepwise_relation_memory,100,edge_memory_erasure_delta,0.999208,0.9990839000000001,0.9993200999999999,50
W5_random_stepwise_relation_memory,100,relation_slack_excess,0.00370277777777773,0.0032406864316238933,0.004169938568376009,50
W5_random_stepwise_relation_memory,100,order_sensitivity,1.0,1.0,1.0,50
W5_random_stepwise_relation_memory,100,future_distinct_ratio,0.999208,0.9991077999999998,0.9993241,50
W5_random_stepwise_relation_memory,100,dynamic_lock_in_index,0.0,0.0,0.0,50
W6_commutative_edge_memory,50,edge_memory_predictive_gain,0.09910886752136747,0.09888534188034183,0.09933668269230767,50
W6_commutative_edge_memory,50,edge_memory_erasure_delta,0.999364,0.9992719,0.9994521000000001,50
W6_commutative_edge_memory,50,relation_slack_excess,0.003961004273504222,0.003609799679487133,0.004317689636752096,50
W6_commutative_edge_memory,50,order_sensitivity,0.9999714285714286,0.9999142857142858,1.0,50
W6_commutative_edge_memory,50,future_distinct_ratio,0.999364,0.99928,0.9994441000000001,50
