dominant_interaction_outcome,composition_emission_only_flag,rule_count,adjusted_persistence_mean,adjusted_persistence_median,relation_adjusted_mean,asymmetry_adjusted_mean,background_contrast_mean,turnover_mean,future_distinct_descendants_mean,interaction_outcome_diversity_mean,control_adjusted_positive_count
pass_through,False,9,-0.06902691612314477,-0.0833837699602287,0.024261503336041032,0.009674468000552624,0.9858217592592593,0.05327804000289352,64.0,0.9252790017807553,1
emission,False,8,-0.09612989415317386,-0.09702184811773056,0.045822971383068775,0.0525547309355535,0.8982747395833333,0.1958465576171875,63.75,1.1339470738098112,0
new_motif,False,6,-0.0077988941606277505,-0.00576793589030655,0.0414799020484362,0.09859749728969558,0.8502604166666666,0.2910580105251736,64.0,0.7240258768408515,2
chaotic_explosion,False,2,-0.1066448135807484,-0.1066448135807484,-0.07784231661143624,0.00244564860976195,0.9811197916666669,0.00442250569661455,64.0,0.9591479170272448,0
