rule_id,stratum,motif_family,mechanism_label,mechanism_label_g4,dominant_active_neighborhood,dominant_active_neighborhood_count,symbol_turnover_by_phase_proxy,phase_sequence_length,translation_velocity_estimate,period_estimate,localized_component_lifetime_max,pattern_background_contrast,motif_material_turnover,future_distinct_descendant_count,dominant_interaction_outcome,reclassification
q3g3_s2_00007,S2_quiescent_preserving,composition_without_validation,travelling,travelling_identity,"(1, 2, 0)",127,0.357666015625,17,-0.0042572021484375,0.0,483.5,1.0,0.1923980712890625,64.0,pass_through,symmetric_fakeout
q3g3_s2_00009,S2_quiescent_preserving,fragile_or_inconclusive,domain-wall-like,emitter,"(2, 2, 2)",525,0.2862548828125,17,-0.0008595784505208,2.0,487.5,0.98828125,0.0775146484375,64.0,emission,generic_persistence
q3g3_s2_00014,S2_quiescent_preserving,local_phase_or_self_fakeout,travelling,travelling_identity,"(2, 2, 2)",274,0.5570068359375,17,-0.0245920817057291,0.0,516.0,0.9700520833333331,0.440704345703125,64.0,chaotic_explosion,self_persistence_fakeout
q3g3_s2_00025,S2_quiescent_preserving,local_phase_or_self_fakeout,domain-wall-like,domain_wall,"(1, 1, 1)",369,0.2581787109375,17,-0.0001932779947916,0.0,516.0,0.9934895833333331,0.0006052652994791,64.0,pass_through,symmetric_fakeout
q3g3_s2_00027,S2_quiescent_preserving,near_validation_pra,travelling,emitter,"(0, 2, 2)",352,0.4925537109375,17,-0.0039113362630208,0.0,402.0,1.0,0.4966786702473958,64.0,emission,emission_only
q3g3_s2_00028,S2_quiescent_preserving,regular_life_like_discovery,travelling,emitter,"(0, 2, 2)",375,0.4827880859375,17,0.0,0.0,483.5,1.0,0.0,64.0,emission,self_persistence_fakeout
q3g3_s2_00032,S2_quiescent_preserving,local_phase_or_self_fakeout,travelling,emitter,"(2, 2, 2)",393,0.4593505859375,17,-0.0234375,0.0,481.5,0.90625,0.48699951171875,59.0,emission,generic_persistence
q3g3_s2_00042,S2_quiescent_preserving,regular_life_like_discovery,travelling,emitter,"(0, 1, 1)",213,0.084228515625,4,0.0,0.0,384.0,1.0,0.0,59.0,emission,self_persistence_fakeout
q3g3_s2_00075,S2_quiescent_preserving,fragile_or_inconclusive,travelling,emitter,"(2, 2, 0)",171,0.1488037109375,17,-0.0008544921875,0.0,327.5,1.0,0.3233133951822916,64.0,emission,generic_persistence
q3g3_s2_00078,S2_quiescent_preserving,near_validation_pra,travelling,emitter,"(0, 2, 2)",222,0.6029052734375,17,-0.00347900390625,3.0,516.0,1.0,0.660858154296875,63.0,emission,emission_only
q3g3_s2_00096,S2_quiescent_preserving,local_phase_or_self_fakeout,emitter-like,emitter,"(0, 2, 1)",180,0.7869873046875,17,-0.0045725504557291,2.625,516.0,0.9973958333333331,0.8467864990234375,64.0,emission,self_persistence_fakeout
q3g3_s2_00161,S2_quiescent_preserving,symmetric_control_fakeout,travelling,emitter,"(0, 1, 1)",251,0.142578125,6,0.0005696614583333,0.0,382.0,1.0,0.147186279296875,63.0,emission,symmetric_fakeout
q3g3_s2_00165,S2_quiescent_preserving,local_phase_or_self_fakeout,travelling,travelling_identity,"(0, 2, 2)",202,0.08056640625,6,0.0,0.0,384.0,1.0,0.0003204345703125,64.0,pass_through,output_distribution_fakeout
q3g3_s2_00167,S2_quiescent_preserving,near_validation_pra,travelling,emitter,"(0, 2, 2)",149,0.17626953125,17,-0.0043996175130208,0.0,413.5,1.0,0.5330708821614583,64.0,emission,emission_only
q3g3_s2_00173,S2_quiescent_preserving,regular_life_like_discovery,travelling,emitter,"(2, 2, 2)",181,0.14501953125,5,0.0,0.0,385.0,1.0,0.0,64.0,emission,self_persistence_fakeout
q3g3_s2_00177,S2_quiescent_preserving,regular_life_like_discovery,travelling,emitter,"(2, 2, 2)",301,0.468505859375,17,-0.002960205078125,0.0,516.0,1.0,0.0044708251953125,64.0,emission,symmetric_fakeout
q3g3_s2_00186,S2_quiescent_preserving,fragile_or_inconclusive,travelling,emitter,"(0, 2, 2)",178,0.1654052734375,17,-0.0046488444010416,0.0,504.0,1.0,0.06854248046875,58.0,emission,generic_persistence
q3g3_s2_00198,S2_quiescent_preserving,near_validation_pra,emitter-like,emitter,"(0, 2, 2)",400,0.6480712890625,17,0.0007578531901041,3.0,516.0,1.0,0.6548258463541666,64.0,emission,emission_only
q3g3_s2_00220,S2_quiescent_preserving,composition_without_validation,travelling,emitter,"(2, 1, 2)",176,0.181640625,17,-0.0010477701822916,0.0,417.5,1.0,0.0434824625651041,64.0,emission,output_distribution_fakeout
q3g3_s3_00030,S3_sparse_active_preserving,fragile_or_inconclusive,emitter-like,emitter,"(0, 1, 1)",256,0.301513671875,17,-0.0003509521484375,0.0,480.5,1.0,0.0169626871744791,64.0,emission,generic_persistence
q3g3_s3_00036,S3_sparse_active_preserving,local_phase_or_self_fakeout,emitter-like,emitter,"(2, 2, 2)",280,0.441162109375,17,-0.0013071695963541,0.0,393.5,1.0,0.5469004313151041,64.0,emission,self_persistence_fakeout
q3g3_s3_00043,S3_sparse_active_preserving,local_phase_or_self_fakeout,emitter-like,emitter,"(2, 2, 2)",254,0.5224609375,17,0.0009562174479166,0.0,240.0,1.0,0.5571339925130208,64.0,emission,self_persistence_fakeout
q3g3_s3_00056,S3_sparse_active_preserving,local_phase_or_self_fakeout,travelling,emitter,"(0, 2, 2)",513,0.623779296875,17,-0.0072886149088541,0.0,516.0,1.0,0.5013936360677084,64.0,emission,self_persistence_fakeout
q3g3_s3_00060,S3_sparse_active_preserving,local_phase_or_self_fakeout,travelling,emitter,"(1, 1, 1)",259,0.718017578125,17,-0.0056559244791666,3.0,515.0,1.0,0.7623850504557292,64.0,emission,self_persistence_fakeout
q3g3_s3_00073,S3_sparse_active_preserving,regular_life_like_discovery,travelling,travelling_identity,"(0, 1, 1)",197,0.070068359375,4,9.1552734375e-05,0.0,385.0,1.0,0.0002034505208333,64.0,pass_through,output_distribution_fakeout
q3g3_s3_00075,S3_sparse_active_preserving,near_validation_pra,travelling,emitter,"(0, 1, 0)",408,0.1968994140625,17,-0.0063730875651041,0.0,408.0,1.0,0.431793212890625,64.0,emission,emission_only
q3g3_s3_00084,S3_sparse_active_preserving,fragile_or_inconclusive,travelling,emitter,"(0, 1, 0)",267,0.06884765625,4,-0.0011189778645833,0.0,384.0,1.0,0.0876871744791666,63.0,emission,generic_persistence
q3g3_s3_00085,S3_sparse_active_preserving,regular_life_like_discovery,travelling,travelling_identity,"(1, 1, 1)",252,0.0703125,4,-0.0001220703125,0.0,385.5,1.0,0.0,64.0,pass_through,self_persistence_fakeout
q3g3_s3_00090,S3_sparse_active_preserving,near_validation_pra,travelling,emitter,"(0, 1, 0)",553,0.3026123046875,17,-0.0074259440104166,0.0,180.5,1.0,0.3467051188151041,64.0,emission,emission_only
q3g3_s3_00096,S3_sparse_active_preserving,fragile_or_inconclusive,travelling,travelling_identity,"(0, 2, 0)",197,0.3089599609375,17,0.0001322428385416,0.0,483.0,0.9986979166666669,0.0996348063151041,64.0,collapse,generic_persistence
q3g3_s3_00181,S3_sparse_active_preserving,validation_new_motif_overlap,travelling,interaction_product,"(1, 1, 1)",532,0.297119140625,17,-0.02008056640625,0.0,402.5,1.0,0.45989990234375,64.0,new_motif,control_adjusted_positive
q3g3_s3_00193,S3_sparse_active_preserving,near_validation_pra,travelling,emitter,"(0, 2, 0)",448,0.263916015625,17,-0.0070546468098958,0.0,379.5,1.0,0.4858856201171875,64.0,emission,emission_only
q3g3_s3_00213,S3_sparse_active_preserving,fragile_or_inconclusive,travelling,emitter,"(0, 2, 0)",989,0.2978515625,17,-0.0059865315755208,0.0,483.5,1.0,0.1981353759765625,64.0,emission,generic_persistence
q3g3_s3_00214,S3_sparse_active_preserving,regular_life_like_discovery,travelling,travelling_identity,"(0, 2, 0)",344,0.048583984375,3,0.0,0.0,385.5,1.0,0.0,62.0,pass_through,self_persistence_fakeout
q3g3_s3_00223,S3_sparse_active_preserving,regular_life_like_discovery,travelling,emitter,"(0, 2, 0)",490,0.4356689453125,17,-4.57763671875e-05,0.0,450.5,1.0,0.0076243082682291,64.0,emission,symmetric_fakeout
q3g3_s3_00226,S3_sparse_active_preserving,local_phase_or_self_fakeout,travelling,emitter,"(2, 2, 2)",304,0.6455078125,17,-9.663899739583326e-05,3.0,515.0,1.0,0.6520182291666666,64.0,emission,self_persistence_fakeout
q3g3_s3_00229,S3_sparse_active_preserving,regular_life_like_discovery,travelling,emitter,"(2, 2, 2)",257,0.097412109375,6,0.0,0.0,384.5,1.0,0.0004679361979166,64.0,emission,output_distribution_fakeout
q3g3_s3_00244,S3_sparse_active_preserving,fragile_or_inconclusive,emitter-like,emitter,"(0, 1, 0)",287,0.2960205078125,17,-0.0042775472005208,0.0,168.0,1.0,0.3353525797526042,64.0,emission,generic_persistence
q3g3_s3_00249,S3_sparse_active_preserving,regular_life_like_discovery,travelling,emitter,"(0, 2, 2)",186,0.4912109375,17,0.0,0.0,516.0,1.0,0.0041554768880208,64.0,emission,symmetric_fakeout
q3g3_s4_00004,S4_neighbor_dependent,composition_without_validation,travelling,emitter,"(2, 2, 2)",251,0.2486572265625,17,-0.0059712727864583,0.0,418.5,0.9765625,0.3021087646484375,64.0,emission,generic_persistence
q3g3_s4_00017,S4_neighbor_dependent,validation_strong_persistence,travelling,travelling_identity,"(2, 2, 2)",398,0.827880859375,17,-0.01593017578125,0.0,403.0,1.0,0.5481669108072917,64.0,pass_through,control_adjusted_positive
q3g3_s4_00024,S4_neighbor_dependent,near_validation_pra,travelling,emitter,"(0, 1, 0)",667,0.14404296875,17,-0.0078074137369791,0.0,450.5,1.0,0.283447265625,62.0,emission,emission_only
q3g3_s4_00040,S4_neighbor_dependent,validation_weak_persistence,emitter-like,domain_wall,"(0, 1, 2)",241,0.091064453125,5,-0.0111236572265625,0.25,420.0,1.0,0.2944386800130208,64.0,pass_through,control_adjusted_positive
q3g3_s4_00043,S4_neighbor_dependent,local_phase_or_self_fakeout,travelling,emitter,"(2, 2, 2)",362,0.501708984375,17,-0.0004425048828125,0.0,516.0,1.0,0.3004099527994791,63.0,emission,generic_persistence
q3g3_s4_00050,S4_neighbor_dependent,symmetric_control_fakeout,travelling,emitter,"(0, 2, 2)",133,0.2506103515625,17,-0.0005391438802083,0.0,377.0,1.0,0.340301513671875,64.0,emission,symmetric_fakeout
q3g3_s4_00054,S4_neighbor_dependent,local_phase_or_self_fakeout,travelling,emitter,"(1, 1, 1)",911,0.4744873046875,17,-0.0060628255208333,0.0,512.5,1.0,0.6209157307942709,64.0,emission,self_persistence_fakeout
q3g3_s4_00058,S4_neighbor_dependent,local_phase_or_self_fakeout,travelling,travelling_identity,"(1, 1, 1)",898,0.10205078125,4,3.5603841145833336e-05,0.0,324.0,1.0,0.0010579427083333,64.0,chaotic_explosion,symmetric_fakeout
q3g3_s4_00068,S4_neighbor_dependent,validation_weak_persistence,travelling,travelling_identity,"(1, 1, 1)",457,0.0859375,8,-0.0238901774088541,0.0,387.5,1.0,0.2541097005208333,63.0,pass_through,control_adjusted_positive
q3g3_s4_00069,S4_neighbor_dependent,near_validation_pra,travelling,emitter,"(1, 1, 1)",202,0.6475830078125,17,-0.0083821614583333,0.0,516.0,1.0,0.5886993408203125,64.0,emission,emission_only
q3g3_s4_00081,S4_neighbor_dependent,fragile_or_inconclusive,travelling,travelling_identity,"(2, 2, 2)",286,0.1790771484375,17,0.0003306070963541,0.0,329.0,1.0,0.285125732421875,64.0,pass_through,output_distribution_fakeout
q3g3_s4_00100,S4_neighbor_dependent,fragile_or_inconclusive,travelling,travelling_identity,"(0, 1, 1)",403,0.22021484375,17,-0.003021240234375,0.0,417.5,0.9505208333333331,0.175994873046875,64.0,pass_through,output_distribution_fakeout
q3g3_s4_00104,S4_neighbor_dependent,near_validation_pra,travelling,emitter,"(0, 1, 1)",381,0.3599853515625,17,-0.0009104410807291,0.0,467.0,0.953125,0.2184600830078125,64.0,emission,emission_only
q3g3_s4_00127,S4_neighbor_dependent,local_phase_or_self_fakeout,travelling,emitter,"(2, 2, 2)",229,0.34326171875,17,0.0012156168619791,0.0,483.5,1.0,0.2978973388671875,64.0,emission,self_persistence_fakeout
q3g3_s4_00147,S4_neighbor_dependent,validation_composition_overlap,travelling,travelling_identity,"(2, 2, 2)",305,0.2568359375,17,-0.0065663655598958,0.0,429.0,1.0,0.2871042887369792,64.0,pass_through,control_adjusted_positive
