variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction
noise_000,noise,mild,0.45,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.3072702817431667
noise_000,noise,mild,0.45,900,center_of_mass,1.0,0.7838249103742326,0.10808754481288366,0.33169285594321185
noise_000,noise,mild,0.45,900,joint_basin,1.0,1.0,0.0,0.43336622920313744
noise_000,noise,mild,0.45,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.3004575653105065
noise_000,noise,mild,0.45,1500,center_of_mass,1.0,0.7454068711711836,0.12729656441440815,0.3595348838909319
noise_000,noise,mild,0.45,1500,joint_basin,1.0,0.9735207143995279,0.01323964280023605,0.4258491719234095
noise_000,noise,mild,0.45,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.20922511516261516
noise_000,noise,mild,0.45,2400,center_of_mass,1.0,0.6648983258603147,0.1675508370698426,0.37525496385088153
noise_000,noise,mild,0.45,2400,joint_basin,1.0,0.8777779015580892,0.06111104922095532,0.44514884991270226
noise_000,noise,mild,0.5,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.3336651635818751
noise_000,noise,mild,0.5,900,center_of_mass,1.0,0.8204719880647756,0.08976400596761216,0.33331387832664816
noise_000,noise,mild,0.5,900,joint_basin,1.0,1.0,0.0,0.44304972834867157
noise_000,noise,mild,0.5,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.33230511930879575
noise_000,noise,mild,0.5,1500,center_of_mass,1.0,0.7920606794822466,0.10396966025887666,0.35535520358541095
noise_000,noise,mild,0.5,1500,joint_basin,1.0,0.9556252560558839,0.022187371972058043,0.40724135855208654
noise_000,noise,mild,0.5,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.22898212898212894
noise_000,noise,mild,0.5,2400,center_of_mass,1.0,0.7080051376872327,0.14599743115638358,0.3791620006822376
noise_000,noise,mild,0.5,2400,joint_basin,1.0,0.9220266154430965,0.03898669227845173,0.4505358549444488
noise_000,noise,mild,0.525,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.36860215788347095
noise_000,noise,mild,0.525,900,center_of_mass,1.0,0.8396459246361335,0.08017703768193318,0.3340594091856742
noise_000,noise,mild,0.525,900,joint_basin,1.0,1.0,0.0,0.4358340848434293
noise_000,noise,mild,0.525,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.33910917819925174
noise_000,noise,mild,0.525,1500,center_of_mass,1.0,0.8159383045424867,0.09203084772875655,0.3614443017731067
noise_000,noise,mild,0.525,1500,joint_basin,1.0,0.9566085587939087,0.02169572060304559,0.40748785230668394
noise_000,noise,mild,0.525,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.2497094918969919
noise_000,noise,mild,0.525,2400,center_of_mass,1.0,0.7299139950059416,0.13504300249702922,0.3825240987089485
noise_000,noise,mild,0.525,2400,joint_basin,1.0,0.9461462437235664,0.026926878138216797,0.4611544480312199
noise_001,noise,moderate,0.45,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.4358179391557114
noise_001,noise,moderate,0.45,900,center_of_mass,1.0,0.8220674979866451,0.08896625100667735,0.3941743835533167
noise_001,noise,moderate,0.45,900,joint_basin,1.0,1.0,0.0,0.47704423783455424
noise_001,noise,moderate,0.45,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.43600600825035896
noise_001,noise,moderate,0.45,1500,center_of_mass,1.0,0.8101306966784154,0.09493465166079221,0.43993497635067513
noise_001,noise,moderate,0.45,1500,joint_basin,1.0,1.0,0.0,0.47160823903896254
noise_001,noise,moderate,0.45,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.405483018842295
noise_001,noise,moderate,0.45,2400,center_of_mass,1.0,0.7807170358951833,0.10964148205240831,0.5038423555472915
noise_001,noise,moderate,0.45,2400,joint_basin,1.0,0.9902930255475149,0.00485348722624253,0.4820049562356827
noise_001,noise,moderate,0.5,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.4472401759695779
noise_001,noise,moderate,0.5,900,center_of_mass,1.0,0.8330015867665906,0.08349920661670462,0.3930378247225308
noise_001,noise,moderate,0.5,900,joint_basin,1.0,1.0,0.0,0.47704338569885696
noise_001,noise,moderate,0.5,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.4453946224694533
noise_001,noise,moderate,0.5,1500,center_of_mass,1.0,0.821523544364846,0.08923822781757697,0.4426454043788314
noise_001,noise,moderate,0.5,1500,joint_basin,1.0,1.0,0.0,0.462645538639992
noise_001,noise,moderate,0.5,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.3812370936587282
noise_001,noise,moderate,0.5,2400,center_of_mass,1.0,0.7892794512500191,0.10536027437499043,0.5042652637364762
noise_001,noise,moderate,0.5,2400,joint_basin,1.0,0.9917276460230904,0.004136176988454779,0.48655012086383753
noise_001,noise,moderate,0.525,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.46160386713826984
noise_001,noise,moderate,0.525,900,center_of_mass,1.0,0.8387342928668575,0.08063285356657121,0.3938546901706235
noise_001,noise,moderate,0.525,900,joint_basin,1.0,1.0,0.0,0.4727767991454301
noise_001,noise,moderate,0.525,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.432018637603554
noise_001,noise,moderate,0.525,1500,center_of_mass,1.0,0.8274706613327119,0.08626466933364399,0.44242630243092124
noise_001,noise,moderate,0.525,1500,joint_basin,1.0,0.9991467552719893,0.00042662236400530364,0.459973946893384
noise_001,noise,moderate,0.525,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.3780209028869174
noise_001,noise,moderate,0.525,2400,center_of_mass,1.0,0.7937513717149216,0.10312431414253917,0.5025386594710699
noise_001,noise,moderate,0.525,2400,joint_basin,1.0,0.9954964952767759,0.0022517523616120342,0.49054041796551295
potential_shape_000,potential_shape,mild,0.45,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.3952149626287111
potential_shape_000,potential_shape,mild,0.45,900,center_of_mass,1.0,0.8090137814889177,0.09549310925554111,0.3511911993791255
potential_shape_000,potential_shape,mild,0.45,900,joint_basin,1.0,1.0,0.0,0.4513012505802794
potential_shape_000,potential_shape,mild,0.45,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.35224948940733364
potential_shape_000,potential_shape,mild,0.45,1500,center_of_mass,1.0,0.7934311808858507,0.10328440955707459,0.38192026773052146
potential_shape_000,potential_shape,mild,0.45,1500,joint_basin,1.0,0.9999277276292078,3.613618539612375e-05,0.4505466497492021
potential_shape_000,potential_shape,mild,0.45,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.2889935758685759
potential_shape_000,potential_shape,mild,0.45,2400,center_of_mass,1.0,0.7423354689169253,0.12883226554153732,0.4238890152938278
potential_shape_000,potential_shape,mild,0.45,2400,joint_basin,1.0,0.9068499500842171,0.046575024957891425,0.4528179143957475
potential_shape_000,potential_shape,mild,0.5,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.371678135100868
potential_shape_000,potential_shape,mild,0.5,900,center_of_mass,1.0,0.8364068962817551,0.0817965518591224,0.3500689356121373
potential_shape_000,potential_shape,mild,0.5,900,joint_basin,1.0,1.0,0.0,0.45882183434400625
potential_shape_000,potential_shape,mild,0.5,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.38618738615400766
potential_shape_000,potential_shape,mild,0.5,1500,center_of_mass,1.0,0.8249051649193255,0.08754741754033724,0.3824786052417192
potential_shape_000,potential_shape,mild,0.5,1500,joint_basin,1.0,0.9775081102139239,0.011245944893038005,0.4400014076097486
potential_shape_000,potential_shape,mild,0.5,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.3007328078375872
potential_shape_000,potential_shape,mild,0.5,2400,center_of_mass,1.0,0.7720713468364442,0.11396432658177788,0.42000309178375395
potential_shape_000,potential_shape,mild,0.5,2400,joint_basin,1.0,0.9248325604316557,0.037583719784172145,0.4550507976420807
potential_shape_000,potential_shape,mild,0.525,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.4004195349509339
potential_shape_000,potential_shape,mild,0.525,900,center_of_mass,1.0,0.8482598651928577,0.0758700674035711,0.35109240530747493
potential_shape_000,potential_shape,mild,0.525,900,joint_basin,1.0,1.0,0.0,0.4573156479427025
potential_shape_000,potential_shape,mild,0.525,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.4054604865808426
potential_shape_000,potential_shape,mild,0.525,1500,center_of_mass,1.0,0.8390758800792009,0.08046205996039954,0.38288142988049956
potential_shape_000,potential_shape,mild,0.525,1500,joint_basin,1.0,0.9701871976763499,0.014906401161825011,0.43696447138958366
potential_shape_000,potential_shape,mild,0.525,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.3527775982187747
potential_shape_000,potential_shape,mild,0.525,2400,center_of_mass,1.0,0.7852797195293311,0.10736014023533438,0.4227609460013892
potential_shape_000,potential_shape,mild,0.525,2400,joint_basin,1.0,0.9382478818741831,0.03087605906290845,0.4603515956657547
potential_shape_001,potential_shape,moderate,0.45,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.4271990227381612
potential_shape_001,potential_shape,moderate,0.45,900,center_of_mass,1.0,0.7737929424110521,0.11310352879447391,0.3560938510971762
potential_shape_001,potential_shape,moderate,0.45,900,joint_basin,1.0,1.0,0.0,0.44242443076495086
potential_shape_001,potential_shape,moderate,0.45,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.4314661089787998
potential_shape_001,potential_shape,moderate,0.45,1500,center_of_mass,1.0,0.7302109047790762,0.13489454761046188,0.383235742870096
potential_shape_001,potential_shape,moderate,0.45,1500,joint_basin,1.0,1.0,0.0,0.4349261541672593
potential_shape_001,potential_shape,moderate,0.45,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.3906697267184252
potential_shape_001,potential_shape,moderate,0.45,2400,center_of_mass,1.0,0.6700048427132452,0.1649975786433773,0.420141289078371
potential_shape_001,potential_shape,moderate,0.45,2400,joint_basin,1.0,0.9999206597296689,3.967013516549875e-05,0.4736955950216653
potential_shape_001,potential_shape,moderate,0.5,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.41756930349422927
potential_shape_001,potential_shape,moderate,0.5,900,center_of_mass,1.0,0.7979541430748253,0.10102292846258731,0.35331299947703243
potential_shape_001,potential_shape,moderate,0.5,900,joint_basin,1.0,1.0,0.0,0.43838075569146095
potential_shape_001,potential_shape,moderate,0.5,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.4557104128129838
potential_shape_001,potential_shape,moderate,0.5,1500,center_of_mass,1.0,0.758023012770327,0.12098849361483643,0.38557953810121093
potential_shape_001,potential_shape,moderate,0.5,1500,joint_basin,1.0,0.992996736145205,0.0035016319273974785,0.4167804859296732
potential_shape_001,potential_shape,moderate,0.5,2400,boundary_v2_regime_sequence,1.0,1.0,0.0,0.3893424931878332
potential_shape_001,potential_shape,moderate,0.5,2400,center_of_mass,1.0,0.6900329942709515,0.15498350286452425,0.4206264436549926
potential_shape_001,potential_shape,moderate,0.5,2400,joint_basin,1.0,1.0,0.0,0.4900537005351935
potential_shape_001,potential_shape,moderate,0.525,900,boundary_v2_regime_sequence,1.0,1.0,0.0,0.4420667783986859
potential_shape_001,potential_shape,moderate,0.525,900,center_of_mass,1.0,0.8108843891717814,0.09455780541410924,0.35366246052663997
potential_shape_001,potential_shape,moderate,0.525,900,joint_basin,1.0,1.0,0.0,0.43904417209331187
potential_shape_001,potential_shape,moderate,0.525,1500,boundary_v2_regime_sequence,1.0,1.0,0.0,0.47313769228918223
potential_shape_001,potential_shape,moderate,0.525,1500,center_of_mass,1.0,0.7721767559993153,0.1139116220003423,0.3868359053020559
potential_shape_001,potential_shape,moderate,0.525,1500,joint_basin,1.0,0.9916486013535893,0.004175699323205288,0.419874011124952
