variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,singleton_fraction,estimator_stable,ci_width,category
initial_location_001,initial_location,moderate,0.525,2400,center_of_mass,0.42248626760619307,True,0.003525960037386283,Robust propagation retained
initial_location_001,initial_location,moderate,0.525,2400,joint_basin,0.4721205743291235,True,0.02844221429180585,Entropy-only pseudo-risk
noise_000,noise,mild,0.45,900,boundary_v2_regime_sequence,0.3072702817431667,True,0.03463760978558181,Propagation lost
noise_000,noise,mild,0.45,900,center_of_mass,0.33169285594321185,True,0.004689045623833002,Robust propagation retained
noise_000,noise,mild,0.45,900,joint_basin,0.43336622920313744,False,0.025467179223013225,Estimator-limited
noise_000,noise,mild,0.45,1500,boundary_v2_regime_sequence,0.3004575653105065,False,0.04795541998469571,Estimator-limited
noise_000,noise,mild,0.45,1500,center_of_mass,0.3595348838909319,True,0.004611298617658188,Robust propagation retained
noise_000,noise,mild,0.45,1500,joint_basin,0.4258491719234095,False,0.02696090565665081,Estimator-limited
noise_000,noise,mild,0.45,2400,boundary_v2_regime_sequence,0.20922511516261516,False,0.04672494999024152,Estimator-limited
noise_000,noise,mild,0.45,2400,center_of_mass,0.37525496385088153,True,0.00482241362710821,Component-erasing
noise_000,noise,mild,0.45,2400,joint_basin,0.44514884991270226,True,0.026884390493499888,Entropy-only pseudo-risk
noise_000,noise,mild,0.5,900,boundary_v2_regime_sequence,0.3336651635818751,True,0.03295600121787515,Propagation lost
noise_000,noise,mild,0.5,900,center_of_mass,0.33331387832664816,True,0.005170495776820869,Robust propagation retained
noise_000,noise,mild,0.5,900,joint_basin,0.44304972834867157,False,0.02360322551935074,Estimator-limited
noise_000,noise,mild,0.5,1500,boundary_v2_regime_sequence,0.33230511930879575,True,0.04444260525481444,Propagation lost
noise_000,noise,mild,0.5,1500,center_of_mass,0.35535520358541095,True,0.005198786815370185,Robust propagation retained
noise_000,noise,mild,0.5,1500,joint_basin,0.40724135855208654,False,0.036875497726971185,Estimator-limited
noise_000,noise,mild,0.5,2400,boundary_v2_regime_sequence,0.22898212898212894,False,0.04798334454036712,Estimator-limited
noise_000,noise,mild,0.5,2400,center_of_mass,0.3791620006822376,True,0.0047554482730133435,Robust propagation retained
noise_000,noise,mild,0.5,2400,joint_basin,0.4505358549444488,True,0.035716568316575464,Entropy-only pseudo-risk
noise_000,noise,mild,0.525,900,boundary_v2_regime_sequence,0.36860215788347095,True,0.03481264516391258,Propagation lost
noise_000,noise,mild,0.525,900,center_of_mass,0.3340594091856742,True,0.004616981818823043,Robust propagation retained
noise_000,noise,mild,0.525,900,joint_basin,0.4358340848434293,False,0.029623249920096833,Estimator-limited
noise_000,noise,mild,0.525,1500,boundary_v2_regime_sequence,0.33910917819925174,True,0.04385627655149815,Propagation lost
noise_000,noise,mild,0.525,1500,center_of_mass,0.3614443017731067,True,0.00467411709329843,Robust propagation retained
noise_000,noise,mild,0.525,1500,joint_basin,0.40748785230668394,False,0.028233717133632208,Estimator-limited
noise_000,noise,mild,0.525,2400,boundary_v2_regime_sequence,0.2497094918969919,False,0.05109284754833504,Estimator-limited
noise_000,noise,mild,0.525,2400,center_of_mass,0.3825240987089485,True,0.004840855914274009,Robust propagation retained
noise_000,noise,mild,0.525,2400,joint_basin,0.4611544480312199,True,0.03287453658683592,Entropy-only pseudo-risk
noise_001,noise,moderate,0.45,900,boundary_v2_regime_sequence,0.4358179391557114,True,0.02761124076271798,Propagation lost
noise_001,noise,moderate,0.45,900,center_of_mass,0.3941743835533167,True,0.0033300637847810677,Robust propagation retained
noise_001,noise,moderate,0.45,900,joint_basin,0.47704423783455424,True,0.02163910305897157,Entropy-only pseudo-risk
noise_001,noise,moderate,0.45,1500,boundary_v2_regime_sequence,0.43600600825035896,True,0.039179584479627216,Propagation lost
noise_001,noise,moderate,0.45,1500,center_of_mass,0.43993497635067513,True,0.003090692573954494,Robust propagation retained
noise_001,noise,moderate,0.45,1500,joint_basin,0.47160823903896254,False,0.021793032735134485,Estimator-limited
noise_001,noise,moderate,0.45,2400,boundary_v2_regime_sequence,0.405483018842295,True,0.03770770995503886,Propagation lost
noise_001,noise,moderate,0.45,2400,center_of_mass,0.5038423555472915,True,0.0027482614999103233,Robust propagation retained
noise_001,noise,moderate,0.45,2400,joint_basin,0.4820049562356827,True,0.02191071989641276,Entropy-only pseudo-risk
noise_001,noise,moderate,0.5,900,boundary_v2_regime_sequence,0.4472401759695779,True,0.028558724396754498,Propagation lost
noise_001,noise,moderate,0.5,900,center_of_mass,0.3930378247225308,True,0.003635045506141306,Robust propagation retained
noise_001,noise,moderate,0.5,900,joint_basin,0.47704338569885696,True,0.02347337032401793,Entropy-only pseudo-risk
noise_001,noise,moderate,0.5,1500,boundary_v2_regime_sequence,0.4453946224694533,True,0.03323446547464198,Propagation lost
noise_001,noise,moderate,0.5,1500,center_of_mass,0.4426454043788314,True,0.00342342075485709,Robust propagation retained
noise_001,noise,moderate,0.5,1500,joint_basin,0.462645538639992,True,0.020217952740888244,Entropy-only pseudo-risk
noise_001,noise,moderate,0.5,2400,boundary_v2_regime_sequence,0.3812370936587282,True,0.034555239009732897,Propagation lost
noise_001,noise,moderate,0.5,2400,center_of_mass,0.5042652637364762,True,0.0033566911867857346,Robust propagation retained
noise_001,noise,moderate,0.5,2400,joint_basin,0.48655012086383753,True,0.02239379699345087,Entropy-only pseudo-risk
noise_001,noise,moderate,0.525,900,boundary_v2_regime_sequence,0.46160386713826984,True,0.030055762812147557,Propagation lost
noise_001,noise,moderate,0.525,900,center_of_mass,0.3938546901706235,True,0.0035448103807419196,Robust propagation retained
noise_001,noise,moderate,0.525,900,joint_basin,0.4727767991454301,True,0.018502805946095685,Entropy-only pseudo-risk
noise_001,noise,moderate,0.525,1500,boundary_v2_regime_sequence,0.432018637603554,True,0.030243411360855565,Propagation lost
noise_001,noise,moderate,0.525,1500,center_of_mass,0.44242630243092124,True,0.003371993832274961,Robust propagation retained
noise_001,noise,moderate,0.525,1500,joint_basin,0.459973946893384,False,0.0215216697622135,Estimator-limited
noise_001,noise,moderate,0.525,2400,boundary_v2_regime_sequence,0.3780209028869174,True,0.034787917004436786,Propagation lost
noise_001,noise,moderate,0.525,2400,center_of_mass,0.5025386594710699,True,0.00291637208410446,Robust propagation retained
