variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_width,ci_excludes_zero
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,Delta_viable_propagation_vs_shuffled,-0.26017404742581585,0.08224196114169512,0.009194930785786324,-0.27798794465710314,-0.24282380678855847,0.035164137868544665,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,Delta_viable_propagation_vs_product,-0.2572625948359578,0.07718367048638036,0.008629396698024537,-0.27643936149074005,-0.2407779864639197,0.03566137502682035,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,Delta_depth_vs_shuffled,0.0003991063790543356,0.0012349785758589134,0.00013807480231882053,0.00015194876234575627,0.0006512554170489961,0.0004993066547032399,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,Delta_depth_vs_product,0.00026898757498434317,0.0012112419145582666,0.0001354209629074638,1.6172638738007168e-05,0.0005289542329331202,0.000512781594195113,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,Delta_robust_reachability_vs_shuffled,-0.09276318255603198,0.003100969595374167,0.0003466989405708327,-0.093472414647089,-0.09206956995787517,0.0014028446892138252,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,Delta_robust_reachability_vs_product,-0.09251332102581222,0.00289506092595939,0.0003236776514724341,-0.09310694920191627,-0.09190092249896449,0.001206026702951779,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0,0.0,True
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,0.0,False
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,singleton_fraction,0.4182790547975694,0.07533973032721038,0.008423237920907243,0.4028408061559162,0.4335628857738485,0.030722079617932274,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,Delta_viable_propagation_vs_shuffled,0.05685086323444272,0.009970314138026556,0.00111471500848273,0.05482982462346275,0.0590422218223036,0.004212397198840846,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,Delta_viable_propagation_vs_product,0.057193733730817195,0.009726203926635566,0.001087422657149125,0.05514585692662663,0.059302915105009915,0.0041570581783832855,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,Delta_depth_vs_shuffled,0.041992208589699855,0.008453097266346661,0.000945085005398439,0.039850263955789667,0.043764676666145655,0.003914412710355988,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,Delta_depth_vs_product,0.043210953825258636,0.006843965277007099,0.0007651785797518026,0.04178208753093876,0.044604401264724564,0.002822313733785803,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,Delta_robust_reachability_vs_shuffled,0.028592749280058633,0.004948260161492351,0.0005532323045725492,0.027591982357766446,0.029651516278714603,0.002059533920948157,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,Delta_robust_reachability_vs_product,0.02904536660291098,0.004393103156535144,0.000491163864509074,0.02806117042418698,0.030048678357549916,0.001987507933362935,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,component_B_preservation,0.8002894153254514,0.005079002881277058,0.0005678497850226398,0.7992595835728409,0.8013718632839459,0.0021122797111050584,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,lower_rank_erasure_score,0.09985529233727423,0.0025395014406385283,0.0002839248925113198,0.0993086077459183,0.10040034293823435,0.0010917351923160484,True
initial_location_000,initial_location,mild,0.45,900,center_of_mass,singleton_fraction,0.3495711662376336,0.01739200394648566,0.0019444851544643275,0.3457297430670894,0.3529034507515223,0.007173707684432873,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,Delta_viable_propagation_vs_shuffled,-0.046225536300309275,0.05769607427910286,0.006450617206147558,-0.05841967011336643,-0.03393097901222884,0.024488691101137584,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,Delta_viable_propagation_vs_product,-0.05315859723094283,0.05444307172894959,0.006086920464491414,-0.06629734776711062,-0.042950449842180195,0.023346897924930422,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,Delta_depth_vs_shuffled,-0.009622450318453457,0.0024478592880015277,0.00027367898836628255,-0.01012449710127036,-0.009102774898681585,0.0010217222025887748,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,Delta_depth_vs_product,-0.00956069935364414,0.0023321130857573108,0.0002607381695485072,-0.01005908334096304,-0.009079963052511577,0.000979120288451464,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,Delta_robust_reachability_vs_shuffled,0.25389330143723576,0.003039519703441731,0.0003398286337922856,0.25326726920140524,0.25457268894381674,0.0013054197424114955,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,Delta_robust_reachability_vs_product,0.25406025870898485,0.0031587930152475823,0.00035316379544725617,0.2533603723667594,0.2546897865648408,0.0013294141980814134,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,component_B_preservation,1.0,0.0,0.0,1.0,1.0,0.0,True
initial_location_000,initial_location,mild,0.45,900,joint_basin,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,0.0,False
