variant_id,perturbation_family,perturbation_strength,condition,alpha,T,kappa,seed,p_viable,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,transport_survival_mean,certified_transport_density,viable_propagation_index,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction,certified_node_fraction,viable_fiber_fraction,macro_path_entropy,macro_node_entropy,breadth_index,Delta_viable_propagation_vs_product,Delta_viable_propagation_vs_shuffled,Delta_depth_vs_product,Delta_depth_vs_shuffled,Delta_robust_reachability_vs_product,Delta_robust_reachability_vs_shuffled,Delta_breadth_vs_product,Delta_breadth_vs_shuffled,Delta_R,Delta_H_weighted_product,ci_low,ci_high,ci_width,estimator_stable,category,propagation_retained
reference_000,reference,reference,coupled,0.45,900,boundary_v2_regime_sequence,39.5,0.9988783333333334,0.9943402381523931,0.9945515876185462,0.9975255264656729,0.40809383560249624,0.5986579106257597,1.0,1.0,0.0,0.39648421504636916,0.5989124800637958,1.0,2.046801236282735,0.6654391041037917,0.15902357902572178,-0.2315355473556595,-0.2366346160071262,0.0001805723145942295,0.00016680121483259036,-0.09435649149476899,-0.09449167021418392,-0.09493968624342486,-0.09507213935579001,-1.2236770011902323,-1.220348986463792,-0.25503624063731417,-0.21928432402034476,0.035751916616969415,True,Propagation lost,False
reference_000,reference,reference,coupled,0.45,900,center_of_mass,39.5,0.9988783333333334,0.6390014778375898,0.6480191922342102,0.8017623717777649,0.5132330642723312,0.265066012563299,1.0,0.7990864351728109,0.10045678241359453,0.3524920785220227,0.7371624411593612,1.0,7.12840964275851,2.1185094722181126,0.5538325800604416,0.05495302229070556,0.05412404016058264,0.04131094889272835,0.040418722949101316,0.028260196485889566,0.027803451315369154,0.009002731037722644,0.009051790512624391,0.11650989938579848,0.11629021547836871,0.05218997759839284,0.05631360791960476,0.004123630321211921,True,Robust propagation retained,True
reference_000,reference,reference,coupled,0.45,900,joint_basin,39.5,0.9988783333333334,0.9857107209343337,0.9884171773274089,0.9943350661862033,0.5429864092241884,0.5383406218055564,1.0,1.0,0.0,0.45075358097889373,0.6451861577964519,1.0,4.483574752413084,1.2482962788961223,0.34834553385455846,-0.03344463072744297,-0.040393535048002804,-0.009360041035429978,-0.009363656895054695,0.2521644820867406,0.25232531017563736,0.25669029815780015,0.25685225539934275,3.3059602689953866,3.300261229208975,-0.052810067319467566,-0.027644391052812977,0.02516567626665459,False,Estimator-limited,False
reference_000,reference,reference,coupled,0.45,1500,boundary_v2_regime_sequence,39.5,0.9988783333333334,0.9934659803062071,0.9936608817198239,0.9977235548328849,0.3823010901592485,0.626882006790735,1.0,1.0,0.0,0.3675516251020819,0.5934672235122119,1.0,1.6326742528871994,0.5475777503112207,0.1268485176935756,-0.24713470517468006,-0.24585517975535542,6.382817745842484e-05,-0.00021528159627992594,-0.17143678371833157,-0.17099889282488792,-0.17258356030399394,-0.17205877903561703,-2.2145760421365406,-2.2185410428446857,-0.2657952731248492,-0.2258973030955034,0.03989797002934578,True,Propagation lost,False
reference_000,reference,reference,coupled,0.45,1500,center_of_mass,39.5,0.9988783333333334,0.6723202709682212,0.6787767610231179,0.8780103869672875,0.5143284531948692,0.28329729186616154,1.0,0.7745002723706718,0.11274986381466408,0.38036874159362555,0.7559099549706118,1.0,7.8213815555295465,2.0216949629795327,0.6076721585676159,0.07093255473551227,0.07026472348392904,0.09115940431782266,0.09057326110251684,0.07075122072333917,0.07033096636550062,0.02642330137660054,0.02628654212826309,0.3383391966665741,0.3402962061365544,0.06827271614713992,0.07242758152321911,0.004154865376079189,True,Robust propagation retained,True
reference_000,reference,reference,coupled,0.45,1500,joint_basin,39.5,0.9988783333333334,0.9891895933004147,0.9900905246685034,0.996065887139871,0.6774793712008818,0.5482901024457467,1.0,0.9994139609712432,0.0002930195143783658,0.44320003611361714,0.6974894957983193,1.0,6.025371448253425,1.4434791879825324,0.46813343596969137,-0.046239854503189015,-0.05435045345568057,-0.005313831552082204,-0.005412608556323861,0.37735750538866725,0.3774242879855332,0.38194447411545684,0.3820201788385874,4.917003445508375,4.910600806255369,-0.06745976603683698,-0.04131992159570151,0.02613984444113547,False,Estimator-limited,False
reference_000,reference,reference,coupled,0.45,2400,boundary_v2_regime_sequence,39.5,0.9988783333333334,0.9959771166863817,0.9960832651249822,0.9988587120367782,0.4998904091924687,0.6496394359932502,1.0,1.0,0.0,0.34699656348553404,0.6649459415176326,1.0,1.2281541967035932,0.47769580784807,0.09541985302274812,-0.23948357023382139,-0.23853883491201078,-8.646743961038261e-05,-0.00012690899988754278,-0.24304567578706515,-0.24297582586739136,-0.24399790229249507,-0.24391399890376325,-3.13942835926785,-3.13664797443852,-0.2629454774756861,-0.21654228229567005,0.04640319518001604,True,Propagation lost,False
reference_000,reference,reference,coupled,0.45,2400,center_of_mass,39.5,0.9988783333333334,0.7275339096100859,0.7322971909552773,0.9307038305271634,0.5476244767311045,0.28072100912667475,1.0,0.7160073550577819,0.14199632247110905,0.42096250748337044,0.764482769749898,1.0,8.494898337668388,1.965860232823998,0.6600001572090625,0.07615917854783691,0.07543439049847134,0.1688183093295812,0.16799530833537357,0.1425264624388088,0.14214960249170583,0.05567475067082428,0.05589010750774037,0.7193686024143586,0.7163943119221079,0.07355575683421309,0.07718738442808575,0.0036316275938726578,True,Robust propagation retained,True
reference_000,reference,reference,coupled,0.45,2400,joint_basin,39.5,0.9988783333333334,0.9907179849434196,0.9914106554824688,0.9970742318796681,0.7435948667622534,0.49581195808548506,1.0,0.9268157418957609,0.03659212905211952,0.45843948225007203,0.7240353641456583,1.0,6.562792125552603,1.4639452970206954,0.5098876289288384,-0.14384111014012713,-0.13658319061276059,-0.0015028442200288872,-0.0013947629077610824,0.42852399790440565,0.42870113307925434,0.43265598439648223,0.4328261141299471,5.570929540711582,5.5625704695964595,-0.15220426210790708,-0.12148842559188226,0.030715836516024816,True,Entropy-only pseudo-risk,False
reference_000,reference,reference,coupled,0.5,900,boundary_v2_regime_sequence,39.5,0.9989399999999999,0.9930909543598933,0.993504651700867,0.9970298768411583,0.3778433139507024,0.6025503001597148,1.0,1.0,0.0,0.3914582923251976,0.5758646616541354,1.0,1.9543585481467065,0.639677903122434,0.15184031473772797,-0.22695944190891437,-0.2317588306552436,-0.001267573470838279,-0.0011438312151963448,-0.1016441633233762,-0.10150037150940525,-0.1020272786214601,-0.10191424931795479,-1.3117061736153264,-1.3115193638435936,-0.2470195958821191,-0.21410238657597028,0.03291720930614883,True,Propagation lost,False
