variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,Delta_R,Delta_H_weighted_product,Delta_breadth_vs_product,Delta_breadth_vs_shuffled,macro_path_entropy,macro_node_entropy,breadth_index
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,-1.2017989085199847,-1.1966449749779566,-0.09308963289632108,-0.09337380949252053,2.055149542292818,0.6700989329694387,0.1596724838021085
initial_location_000,initial_location,mild,0.45,900,center_of_mass,0.11626621003619508,0.111801032283938,0.008670889880532218,0.009030015176050732,7.121446203280182,2.1154467594744233,0.5532925858067517
initial_location_000,initial_location,mild,0.45,900,joint_basin,3.327131370277645,3.325471130854507,0.25865896742039257,0.25849715942904294,4.48435620449801,1.2452230043448722,0.3484069145726297
initial_location_000,initial_location,mild,0.45,1500,boundary_v2_regime_sequence,-2.2004384902082683,-2.195901086732216,-0.1708162544639561,-0.17096224648844327,1.6367540636360167,0.5513782360152926,0.1271657268987923
initial_location_000,initial_location,mild,0.45,1500,center_of_mass,0.34304503167872724,0.33674954592661965,0.026166237707789253,0.026649147599422385,7.816975238626661,2.0186592755435955,0.6073309083924707
initial_location_000,initial_location,mild,0.45,1500,joint_basin,4.951400162092942,4.94552245982269,0.3846706855798417,0.38469289096784187,6.038053054573247,1.4431025183933177,0.4691196131549552
initial_location_000,initial_location,mild,0.45,2400,boundary_v2_regime_sequence,-3.12623464479694,-3.116987283365156,-0.24246239232769673,-0.2428911523540106,1.2274723394556708,0.4805768231590248,0.09536705237496867
initial_location_000,initial_location,mild,0.45,2400,center_of_mass,0.7225433082686861,0.7206053069478422,0.05602239095021566,0.05613368425411347,8.49409012399434,1.9645189819593925,0.6599385609941184
initial_location_000,initial_location,mild,0.45,2400,joint_basin,5.6110293662357185,5.604433291938442,0.43592272954784805,0.43594205296998884,6.585497922214171,1.4672836438641026,0.5116526904707166
initial_location_000,initial_location,mild,0.5,900,boundary_v2_regime_sequence,-1.3061932428748841,-1.294746115384568,-0.10068773053329602,-0.10148314372506653,1.9608846115384324,0.6439614584462382,0.15235066154042984
initial_location_000,initial_location,mild,0.5,900,center_of_mass,0.1213308203012291,0.13412948865483987,0.010506951128584352,0.00942971809027826,7.1378595697921865,2.12388801696237,0.5545750410569389
initial_location_000,initial_location,mild,0.5,900,joint_basin,3.8731275492100217,3.864791526676608,0.30066380687420874,0.3009226079156997,5.027939277695302,1.3892624363276007,0.39064507318376507
initial_location_000,initial_location,mild,0.5,1500,boundary_v2_regime_sequence,-2.300934511385515,-2.2843911515600483,-0.17766868545805714,-0.17876919834823812,1.547822313893252,0.5326903061349787,0.12025784430813828
initial_location_000,initial_location,mild,0.5,1500,center_of_mass,0.35433093885491207,0.3626980807788698,0.028292769633101233,0.027532858470236676,7.837523795108801,2.0362856628892905,0.608935378755034
initial_location_000,initial_location,mild,0.5,1500,joint_basin,5.39274302522907,5.384559804728419,0.41888964938545437,0.41898890930862775,6.478023385189092,1.573717598603918,0.5033091777433463
initial_location_000,initial_location,mild,0.5,2400,boundary_v2_regime_sequence,-3.1908210694253225,-3.173741794655924,-0.2468481337526322,-0.2479085810130494,1.1737667830742855,0.4751112550471685,0.09119565239837052
initial_location_000,initial_location,mild,0.5,2400,center_of_mass,0.7376773004267267,0.7449040945279517,0.05802859087319445,0.057317013950972884,8.514376415025549,1.992311283140675,0.6615233519789054
initial_location_000,initial_location,mild,0.5,2400,joint_basin,5.728884767352086,5.720375265138872,0.4450124235988286,0.44510536265940903,6.7016618313518705,1.5423224584260329,0.5206847488566564
initial_location_000,initial_location,mild,0.525,900,boundary_v2_regime_sequence,-1.3346920794373642,-1.3311227325122001,-0.10355196638155711,-0.10369979398228618,1.9199006905942144,0.6322407973083283,0.14916494836953742
initial_location_000,initial_location,mild,0.525,900,center_of_mass,0.12903792973233053,0.13719785846705435,0.010648681816071925,0.010020991497156517,7.140993878663513,2.12790291543135,0.554813075466991
initial_location_000,initial_location,mild,0.525,900,joint_basin,4.110748004011288,4.110354397775445,0.3197194719145066,0.319380144478017,5.269392001433585,1.4579681445391737,0.4094006629775701
initial_location_000,initial_location,mild,0.525,1500,boundary_v2_regime_sequence,-2.335065250065414,-2.3274011241541945,-0.18104924256783866,-0.1814232402638587,1.5029426601196156,0.5246568553368322,0.11676977339669097
initial_location_000,initial_location,mild,0.525,1500,center_of_mass,0.36532042691035116,0.3727026596653005,0.0289658150173846,0.02837844575158599,7.8474978080308855,2.045092479806582,0.6097042550750131
initial_location_000,initial_location,mild,0.525,1500,joint_basin,5.543773632566065,5.542092706498923,0.4310872416701338,0.4307178080622589,6.633522289453792,1.629411970309274,0.5153855288252724
initial_location_000,initial_location,mild,0.525,2400,boundary_v2_regime_sequence,-3.1879747201528303,-3.1873926614454122,-0.24794528111113892,-0.24768960793823744,1.1602842356099028,0.47395984769034205,0.09014723845588749
initial_location_000,initial_location,mild,0.525,2400,center_of_mass,0.7552221531867094,0.7623974723134479,0.05927721602269309,0.058671326127571866,8.53014719519173,2.006601853627453,0.662742084321801
initial_location_000,initial_location,mild,0.525,2400,joint_basin,5.735144883954488,5.731702274263173,0.44583635263059374,0.4455862952270232,6.710154976309527,1.57078512533579,0.5213394272459865
initial_location_001,initial_location,moderate,0.45,900,boundary_v2_regime_sequence,-1.2211371850727994,-1.2188640391599734,-0.0948490340738026,-0.09487668156971416,2.046901153111152,0.6664292406310321,0.15903138490551874
initial_location_001,initial_location,moderate,0.45,900,center_of_mass,0.11442763119671451,0.11687339874017866,0.008995521424590036,0.008886132114041101,7.128041709773538,2.1168683302833644,0.5538041778249323
initial_location_001,initial_location,moderate,0.45,900,joint_basin,3.314093309168167,3.31543741310832,0.25786295274317317,0.2574835907228821,4.490761269043633,1.2486818760187377,0.34890401896665124
initial_location_001,initial_location,moderate,0.45,1500,boundary_v2_regime_sequence,-2.2168141763407965,-2.2148036391694967,-0.17232235880802096,-0.17223487894281006,1.633937254535408,0.5486133323973715,0.12694668189954197
initial_location_001,initial_location,moderate,0.45,1500,center_of_mass,0.3344476698914933,0.3414129193275022,0.026454118508714153,0.025980030969951606,7.823034744722794,2.0201396521091977,0.6078007836065973
initial_location_001,initial_location,moderate,0.45,1500,joint_basin,4.934836990333873,4.92951357384867,0.3834087022123011,0.38340525488883337,6.039471531883821,1.4440900312621936,0.46922909602922164
initial_location_001,initial_location,moderate,0.45,2400,boundary_v2_regime_sequence,-3.1430907392740384,-3.135943845421738,-0.2439767759375207,-0.24420107781695055,1.2266288556960088,0.47815215485021445,0.09530137112258892
initial_location_001,initial_location,moderate,0.45,2400,center_of_mass,0.7135346154591486,0.7143717713441546,0.05545927614890189,0.05543252711262703,8.49220546937061,1.96479628332009,0.6597911464371757
initial_location_001,initial_location,moderate,0.45,2400,joint_basin,5.594342900864648,5.590168073467462,0.4347967823170684,0.4346447805793817,6.58513133096406,1.46637759857462,0.5116234250852266
initial_location_001,initial_location,moderate,0.5,900,boundary_v2_regime_sequence,-1.311885596983483,-1.308898485704694,-0.10178341560220214,-0.10192390400681292,1.9533633110173387,0.6404093766834921,0.15176531259565498
initial_location_001,initial_location,moderate,0.5,900,center_of_mass,0.11914205607327322,0.12727531188327657,0.00997009682665917,0.00926145201460582,7.131876976116024,2.1237932459468305,0.5541066191949463
initial_location_001,initial_location,moderate,0.5,900,joint_basin,3.86569068922147,3.8662130196848827,0.3007544464686098,0.30034315227581654,5.039863819606716,1.3928082697384212,0.3915689802134358
initial_location_001,initial_location,moderate,0.5,1500,boundary_v2_regime_sequence,-2.308983488109257,-2.301284394440764,-0.17897279073592895,-0.17939236888682666,1.5408165802048202,0.5298038583761314,0.11971276203130507
initial_location_001,initial_location,moderate,0.5,1500,center_of_mass,0.3568684187947273,0.35655238479922247,0.027809737863060402,0.02773176148375389,7.841493759456293,2.0364828380897855,0.6092398283074375
initial_location_001,initial_location,moderate,0.5,1500,joint_basin,5.377971936921753,5.378369231104305,0.4183805108181379,0.4178388331546452,6.482550592326568,1.574356488446551,0.5036576137422281
initial_location_001,initial_location,moderate,0.5,2400,boundary_v2_regime_sequence,-3.189390947797711,-3.1867441891612955,-0.24784531346825156,-0.24779472812464254,1.1715950600666858,0.47313224032052303,0.09102632749907515
