space,rule_id,stratum,q,radius,table_digest,depends_center,relation_degree,relation_complete,self_only,left_right_asymmetry,output_entropy,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,table_json
q3_radius1,q3g3_s1_00009,S1_random_unbiased,3,1,71507aecce77,True,2,True,False,0.5925925925925926,1.5448491887169091,0.02530868205777448,0.0,True,True,"[1,2,2,0,2,1,1,2,0,1,0,1,2,2,1,0,0,0,1,0,1,0,2,1,1,1,1]"
q3_radius1,q3g3_s1_00013,S1_random_unbiased,3,1,8d1fe5c1badf,True,2,True,False,0.37037037037037035,1.4558764720277595,0.08144421627304277,0.0,True,True,"[1,0,0,1,1,2,0,0,2,1,1,0,1,0,0,0,2,1,0,1,2,1,0,1,0,0,1]"
q3_radius1,q3g3_s1_00018,S1_random_unbiased,3,1,2a020a5f813b,True,2,True,False,0.4444444444444444,1.5448491887169091,0.02530868205777448,0.0,True,True,"[1,0,0,1,1,1,2,1,0,1,1,1,1,0,2,1,0,1,2,2,2,0,1,2,0,2,0]"
q3_radius1,q3g3_s1_00026,S1_random_unbiased,3,1,327bdc4aa7db,True,2,True,False,0.5185185185185185,1.5448491887169091,0.02530868205777448,0.0,True,True,"[0,0,0,1,1,0,1,1,1,1,1,2,1,2,1,0,2,1,2,1,0,2,2,2,0,1,0]"
q3_radius1,q3g3_s1_00030,S1_random_unbiased,3,1,cea7d0621608,True,2,True,False,0.4444444444444444,1.540709585192697,0.02792048108918921,0.0,True,True,"[2,0,1,1,0,0,2,2,2,1,0,0,0,1,0,0,1,0,2,0,2,2,2,0,2,1,2]"
q3_radius1,q3g3_s1_00043,S1_random_unbiased,3,1,5ac992866659,True,2,True,False,0.4444444444444444,1.486565953154142,0.06208130950873836,0.0,True,True,"[1,0,2,0,1,0,0,1,2,0,0,2,2,1,1,0,1,1,0,2,1,0,0,0,0,0,1]"
q3_radius1,q3g3_s1_00045,S1_random_unbiased,3,1,a57d7b41245b,True,2,True,False,0.5185185185185185,1.5790132072799712,0.0037535862447710677,0.0,False,False,"[1,1,2,0,1,2,2,0,2,2,2,2,1,1,2,1,0,0,1,0,2,0,0,1,0,0,0]"
q3_radius1,q3g3_s1_00105,S1_random_unbiased,3,1,f24312d6838d,True,2,True,False,0.37037037037037035,1.517528789399,0.04254593486689673,0.0,True,True,"[2,0,2,1,2,2,0,1,0,0,2,1,2,1,2,2,2,0,2,0,2,1,1,2,0,2,1]"
q3_radius1,q3g3_s1_00108,S1_random_unbiased,3,1,6115159ea575,True,2,True,False,0.37037037037037035,1.5061046842206038,0.049753742731876605,0.0,True,True,"[2,2,0,0,2,0,0,2,1,1,0,0,1,2,1,2,2,0,2,0,2,0,1,2,0,2,0]"
q3_radius1,q3g3_s1_00110,S1_random_unbiased,3,1,40f26e7b5f15,True,2,True,False,0.5185185185185185,1.5610150105933092,0.015109184045017376,0.0,False,False,"[0,1,0,1,2,2,2,2,2,0,1,1,0,2,0,0,1,1,1,2,2,2,1,1,0,1,1]"
q3_radius1,q3g3_s1_00114,S1_random_unbiased,3,1,a79551fe2ff6,True,2,True,False,0.5185185185185185,1.5677116575334586,0.01088407024131377,0.0,False,False,"[0,1,2,1,0,1,1,1,1,0,1,1,2,2,2,2,0,1,0,0,2,1,0,2,2,1,0]"
q3_radius1,q3g3_s1_00117,S1_random_unbiased,3,1,f0a2b740c94b,True,2,True,False,0.4444444444444444,1.5677116575334584,0.010884070241313881,0.0,False,False,"[2,1,1,2,1,2,0,2,0,1,2,2,2,1,0,1,1,0,0,0,1,2,2,0,2,0,2]"
q3_radius1,q3g3_s1_00122,S1_random_unbiased,3,1,f63fb3a84cce,True,2,True,False,0.5185185185185185,1.561015010593309,0.015109184045017487,0.0,False,False,"[2,1,1,0,0,2,2,1,1,0,1,0,0,0,0,2,1,2,0,1,2,1,1,1,1,0,2]"
q3_radius1,q3g3_s1_00123,S1_random_unbiased,3,1,9cfc27d6e8a9,True,2,True,False,0.5185185185185185,1.517528789399,0.04254593486689673,0.0,True,True,"[0,0,2,0,2,2,2,1,2,2,1,2,1,1,2,2,2,1,0,0,2,0,1,2,2,1,0]"
q3_radius1,q3g3_s1_00133,S1_random_unbiased,3,1,2b57b15fe520,True,2,True,False,0.37037037037037035,1.5098693043797229,0.047378531862593554,0.0,True,True,"[1,0,2,0,0,0,0,2,1,1,1,0,0,0,2,1,2,2,0,0,0,2,2,2,1,0,0]"
q3_radius1,q3g3_s1_00162,S1_random_unbiased,3,1,d67a7d1c3f62,True,2,True,False,0.5185185185185185,1.5663672668986361,0.011732286293246186,0.0,False,False,"[2,0,1,0,1,1,0,1,1,1,2,0,2,2,1,0,2,0,0,1,2,1,2,2,1,2,2]"
q3_radius1,q3g3_s1_00164,S1_random_unbiased,3,1,b636b50ed9ca,True,2,True,False,0.6666666666666666,1.561015010593309,0.015109184045017487,0.0,False,False,"[0,1,1,1,1,1,0,1,2,2,0,2,0,1,2,2,2,0,0,1,0,0,0,0,0,1,2]"
q3_radius1,q3g3_s1_00175,S1_random_unbiased,3,1,f517e88bd6ec,True,2,True,False,0.5185185185185185,1.517528789399,0.04254593486689673,0.0,True,True,"[0,2,1,2,1,2,0,2,1,0,0,2,2,1,2,1,1,2,0,2,2,0,1,0,2,2,2]"
q3_radius1,q3g3_s1_00214,S1_random_unbiased,3,1,3e9d8bc556b8,True,2,True,False,0.37037037037037035,1.5012404120907166,0.05282275674809089,0.0,True,True,"[2,1,2,0,0,1,1,1,1,0,2,1,2,0,0,1,0,0,0,1,1,2,0,1,0,0,0]"
q3_radius1,q3g3_s1_00216,S1_random_unbiased,3,1,1a0196798ab9,True,2,True,False,0.2962962962962963,1.540709585192697,0.02792048108918921,0.0,True,True,"[1,0,1,0,1,1,2,0,1,1,1,2,1,2,2,0,2,2,0,1,1,2,2,2,1,2,0]"
q3_radius1,q3g3_s1_00237,S1_random_unbiased,3,1,54e3a5417b06,True,2,True,False,0.5925925925925926,1.561015010593309,0.015109184045017487,0.0,False,False,"[2,1,0,0,0,0,0,2,1,2,1,1,1,1,0,0,1,2,1,1,1,2,2,0,2,0,1]"
q3_radius1,q3g3_s2_00000,S2_quiescent_preserving,3,1,76cfd30283d5,True,2,True,False,0.5185185185185185,1.584962500721156,0.0,0.0,False,False,"[0,2,0,2,1,2,1,0,2,2,0,2,0,1,0,1,1,1,0,1,0,1,2,2,0,2,1]"
q3_radius1,q3g3_s2_00001,S2_quiescent_preserving,3,1,f3fed7cae42e,True,2,True,False,0.5185185185185185,1.579013207279971,0.0037535862447711787,0.0,False,False,"[0,2,2,0,1,1,1,2,1,0,1,2,1,1,0,0,0,2,0,0,2,1,1,2,0,1,2]"
q3_radius1,q3g3_s2_00007,S2_quiescent_preserving,3,1,95099a829f60,True,2,True,False,0.4444444444444444,1.478434599662112,0.06721162236366729,0.0,True,True,"[0,2,0,2,0,2,0,0,1,1,2,2,1,2,0,1,1,2,2,2,0,2,2,2,2,2,1]"
q3_radius1,q3g3_s2_00009,S2_quiescent_preserving,3,1,4c936cbc5380,True,2,True,False,0.2962962962962963,1.584962500721156,0.0,0.0,False,False,"[0,0,1,2,1,1,1,0,0,2,0,0,1,0,2,0,1,2,1,2,2,1,2,1,2,0,2]"
q3_radius1,q3g3_s2_00014,S2_quiescent_preserving,3,1,45d2c6756358,True,2,True,False,0.5925925925925926,1.5610150105933087,0.015109184045017598,0.0,False,False,"[0,2,0,2,2,2,2,1,1,2,0,2,1,0,2,0,1,2,1,1,0,1,1,1,2,0,2]"
q3_radius1,q3g3_s2_00025,S2_quiescent_preserving,3,1,8ab0abc5dcb4,True,2,True,False,0.5925925925925926,1.579013207279971,0.0037535862447711787,0.0,False,False,"[0,1,0,2,1,2,0,2,2,0,1,2,0,1,1,2,2,1,1,1,0,1,0,2,1,0,0]"
q3_radius1,q3g3_s2_00027,S2_quiescent_preserving,3,1,24c4984545fc,True,2,True,False,0.37037037037037035,1.4618278953766808,0.07768928620610849,0.0,True,True,"[0,0,2,1,0,2,2,0,2,2,0,2,1,0,0,0,1,1,2,0,0,2,0,1,0,0,0]"
