rule_id,stratum,reclassification,adjusted_persistence,resolved
q3g3_s7_00113,S7_symmetric_control,symmetric_fakeout,-0.10724805473777782,True
q3g3_s7_00114,S7_symmetric_control,symmetric_fakeout,-0.023219648326342712,True
q3g3_s7_00115,S7_symmetric_control,symmetric_fakeout,-0.07278576087393605,True
q3g3_s7_00116,S7_symmetric_control,symmetric_fakeout,-0.09193101211205972,True
q3g3_s7_00121,S7_symmetric_control,symmetric_fakeout,-0.01930005542647724,True
q3g3_s7_00123,S7_symmetric_control,symmetric_fakeout,-0.017702206275350893,True
q3g3_s7_00124,S7_symmetric_control,symmetric_fakeout,-0.05909422301870859,True
q3g3_s8_00004,S8_self_only_control,self_persistence_fakeout,-0.07564075222086213,True
q3g3_s8_00012,S8_self_only_control,self_persistence_fakeout,-0.14290962944287625,True
q3g3_s8_00018,S8_self_only_control,self_persistence_fakeout,0.002264818701479273,True
q3g3_s8_00036,S8_self_only_control,self_persistence_fakeout,-0.07878566983904511,True
q3g3_s8_00044,S8_self_only_control,self_persistence_fakeout,-0.10137633049528888,True
q3g3_s8_00048,S8_self_only_control,self_persistence_fakeout,-0.07059717908047924,True
q3g3_s8_00060,S8_self_only_control,self_persistence_fakeout,-0.013861801964971558,True
q3g3_s8_00063,S8_self_only_control,self_persistence_fakeout,-0.09905417408688047,True
q3g3_s8_00070,S8_self_only_control,self_persistence_fakeout,-0.06235229689938198,True
q3g3_s8_00077,S8_self_only_control,self_persistence_fakeout,-0.0833837699602287,True
q3g3_s8_00084,S8_self_only_control,self_persistence_fakeout,-0.08879298468272262,True
q3g3_s8_00086,S8_self_only_control,self_persistence_fakeout,-0.035789998056326086,True
q3g3_s8_00090,S8_self_only_control,self_persistence_fakeout,-0.03056582738819175,True
q3g3_s8_00099,S8_self_only_control,self_persistence_fakeout,-0.11212249395742245,True
q3g3_s8_00102,S8_self_only_control,self_persistence_fakeout,-0.09178051220429534,True
q3g3_s8_00103,S8_self_only_control,self_persistence_fakeout,-0.10335332181942891,True
q3g3_s8_00111,S8_self_only_control,self_persistence_fakeout,-0.08055494595920365,True
q3g3_s8_00113,S8_self_only_control,self_persistence_fakeout,0.0,True
