space,rule_id,stratum,target_role,raw_persistence_score,adjusted_persistence,center_only_score,left_removed_score,right_removed_score,symmetrized_rule_score,symbol_phase_only_score,output_distribution_matched_score,stratum_null_persistence_q90,relation_load_bearing_adjusted,asymmetry_load_bearing_adjusted,local_phase_fakeout_rejected,future_distinct_descendant_count_raw,future_distinct_descendant_count_symbol_phase,composition_adjusted_delta,composition_emission_only_flag,interaction_outcome_diversity,matched_control_interaction_diversity,dominant_interaction_outcome,reclassification
q3_radius1,q3g3_s1_00009,S1_random_unbiased,candidate,0.08053439509102617,-0.005195264157319551,0.0,0.0,0.05151768141812652,0.09235715895297798,0.052181917863587536,0.08555789946450705,0.08572965924834572,0.029016713672899645,-0.011822763861951816,False,64.0,64.0,0.0,False,-0.0,-0.0,chaotic_explosion,symmetric_fakeout
q3_radius1,q3g3_s1_00013,S1_random_unbiased,candidate,0.00030601511181775626,-0.1399125523928559,0.0,0.0,0.09093280789651441,0.16308851769687632,0.0,0.00196873529792093,0.14021856750467368,-0.09062679278469665,-0.16278250258505855,True,62.0,58.0,-0.5,True,-0.0,1.0,emission,symmetric_fakeout
q3_radius1,q3g3_s1_00018,S1_random_unbiased,candidate,0.0,-0.08955057284613688,0.0,0.0,0.09656020451176282,0.16597582714958203,0.0,0.07532428481282144,0.08955057284613688,-0.09656020451176282,-0.16597582714958203,False,63.0,1.0,-0.5,True,-0.0,1.0,emission,self_persistence_fakeout
q3_radius1,q3g3_s1_00026,S1_random_unbiased,candidate,0.04977721781099782,-0.039773355035139055,0.0,0.0,0.05115485357745181,0.0,0.0,0.0,0.08955057284613688,-0.0013776357664539857,0.04977721781099782,False,64.0,64.0,0.5,False,-0.0,1.0,new_motif,generic_persistence
q3_radius1,q3g3_s1_00030,S1_random_unbiased,candidate,0.17596160741949046,0.004917924842256616,0.0,0.16512497951457467,0.0,0.0013966086370229536,0.0,0.10357566642760224,0.17104368257723385,0.010836627904915797,0.1745649987824675,True,64.0,61.0,0.0,False,0.9182958340544896,1.0,chaotic_explosion,control_adjusted_positive
q3_radius1,q3g3_s1_00043,S1_random_unbiased,candidate,0.1681750966947809,0.035269334231988386,0.0,0.1126664204515006,0.0,0.0,0.0,9.737434693520801e-06,0.1329057624627925,0.05550867624328029,0.1681750966947809,True,64.0,1.0,0.0,True,-0.0,0.9182958340544896,emission,emission_only
q3_radius1,q3g3_s1_00045,S1_random_unbiased,candidate,0.00857157916030558,-0.10159761104459412,0.0,0.0,0.0,0.0,0.0,0.08592107033838081,0.11016919020489971,0.00857157916030558,0.00857157916030558,False,64.0,64.0,0.0,False,-0.0,-0.0,chaotic_explosion,output_distribution_fakeout
q3_radius1,q3g3_s1_00105,S1_random_unbiased,candidate,0.00985975109042592,-0.19192025841931423,0.0,0.0,0.0,0.022696078175266976,0.0,0.13207078260738442,0.20178000950974015,0.00985975109042592,-0.012836327084841056,True,64.0,62.0,-0.5,False,-0.0,1.0,chaotic_explosion,symmetric_fakeout
q3_radius1,q3g3_s1_00108,S1_random_unbiased,candidate,0.1881187349806266,0.13025125833226808,0.0,0.007864026397433109,0.06886075079751605,0.0,0.0,0.05786747664835849,0.009093970103621568,0.11925798418311054,0.1881187349806266,True,60.0,1.0,0.0,False,1.0,1.0,collapse,control_adjusted_positive
q3_radius1,q3g3_s1_00110,S1_random_unbiased,candidate,0.13399778906456314,-0.04020062259567428,0.0,0.0,0.0008828784521598813,0.0,0.0,0.08994614513897206,0.17419841166023742,0.13311491061240327,0.13399778906456314,True,64.0,63.0,0.0,True,-0.0,-0.0,emission,generic_persistence
q3_radius1,q3g3_s1_00114,S1_random_unbiased,candidate,0.18558560097282545,0.08789163085031591,0.0,0.0,0.0,0.0,0.0,0.048458667464326075,0.09769397012250954,0.18558560097282545,0.18558560097282545,False,64.0,64.0,0.0,True,-0.0,-0.0,emission,self_persistence_fakeout
q3_radius1,q3g3_s1_00117,S1_random_unbiased,candidate,0.17348981195884344,0.014991444875699061,0.0,0.0018751327139284975,0.009407576283278804,0.06503912793869338,0.052206614181933994,0.0,0.15849836708314438,0.16408223567556462,0.10845068402015007,False,64.0,64.0,0.0,True,-0.0,0.9182958340544896,emission,self_persistence_fakeout
q3_radius1,q3g3_s1_00122,S1_random_unbiased,candidate,0.19920887811964683,0.0890624659851399,0.0,0.0009882282317376357,0.14167198909730905,0.09535328971437915,0.0,0.06670379595887974,0.11014641213450693,0.05753688902233778,0.10385558840526768,True,64.0,62.0,-0.5,False,-0.0,1.0,chaotic_explosion,control_adjusted_positive
q3_radius1,q3g3_s1_00123,S1_random_unbiased,candidate,0.22087966839126583,0.08195628129986493,0.0,0.009071359994880818,0.09665696518342554,0.0,0.0,0.12402928813034447,0.1389233870914009,0.12422270320784029,0.22087966839126583,False,64.0,64.0,-0.5,True,-0.0,1.0,emission,self_persistence_fakeout
q3_radius1,q3g3_s1_00133,S1_random_unbiased,candidate,0.10913082492905248,-0.010717382382855953,0.0,0.015754383494420914,0.0,0.0,0.0,0.06064182642912617,0.11984820731190843,0.09337644143463156,0.10913082492905248,True,64.0,1.0,0.0,False,1.0,1.0,pass_through,generic_persistence
q3_radius1,q3g3_s1_00162,S1_random_unbiased,candidate,0.021310105707374943,-0.08072081141156444,0.0,0.0,0.16164267204217359,0.052332506662852246,0.0,0.07636298926892474,0.10203091711893938,-0.14033256633479865,-0.031022400955477304,True,64.0,57.0,-0.5,False,-0.0,1.0,chaotic_explosion,symmetric_fakeout
q3_radius1,q3g3_s1_00164,S1_random_unbiased,candidate,0.005185919100274287,-0.17601981786984858,0.0,0.0,0.0,0.0,0.0,0.08993892656188893,0.18120573697012288,0.005185919100274287,0.005185919100274287,True,63.0,58.0,-0.5,True,-0.0,1.4591479170272448,emission,output_distribution_fakeout
q3_radius1,q3g3_s1_00175,S1_random_unbiased,candidate,0.1572141387861802,-0.02627511902878063,0.0,0.0,0.0,0.0,0.0,0.13966892613395165,0.18348925781496084,0.1572141387861802,0.1572141387861802,False,58.0,64.0,-0.5,True,-0.0,1.0,emission,generic_persistence
q3_radius1,q3g3_s1_00214,S1_random_unbiased,candidate,0.0016579288782451911,-0.15748327040254687,0.0,0.0,0.012243621604400436,0.032993689315212835,0.0,0.12922405575563395,0.15914119928079207,-0.010585692726155244,-0.03133576043696765,False,57.0,64.0,0.0,True,-0.0,-0.0,emission,symmetric_fakeout
