I_cost_constrained,I_max,I_mean,I_unconstrained,N_eff_mean,adaptive_idx,bounded_cost_score,coarse_name,compression_gate,compression_ratio,cost_sustainment_ratio,estimator_warning,fake_short_horizon_lure_detected,fake_viability_rate,family,hidden_nonviability_rate,horizon_coherence_score,irreversibility_sensitivity,label_entropy,macro_viability_purity,mixed_viability_label_fraction,nondegeneracy_score,omega_profile_score,pair_id,raw_I_nonzero,recoverability_preservation_score,recoverability_purity,room_purity,scale_consistency_score,sector_purity,singleton_fraction,total_cases,truncated_cases,truncation_fraction,variant,viability_preservation_score,world_seed
,0.0,0.0,,1.0,,,viability_signature,0.7054673721340388,0.03527336860670194,,1,0,0.6,A,0.4,1.0,,2.69949602891644,0.9225786004056795,0.3,0.0,0.9598509558094399,0,0,0.9200508481397702,0.9131035507201835,,,,0.0,5,2,0.4,irreversible,1.0,0
,0.0,0.0,,1.0,,,hash_k34_s1206,1.0,0.059964726631393295,,1,0,1.0,A,0.0,1.0,,3.5234439856557835,0.7855464244521337,1.0,0.0,0.8923848267056602,0,0,0.8073035330556299,0.7613085301199943,,,,0.0,5,2,0.4,irreversible,1.0,0
,0.0,0.0,,1.0,,,trap_mixing_adversarial,0.0,0.007054673721340388,,1,0,1.0,A,0.0,1.0,,1.3217035003701993,0.8141889063317634,1.0,0.0,0.9049799956673813,0,0,0.823816975544146,0.786138147566719,,,,0.0,5,2,0.4,irreversible,1.0,0
,0.0,0.0,,1.0,,,behavioral_quotient_k5,0.0,0.008818342151675485,,1,0,0.6,A,0.4,1.0,,1.4066995105616136,0.9284826560084021,0.4,0.0,0.9705622914390845,0,0,0.9556962025316456,0.9536423841059604,,,,0.0,5,2,0.4,irreversible,1.0,0
,0.0,0.0,,1.0,,,behavioral_quotient_k8,0.2821869488536155,0.014109347442680775,,1,0,0.75,A,0.25,1.0,,1.8099802693621623,0.9455623667377399,0.25,0.0,0.9737726683306718,0,0,0.9509115965215187,0.9483775319829424,,,,0.0,5,2,0.4,irreversible,1.0,0
,0.0,0.0,,1.0,,,behavioral_quotient_k13,0.4585537918871252,0.02292768959435626,,1,0,0.7692307692307693,A,0.23076923076923078,1.0,,2.3486945010858284,0.8941014982410027,0.46153846153846156,0.0,0.9690333290035275,0,0,0.9862068965517242,0.986013986013986,,,,0.0,5,2,0.4,irreversible,1.0,0
,0.0,0.0,,1.0,,,behavioral_quotient_k21,0.7407407407407407,0.037037037037037035,,1,0,0.6666666666666666,A,0.3333333333333333,1.0,,2.8599474106523854,0.9318281362093489,0.3333333333333333,0.0,0.9825031578694079,0,0,1.0,1.0,,,,0.0,5,2,0.4,irreversible,1.0,0
,0.0,0.0,,1.0,0,,best_of_10_hashes_per_world,0.0,0.001763668430335097,,1,0,1.0,A,0.0,1.0,,0.0,0.783068783068783,1.0,0.0,0.8911536243864453,0,0,0.8053977272727273,0.7583774250440917,,,,0.0,5,2,0.4,irreversible,1.0,0
,0.0,0.0,,1.0,,,identity,0.0,1.0,,1,0,0.8042328042328042,A,0.19576719576719576,1.0,,6.340359303727763,1.0,0.0,0.0,1.0,1,0,1.0,1.0,,,,1.0,5,2,0.4,reversible,1.0,1
,0.0,0.0,,1.0,,,all_one,0.0,0.001763668430335097,,1,0,1.0,A,0.0,1.0,,0.0,0.8042328042328042,1.0,0.0,0.8990365641510185,1,0,0.8123209169054441,0.7689594356261023,,,,0.0,5,2,0.4,reversible,1.0,1
