coarse_name,room_purity,scale_consistency_score,sector_purity,world_seed
identity,0.9488536155202821,0.919973544973545,0.8377425044091712,200
all_one,1.0,1.0,1.0,200
random_k,1.0,1.0,1.0,200
checkerboard,1.0,1.0,1.0,200
region,1.0,0.9583333333333333,0.8888888888888888,200
viability_signature,0.9682539682539681,0.9583333333333333,0.9206349206349206,200
hash_k34_s1206,1.0,1.0,1.0,200
trap_mixing_adversarial,1.0,1.0,1.0,200
behavioral_quotient_k5,1.0,0.9583333333333333,0.8888888888888888,200
behavioral_quotient_k8,1.0,0.9583333333333333,0.8888888888888888,200
behavioral_quotient_k13,1.0,0.9583333333333333,0.8888888888888888,200
behavioral_quotient_k21,1.0,0.9583333333333333,0.8888888888888888,200
best_of_10_hashes_per_world,1.0,1.0,1.0,200
identity,0.9488536155202821,0.919973544973545,0.8377425044091712,201
all_one,1.0,1.0,1.0,201
random_k,1.0,1.0,1.0,201
checkerboard,1.0,1.0,1.0,201
region,1.0,0.9583333333333333,0.8888888888888888,201
viability_signature,0.9682539682539681,0.9583333333333333,0.9206349206349206,201
hash_k34_s1206,1.0,1.0,1.0,201
trap_mixing_adversarial,1.0,1.0,1.0,201
behavioral_quotient_k5,1.0,1.0,1.0,201
behavioral_quotient_k8,1.0,1.0,1.0,201
behavioral_quotient_k13,0.9594356261022927,0.9695767195767195,0.9594356261022927,201
behavioral_quotient_k21,1.0,0.9583333333333333,0.8888888888888888,201
best_of_10_hashes_per_world,1.0,1.0,1.0,201
identity,0.9488536155202821,0.919973544973545,0.8377425044091712,202
all_one,1.0,1.0,1.0,202
random_k,1.0,1.0,1.0,202
checkerboard,1.0,1.0,1.0,202
region,1.0,0.9583333333333333,0.8888888888888888,202
viability_signature,0.9682539682539681,0.9583333333333333,0.9206349206349206,202
hash_k34_s1206,1.0,1.0,1.0,202
trap_mixing_adversarial,1.0,1.0,1.0,202
behavioral_quotient_k5,1.0,0.9583333333333333,0.8888888888888888,202
behavioral_quotient_k8,1.0,0.9583333333333333,0.8888888888888888,202
behavioral_quotient_k13,1.0,0.9583333333333333,0.8888888888888888,202
behavioral_quotient_k21,1.0,0.9583333333333333,0.8888888888888888,202
best_of_10_hashes_per_world,1.0,1.0,1.0,202
identity,0.9488536155202821,0.919973544973545,0.8377425044091712,203
all_one,1.0,1.0,1.0,203
random_k,1.0,1.0,1.0,203
checkerboard,1.0,1.0,1.0,203
region,1.0,0.9583333333333333,0.8888888888888888,203
viability_signature,0.9682539682539681,0.9583333333333333,0.9206349206349206,203
hash_k34_s1206,1.0,1.0,1.0,203
trap_mixing_adversarial,1.0,1.0,1.0,203
behavioral_quotient_k5,1.0,1.0,1.0,203
behavioral_quotient_k8,1.0,1.0,1.0,203
behavioral_quotient_k13,1.0,0.9583333333333333,0.8888888888888888,203
behavioral_quotient_k21,1.0,0.9583333333333333,0.8888888888888888,203
best_of_10_hashes_per_world,1.0,1.0,1.0,203
identity,0.9488536155202821,0.919973544973545,0.8377425044091712,205
all_one,1.0,1.0,1.0,205
random_k,1.0,1.0,1.0,205
checkerboard,1.0,1.0,1.0,205
region,1.0,0.9583333333333333,0.8888888888888888,205
