coarse_name,irreversibility_sensitivity,normalized_sensitivity,omega_irrev,omega_rev,pair_id
identity,0.0,0.0,1.0,1.0,0
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,0
random_k,0.008259531870151271,0.009184016214628077,0.891078151897838,0.8993376837679893,0
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,0
region,0.004086682145477805,0.004331812867460768,0.9393248341219239,0.9434115162674017,0
viability_signature,0.0002398717734000133,0.00024984279248237726,0.9598509558094399,0.9600908275828399,0
hash_k34_s1206,0.008128669876049766,0.009026705215308446,0.8923848267056602,0.90051349658171,0
trap_mixing_adversarial,0.0037660253005393773,0.0041442000445054165,0.9049799956673813,0.9087460209679207,0
behavioral_quotient_k5,-0.0014419383233834626,-0.0014878836449442653,0.9705622914390845,0.969120353115701,0
behavioral_quotient_k8,-0.0009151517697270073,-0.0009406842771406778,0.9737726683306718,0.9728575165609448,0
behavioral_quotient_k13,0.005277283897155094,0.005416428628898698,0.9690333290035275,0.9743106129006825,0
behavioral_quotient_k21,-0.003395455324974428,-0.0034679078881215694,0.9825031578694079,0.9791077025444335,0
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,0
identity,0.0,0.0,1.0,1.0,1
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,1
random_k,0.00804749600960486,0.008972598567880328,0.8888494228398458,0.8968969188494507,1
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,1
region,0.004086682145477805,0.004331812867460768,0.9393248341219239,0.9434115162674017,1
viability_signature,0.0002398717734000133,0.00024984279248237726,0.9598509558094399,0.9600908275828399,1
hash_k34_s1206,0.008128669876049766,0.009026705215308446,0.8923848267056602,0.90051349658171,1
trap_mixing_adversarial,0.0037660253005393773,0.0041442000445054165,0.9049799956673813,0.9087460209679207,1
behavioral_quotient_k5,-0.0019110563914787049,-0.001971949495575756,0.9710314095071797,0.969120353115701,1
behavioral_quotient_k8,-5.9921368747883896e-05,-6.128807785357074e-05,0.9777601666113515,0.9777002452426036,1
behavioral_quotient_k13,0.0008987224126953963,0.000921706254363867,0.9741650882540409,0.9750638106667363,1
behavioral_quotient_k21,-0.006598357363275409,-0.006746206287291273,0.9846824956597301,0.9780841382964547,1
best_of_10_hashes_per_world,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,1
identity,0.0,0.0,1.0,1.0,2
all_one,0.007882939764573216,0.008768208189638273,0.8911536243864453,0.8990365641510185,2
random_k,0.008344567235087696,0.009293381218185766,0.8895597626506399,0.8979043298857275,2
checkerboard,0.007921125012969044,0.0088098611068039,0.8911991808510495,0.8991203058640186,2
region,0.004086682145477805,0.004331812867460768,0.9393248341219239,0.9434115162674017,2
viability_signature,0.0002398717734000133,0.00024984279248237726,0.9598509558094399,0.9600908275828399,2
hash_k34_s1206,0.008128669876049766,0.009026705215308446,0.8923848267056602,0.90051349658171,2
trap_mixing_adversarial,0.0037660253005393773,0.0041442000445054165,0.9049799956673813,0.9087460209679207,2
behavioral_quotient_k5,-0.0019282616016049747,-0.0019907018979381766,0.9705622914390845,0.9686340298374795,2
behavioral_quotient_k8,-0.0009743470283950506,-0.0010000705186219993,0.9752526706586194,0.9742783236302244,2
behavioral_quotient_k13,0.01185684977262802,0.012163503578683517,0.9629321734662926,0.9747890232389206,2
behavioral_quotient_k21,-0.0014229347218245314,-0.0014537959587118234,0.9801948960122951,0.9787719612904706,2
