coarse_name,cv_omega_profile_score,mean_I_mean,mean_admissibility_v2,mean_omega_profile_score,mean_raw_I,mean_truncation_fraction,num_worlds,std_omega_profile_score
identity,0.07419305878444207,2.0421073915664176,0.9678941967350894,0.9678941967350894,2.0421073915664176,0.32000000000000006,120,0.07181103103548682
behavioral_quotient_k5,0.03701290134743197,0.39148919798836634,0.9530495004436436,0.9530495004436436,0.39148919798836634,0.32000000000000006,120,0.035275127139139904
viability_signature,0.05884313401882526,1.5335727857631711,0.9358140534841198,0.9358140534841198,1.5335727857631711,0.32000000000000006,120,0.05506623176586617
behavioral_quotient_k21,0.07595120257894702,0.8238756705780188,0.925115515960399,0.925115515960399,0.8238756705780188,0.32000000000000006,120,0.07026363596163536
all_one,0.03164777703805803,0.0,0.8994695037363544,0.8994695037363544,0.0,0.32000000000000006,120,0.028466210306780846
best_of_10_hashes_per_world,0.03164777703805803,0.0,0.8994695037363544,0.8994695037363544,0.0,0.32000000000000006,120,0.028466210306780846
trap_mixing_adversarial,0.08113825173906311,1.5368744103865433,0.8900254614916666,0.8900254614916666,1.5368744103865433,0.32000000000000006,120,0.07221510994868667
checkerboard,0.0564451724405103,1.1205526310805185,0.8891878614010386,0.8891878614010386,1.1205526310805185,0.32000000000000006,120,0.05019036216879019
hash_k34_s1206,0.07275374588945369,2.0421073915664176,0.8886285788809107,0.8886285788809107,2.0421073915664176,0.32000000000000006,120,0.06465105781800813
behavioral_quotient_k13,0.1049515357080527,0.6929470573986506,0.8878326384330755,0.8878326384330755,0.6929470573986506,0.32000000000000006,120,0.09317939885528356
behavioral_quotient_k8,0.14699055980722622,0.47289467288031056,0.8511037755682705,0.8511037755682705,0.47289467288031056,0.32000000000000006,120,0.12510422042482391
region,0.1186785824286959,0.7094825594681742,0.847014287104051,0.847014287104051,0.7094825594681742,0.32000000000000006,120,0.10052245489036121
random_k,0.09644800261764064,0.9477034722191642,0.8274493010417863,0.8274493010417863,0.9477034722191642,0.32000000000000006,120,0.07980583235284312
