kind,world,condition,alpha,T,A_self_future_prediction_given_B,B_self_future_prediction_given_A,component_prediction_balance,component_erasure_proxy,joint_vs_product_prediction_delta,joint_vs_shuffled_prediction_delta
multi,F_T_attractive,coupled,0.5,900,0.8521820194191403,0.5562605563137266,0.7040785368945863,0.2959214631054136,0.7042212878664335,0.7042212878664335
multi,F_T_attractive,coupled,0.5,1500,0.6990605768230226,0.4047583690947957,0.705697792271773,0.29430220772822696,0.5519094729589091,0.5519094729589091
multi,F_T_attractive,coupled,0.525,900,0.8515635897715886,0.5666485836108526,0.7150849938392639,0.28491500616073606,0.7091060866912205,0.7091060866912205
multi,F_T_attractive,coupled,0.525,1500,0.6968995630741119,0.414769122004509,0.7178695589303971,0.28213044106960294,0.5558343425393104,0.5558343425393104
multi,F_T_attractive,independent_alpha0,0.5,900,0.8813006165954802,0.3939551247490777,0.5126545081535975,0.48734549184640247,0.6376278706722789,0.6376278706722789
multi,F_T_attractive,independent_alpha0,0.5,1500,0.7373302426603106,0.20169980178276695,0.4643695591224564,0.5356304408775435,0.46951502222153874,0.46951502222153874
multi,F_T_attractive,independent_alpha0,0.525,900,0.8810130533244874,0.393629392153687,0.5126163388291994,0.4873836611708005,0.6373212227390872,0.6373212227390872
multi,F_T_attractive,independent_alpha0,0.525,1500,0.7370022734006246,0.20191063235203421,0.46490835895140964,0.5350916410485903,0.4694564528763294,0.4694564528763294
multi,F_T_attractive,product,0.5,900,0.8810285511944029,0.3930516145295567,0.5120230633351538,0.4879769366648462,0.6370400828619798,0.6370400828619798
multi,F_T_attractive,product,0.5,1500,0.73754503859414,0.20257608700129717,0.46503104840715725,0.5349689515928427,0.4700605627977186,0.4700605627977186
multi,F_T_attractive,product,0.525,900,0.8811996188428667,0.39411904397937986,0.5129194251365132,0.4870805748634868,0.6376593314111233,0.6376593314111233
multi,F_T_attractive,product,0.525,1500,0.7364799373679691,0.20199350093801813,0.4655135635700491,0.534486436429951,0.46923671915299364,0.46923671915299364
multi,F_T_attractive,shuffled,0.5,900,0.8812334090471268,0.3950081605050299,0.5137747514579031,0.48622524854209687,0.6381207847760784,0.6381207847760784
multi,F_T_attractive,shuffled,0.5,1500,0.7373106704817878,0.2021390246848265,0.46482835420303875,0.5351716457969613,0.4697248475833072,0.4697248475833072
multi,F_T_attractive,shuffled,0.525,900,0.8812532093789842,0.39485698623789683,0.5136037768589126,0.48639622314108744,0.6380550978084405,0.6380550978084405
multi,F_T_attractive,shuffled,0.525,1500,0.7378199643558926,0.20209799185395236,0.4642780274980598,0.5357219725019402,0.4699589781049225,0.4699589781049225
multi,F_T_attractive,time_shuffled,0.5,900,0.9346252878506979,0.6632087892956204,0.7285835014449226,0.27141649855507743,0.7989170385731591,0.7989170385731591
multi,F_T_attractive,time_shuffled,0.5,1500,0.8623643438021342,0.5085092953509754,0.6461449515488412,0.35385504845115867,0.6854368195765548,0.6854368195765548
multi,F_T_attractive,time_shuffled,0.525,900,0.9338922964202033,0.666617756916417,0.7327254604962137,0.26727453950378627,0.8002550266683102,0.8002550266683102
multi,F_T_attractive,time_shuffled,0.525,1500,0.8614143686162101,0.5155354292856322,0.6541210606694221,0.3458789393305778,0.6884748989509212,0.6884748989509212
single,noise_swamp,noise_swamp,,900,,,,,,
single,open_field,open_field,,900,,,,,,
single,rigid_attractor,rigid_attractor,,900,,,,,,
single,sink_trap,sink_trap,,900,,,,,,
