kind,world,condition,alpha,T,metric,mean,ci_low,ci_high,ci_width
multi,F_T_attractive,coupled,0.5,900,p_viable_T,0.9988370370370373,0.9987922129629629,0.9988774537037037,8.524074074078847e-05
multi,F_T_attractive,coupled,0.5,900,tail_viability,0.9988370370370373,0.9987965277777778,0.9988823518518518,8.58240740739813e-05
multi,F_T_attractive,coupled,0.5,900,kernel_erosion_slope,2.2839506172839047e-06,1.4814814814814213e-06,3.086419753086288e-06,1.6049382716048665e-06
multi,F_T_attractive,coupled,0.5,900,mean_hazard,2.286637098536049e-06,1.4833466957521815e-06,3.090072668323234e-06,1.6067259725710524e-06
multi,F_T_attractive,coupled,0.5,900,late_hazard,0.0,0.0,0.0,0.0
multi,F_T_attractive,coupled,0.5,900,endpoint_variance,0.04515627835773754,0.04506595151188468,0.04523985872096896,0.0001739072090842786
multi,F_T_attractive,coupled,0.5,900,mean_pairwise_trajectory_distance,1.3913483652803633,1.386989030043284,1.3961797929306825,0.009190762887398396
multi,F_T_attractive,coupled,0.5,900,effective_dimension,1.9282728837596046,1.9265016930301984,1.9298484047419495,0.0033467117117511602
multi,F_T_attractive,coupled,0.5,900,covariance_spectrum_rank,2.0,2.0,2.0,0.0
multi,F_T_attractive,coupled,0.5,900,path_concentration_index,0.3415030606827778,0.3413198797292113,0.3416942287784224,0.0003743490492111312
multi,F_T_attractive,coupled,0.5,900,collapse_score,0.3415030606827778,0.3413004732804595,0.3416753482802165,0.00037487499975702443
multi,F_T_attractive,coupled,0.5,900,tube_thickness_mean,2.0739150166511537,2.0737084012561375,2.0741111609339717,0.00040275967783420796
multi,F_T_attractive,coupled,0.5,900,tube_erosion_slope,-0.11065794548226723,-0.11073938608169552,-0.11058196090265277,0.00015742517904275555
multi,F_T_attractive,coupled,0.5,900,perturbation_survival_radius,1.9523380604055194,1.9520649537940822,1.9525920515590243,0.000527097764942086
multi,F_T_attractive,coupled,0.5,900,boundary_proximity,0.0003987189238552133,0.0003897490581785038,0.0004075574212858116,1.78083631073078e-05
multi,F_T_attractive,coupled,0.5,900,restoration_probability,0.9984490442151287,0.9984308210376016,0.9984664973920545,3.5676354452895964e-05
multi,F_T_attractive,coupled,0.5,900,return_to_corridor_time,0.0,0.0,0.0,0.0
multi,F_T_attractive,coupled,0.5,900,restoration_half_life,1.0,1.0,1.0,0.0
multi,F_T_attractive,coupled,0.5,900,post_perturbation_viability,1.0,1.0,1.0,0.0
multi,F_T_attractive,coupled,0.5,900,overshoot_or_absorption_rate,0.0,0.0,0.0,0.0
multi,F_T_attractive,coupled,0.5,900,predictive_r2,0.8003948960039351,0.7998227810528543,0.8010548004011313,0.0012320193482769914
multi,F_T_attractive,coupled,0.5,900,time_shuffled_r2,-0.0008805085468868937,-0.0009643674484641958,-0.0007555938440655171,0.00020877360439867877
multi,F_T_attractive,coupled,0.5,900,A_pred_delta,0.801275404550822,0.8006238775667972,0.8018806950182981,0.0012568174515008579
multi,F_T_attractive,coupled,0.5,900,gaussian_mi_approx,0.9760159331436393,0.9748450209760927,0.9769944219107812,0.002149400934688517
multi,F_T_attractive,coupled,0.5,900,binned_mi_diagnostic,0.9262817424005286,0.9261325830639625,0.9264370357153554,0.0003044526513928947
multi,F_T_attractive,coupled,0.5,900,component_prediction_balance,0.7040785368945863,0.7030598509725597,0.7051042322483327,0.0020443812757729996
multi,F_T_attractive,coupled,0.5,900,component_erasure_proxy,0.2959214631054137,0.2950274952418275,0.29696613719065984,0.0019386419488323647
multi,F_T_attractive,coupled,0.5,900,joint_vs_product_prediction_delta,0.7042212878664335,0.7035784389782282,0.7047872604553898,0.0012088214771615036
multi,F_T_attractive,coupled,0.5,900,joint_vs_shuffled_prediction_delta,0.7042212878664335,0.7034539323921004,0.7050389331372248,0.0015850007451243542
multi,F_T_attractive,coupled,0.5,1500,p_viable_T,0.9988825925925925,0.9988439907407406,0.99892375,7.97592592594043e-05
multi,F_T_attractive,coupled,0.5,1500,tail_viability,0.9988825925925925,0.9988406296296297,0.998921611111111,8.098148148127926e-05
multi,F_T_attractive,coupled,0.5,1500,kernel_erosion_slope,1.7901234567899266e-06,1.2330246913578888e-06,2.469135802468864e-06,1.2361111111109752e-06
multi,F_T_attractive,coupled,0.5,1500,mean_hazard,1.792175383887731e-06,1.2344173136581336e-06,2.5337455066102153e-06,1.2993281929520817e-06
multi,F_T_attractive,coupled,0.5,1500,late_hazard,0.0,0.0,0.0,0.0
multi,F_T_attractive,coupled,0.5,1500,endpoint_variance,0.03484938916646767,0.03478004799897054,0.034908039512423134,0.00012799151345259385
multi,F_T_attractive,coupled,0.5,1500,mean_pairwise_trajectory_distance,1.2939360188113318,1.2892642215556567,1.2979082240826554,0.008644002526998706
multi,F_T_attractive,coupled,0.5,1500,effective_dimension,2.4106059312820434,2.408579800857438,2.4128193387058046,0.004239537848366393
multi,F_T_attractive,coupled,0.5,1500,covariance_spectrum_rank,3.0,3.0,3.0,0.0
multi,F_T_attractive,coupled,0.5,1500,path_concentration_index,0.2932097338177316,0.2930394234217452,0.29340087894884326,0.0003614555270980424
multi,F_T_attractive,coupled,0.5,1500,collapse_score,0.2932097338177316,0.292972130115588,0.29340044966643836,0.00042831955085037565
multi,F_T_attractive,coupled,0.5,1500,tube_thickness_mean,2.1487405909432304,2.148612090084288,2.148885137008296,0.0002730469240082023
multi,F_T_attractive,coupled,0.5,1500,tube_erosion_slope,-0.1145883942643801,-0.11467101817329721,-0.11450954903124104,0.0001614691420561698
multi,F_T_attractive,coupled,0.5,1500,perturbation_survival_radius,2.055923394362132,2.0557459626264043,2.0561362570855355,0.00039029445913119076
multi,F_T_attractive,coupled,0.5,1500,boundary_proximity,0.00040219709618775386,0.0003935613459684396,0.00041079471467689164,1.7233368708452024e-05
multi,F_T_attractive,coupled,0.5,1500,restoration_probability,0.9984281378446939,0.9984077512998669,0.9984480707532377,4.031945337079623e-05
multi,F_T_attractive,coupled,0.5,1500,return_to_corridor_time,0.0,0.0,0.0,0.0
