condition,alpha,T,kappa,seed,p_viable,macro_node_count,macro_edge_count,reachable_node_count,certified_reachable_node_count,macro_path_entropy,macro_node_entropy,breadth_index,mean_fiber_mass,median_fiber_mass,fiber_mass_entropy,singleton_fraction,certified_node_fraction,viable_fiber_fraction,transport_survival_mean,transport_survival_median,certified_edge_fraction,certified_transport_density,max_certified_path_length,mean_certified_path_length,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,depth_index,collapse_segment_index,robust_reachability_index,viable_propagation_index,component_A_preservation,component_B_preservation,component_A_entropy,component_B_entropy,lower_rank_erasure_score
coupled,0.45,900,basin_transition_profile,79.5,0.9989000000000001,23.75625,229.41875,102.475,40.9375,4.4884328662007125,2.280023726160045,0.33782860393734326,0.06836768079887799,0.002509311738531801,2.280023726160045,0.44494555475894,0.3997876356848563,1.0,0.9842462902458022,0.9869728290800277,0.31187624292463445,0.31187624292463445,6.0,5.8655131211134375,0.9568875701461433,0.972223172572846,0.9568875701461433,0.0,0.32326268904812444,0.5227691608853288,1.0,1.0,8.263966739427037,5.7064828983085985,0.0
coupled,0.45,900,boundary_v2_regime_sequence,79.5,0.9989000000000001,4.0,36.14375,20.65625,12.3625,2.0496339969560093,0.6664895313747669,0.1542687662973657,0.33919457735247205,0.03493762221073117,0.6664895313747669,0.40699322749729133,0.5989613237639554,1.0,0.9975774366382169,0.9979051958280257,0.3978862950444479,0.3978862950444479,6.0,5.969601462228159,0.9945877867316252,0.9947787363135099,0.9945877867316252,0.0,0.1534338352747719,0.5883665543643566,1.0,1.0,8.263966739427037,5.7064828983085985,0.0
coupled,0.45,900,center_of_mass,79.5,0.9989000000000001,10.5125,132.2875,58.1625,42.3125,7.147121834465635,2.1176172262892634,0.5379387938854114,0.12045922655944914,0.06947246776368524,2.1176172262892634,0.3306326768361942,0.7281693681953686,1.0,0.8019345296024865,0.8031167536259535,0.501922471522888,0.501922471522888,6.0,3.932648579587073,0.6393682041634914,0.6483918389340382,0.6393682041634914,0.0,0.343939544588509,0.27403787969684806,1.0,0.7984386697873369,8.263966739427037,5.7064828983085985,0.1007806651063315
coupled,0.45,900,joint_basin,79.5,0.9989000000000001,5.03125,97.7625,34.475,22.0375,4.4884328662007125,1.2471475780355774,0.33782860393734326,0.20314955308751262,0.086210446275566,1.2471475780355774,0.44494555475894,0.6395358821507718,1.0,0.9942255068802733,0.9944783191552959,0.5290233120822533,0.5290233120822533,6.0,5.939225782267378,0.9855040406656691,0.988209662947505,0.9855040406656691,0.0,0.3329316029306835,0.5438532499479583,1.0,1.0,8.263966739427037,5.7064828983085985,0.0
coupled,0.45,1500,basin_transition_profile,79.5,0.9989000000000001,23.7625,283.375,108.75625,57.09375,6.03869727790907,2.718218529051071,0.45451158071280756,0.06439137420297004,0.006451158154545578,2.718218529051071,0.43564659743117334,0.5251810470931828,1.0,0.9819967413504369,0.980417190179856,0.423532148009933,0.423532148009933,6.0,5.834124941659428,0.9499267549468596,0.9653090602979291,0.9499267549468596,0.0,0.43175248579792747,0.526218376566418,1.0,0.9995574470864808,9.406296472308988,6.070614575427995,0.00022127645675955703
coupled,0.45,1500,boundary_v2_regime_sequence,79.5,0.9989000000000001,4.0,28.35,17.69375,10.375,1.635202936361217,0.5483625316727265,0.12307599293533736,0.3960827313381493,0.11756507370342144,0.5483625316727265,0.38242725216039886,0.587000263372893,1.0,0.9976970529049906,0.9979887252826336,0.3673043696582611,0.3673043696582611,6.0,5.963769526282231,0.9934196365495579,0.9936336538423418,0.9934196365495579,0.0,0.12226607762483455,0.6120967445932263,1.0,1.0,9.406296472308988,6.070614575427995,0.0
coupled,0.45,1500,center_of_mass,79.5,0.9989000000000001,10.50625,134.2875,52.98125,39.39375,7.846582389276746,2.020374121809617,0.5905847443660402,0.1322301905904236,0.06308444039847973,2.020374121809617,0.36558656087356217,0.744169253579466,1.0,0.8782619519628343,0.9069375242736106,0.49817371390839993,0.49817371390839993,6.0,4.110725205916863,0.6729883105915087,0.6793904162443258,0.6729883105915087,0.0,0.397455551315588,0.29011441444177616,1.0,0.7736707517450886,9.406296472308988,6.070614575427995,0.11316462412745568
coupled,0.45,1500,joint_basin,79.5,0.9989000000000001,5.0375,104.04375,34.6625,24.0625,6.03869727790907,1.4418971883681062,0.45451158071280756,0.2020046048722519,0.09688626619043897,1.4418971883681062,0.43564659743117334,0.6944100140056022,1.0,0.9961202860020029,0.9959605432597509,0.6711254586347151,0.6711254586347151,6.0,5.9463983018628825,0.9894057928586347,0.990256081033819,0.9894057928586347,0.0,0.44969610870194954,0.5559667037027861,1.0,0.9995574470864808,9.406296472308988,6.070614575427995,0.00022127645675955703
coupled,0.45,2400,basin_transition_profile,79.5,0.9989000000000001,23.76875,309.63125,111.55625,68.99375,6.599759160216472,2.8748299510813,0.49674074683441705,0.06276719810466705,0.009682526027772578,2.8748299510813,0.43945811153485304,0.6186740451420303,1.0,0.9840680105949019,0.9835249847040565,0.5444704430836643,0.5444704430836643,6.0,5.824436395266597,0.951436001042828,0.964264810713215,0.951436001042828,0.0,0.4726187489614725,0.48590774651054786,1.0,0.9258208725903199,10.231361396218563,6.110131819122647,0.03708956370484002
coupled,0.45,2400,boundary_v2_regime_sequence,79.5,0.9989000000000001,4.0,23.83125,16.03125,10.375,1.2281789186305863,0.47813486443901354,0.09244072225522429,0.43811863687782804,0.1830033082375828,0.47813486443901354,0.34865248670855287,0.6492523331447964,1.0,0.9988684422230613,0.9994456419111266,0.4812877229260913,0.4812877229260913,6.0,5.977517116918381,0.996064419508963,0.9961835654969192,0.996064419508963,0.0,0.09207707641402134,0.6480601530342893,1.0,1.0,10.231361396218563,6.110131819122647,0.0
coupled,0.45,2400,center_of_mass,79.5,0.9989000000000001,10.49375,140.98125,49.5,37.0875,8.531229286284363,1.9649211835539482,0.642115714310798,0.14151252350972293,0.06385383311101765,1.9649211835539482,0.40627123676566723,0.749777115215148,1.0,0.930928543612646,0.9749289299335537,0.5324369406464264,0.5324369406464264,6.0,4.424910166553508,0.7285850234216541,0.7332318907786177,0.7285850234216541,0.0,0.4678356823173493,0.2884242782795964,1.0,0.7162097403701455,10.231361396218563,6.110131819122647,0.1418951298149272
coupled,0.45,2400,joint_basin,79.5,0.9989000000000001,5.0375,106.84375,34.7125,25.0625,6.599759160216472,1.4646254022239071,0.4967407468344171,0.20169934640522874,0.06297552025097333,1.4646254022239071,0.43945811153485304,0.7221667833800187,1.0,0.9970878305486741,0.9979048626244478,0.7377535654419093,0.7377535654419093,6.0,5.951574955386247,0.9907880046482157,0.9914383059177065,0.9907880046482157,0.0,0.4921644792951437,0.5126892627022791,1.0,0.9258208725903199,10.231361396218563,6.110131819122647,0.03708956370484002
coupled,0.5,900,basin_transition_profile,79.5,0.9988725,23.66875,248.975,104.86875,47.84375,5.043757161557185,2.4883889349145187,0.3796270506904108,0.06679008764019892,0.003520221472432257,2.4883889349145187,0.4476296997179355,0.45648742843735296,1.0,0.9829981245244677,0.9849564920708918,0.3433368600438563,0.3433368600438563,6.0,5.861450626874172,0.9592753161519537,0.9711336014191627,0.9592753161519537,0.0,0.3641661994341314,0.5208641705383423,1.0,1.0,8.365383130642133,5.903403541502454,0.0
coupled,0.5,900,boundary_v2_regime_sequence,79.5,0.9988725,4.00625,33.79375,19.925,11.40625,1.9561487425235675,0.6399286345390832,0.14723289521080826,0.35160087719298244,0.042139169196943355,0.6399286345390832,0.3957022260577151,0.572797619047619,1.0,0.9969795091181795,0.996468508834705,0.36790996715608293,0.36790996715608293,6.0,5.96405629003223,0.9931147314498021,0.9935346952542072,0.9931147314498021,0.0,0.14621900677990565,0.5983372745687092,1.0,1.0,8.365383130642133,5.903403541502454,0.0
coupled,0.5,900,center_of_mass,79.5,0.9988725,10.56875,132.6125,58.35,42.25,7.154603679920423,2.1254576220734434,0.5385035374328212,0.12007136839520009,0.06645018807213095,2.1254576220734434,0.33118396675128386,0.7246962768385502,1.0,0.806501139228117,0.8078679918936602,0.5009121609654408,0.5009121609654408,6.0,3.9475693946729797,0.6435249154908027,0.6514322817570573,0.6435249154908027,0.0,0.3465385006022971,0.28641311043827167,1.0,0.8251294132865779,8.365383130642133,5.903403541502454,0.08743529335671102
coupled,0.5,900,joint_basin,79.5,0.9988725,5.00625,100.20625,34.55,23.1,5.043757161557185,1.3925425372161055,0.3796270506904108,0.20267400568181815,0.11958755665227076,1.3925425372161055,0.4476296997179355,0.668817849583015,1.0,0.9947081019717136,0.9948222918001945,0.5953624752632916,0.5953624752632916,6.0,5.942520196932869,0.9873100613350448,0.989089721360507,0.9873100613350448,0.0,0.37480917792462093,0.5424734527467278,1.0,1.0,8.365383130642133,5.903403541502454,0.0
coupled,0.5,1500,basin_transition_profile,79.5,0.9988725,23.68125,296.775,110.16875,62.9125,6.497506474508048,2.920306744324087,0.4890459898408534,0.06355946221691987,0.011048774571056946,2.920306744324087,0.4249510609389625,0.571257024065088,1.0,0.9822662348325144,0.9810180780744439,0.48312389033545244,0.48312389033545244,6.0,5.833492344006144,0.9510512784057885,0.9653172599862725,0.9510512784057885,0.0,0.46510799836599526,0.5241787706489954,1.0,0.9757556822960691,9.431314110032185,6.339923918571798,0.012122158851965372
coupled,0.5,1500,boundary_v2_regime_sequence,79.5,0.9988725,4.0,29.28125,17.83125,10.4,1.5447545188566782,0.5296689886870716,0.11626860159271635,0.3928027982026144,0.08267978563902198,0.5296689886870716,0.4060344125395171,0.5834507761437908,1.0,0.9981540718284126,0.998591232891662,0.35635287468654403,0.35635287468654403,6.0,5.970782692812195,0.9948341821532745,0.9949944490827033,0.9948341821532745,0.0,0.1156680440895819,0.5898025981663815,1.0,1.0,9.431314110032185,6.339923918571798,0.0
coupled,0.5,1500,center_of_mass,79.5,0.9988725,10.56875,134.94375,53.01875,39.39375,7.870997336219821,2.0374925439802807,0.5924241360580401,0.13215323172850627,0.06025665615925686,2.0374925439802807,0.36653220348148186,0.7437161636674772,1.0,0.8831803568046805,0.9141544580830223,0.4967648441737163,0.4967648441737163,6.0,4.135232090377604,0.679031805098627,0.6842473793599205,0.679031805098627,0.0,0.40227263060833873,0.30599163974141363,1.0,0.8054852993918689,9.431314110032185,6.339923918571798,0.09725735030406554
