condition,alpha,T,control,effective_rank_early,effective_rank_middle,effective_rank_late,rank_retention_late_over_early,segment_geometry_drift
coupled,0.45,900,none,1.4882245063781738,1.6073006391525269,1.7530741691589355,1.0,0.2648496627807617
coupled,0.45,900,rigid_collapse,1.4882270097732544,1.6073002815246582,1.7530759572982788,1.0,0.2648489475250244
coupled,0.45,900,noise_fakeout,3.8494088649749756,4.385240077972412,4.772191524505615,1.0,0.9227826595306396
coupled,0.45,900,single_component_erasure,1.0930962562561035,1.154746174812317,1.2125550508499146,1.0,0.11945879459381104
coupled,0.45,1500,none,1.6057759523391724,1.905975580215454,2.2052314281463623,1.0,0.5994554758071899
coupled,0.45,1500,rigid_collapse,1.605775237083435,1.905975580215454,2.205230712890625,1.0,0.5994554758071899
coupled,0.45,1500,noise_fakeout,3.7085485458374023,4.667248249053955,5.019045352935791,1.0,1.3104968070983887
coupled,0.45,1500,single_component_erasure,1.161845326423645,1.3130334615707397,1.4238569736480713,1.0,0.26201164722442627
coupled,0.45,2400,none,1.7718442678451538,2.4194066524505615,2.7694451808929443,1.0,0.9976009130477905
coupled,0.45,2400,rigid_collapse,1.771844744682312,2.4194071292877197,2.7694458961486816,1.0,0.9976011514663696
coupled,0.45,2400,noise_fakeout,3.497654676437378,4.926731586456299,5.134944438934326,1.0,1.6372897624969482
coupled,0.45,2400,single_component_erasure,1.2614415884017944,1.5825629234313965,1.710407018661499,1.0,0.4489654302597046
coupled,0.5,900,none,1.4865214824676514,1.5960471630096436,1.7354133129119873,1.0,0.24889183044433594
coupled,0.5,900,rigid_collapse,1.48651921749115,1.596047043800354,1.7354122400283813,1.0,0.24889302253723145
coupled,0.5,900,noise_fakeout,3.8483102321624756,4.433644771575928,4.823999881744385,1.0,0.9756896495819092
coupled,0.5,900,single_component_erasure,1.093752384185791,1.1563712358474731,1.2148263454437256,1.0,0.12107396125793457
coupled,0.5,1500,none,1.6016262769699097,1.8854773044586182,2.174424171447754,1.0,0.5727978944778442
coupled,0.5,1500,rigid_collapse,1.6016267538070679,1.8854782581329346,2.174424171447754,1.0,0.572797417640686
coupled,0.5,1500,noise_fakeout,3.7118422985076904,4.724643230438232,5.055344581604004,1.0,1.3435022830963135
coupled,0.5,1500,single_component_erasure,1.1623635292053223,1.3161561489105225,1.4238682985305786,1.0,0.26150476932525635
coupled,0.5,2400,none,1.763533592224121,2.3847970962524414,2.7275404930114746,1.0,0.9640069007873535
coupled,0.5,2400,rigid_collapse,1.763533592224121,2.3847970962524414,2.7275397777557373,1.0,0.9640061855316162
coupled,0.5,2400,noise_fakeout,3.4955337047576904,4.967132091522217,5.162489891052246,1.0,1.6669561862945557
coupled,0.5,2400,single_component_erasure,1.261040449142456,1.584559440612793,1.7098033428192139,1.0,0.4487628936767578
coupled,0.525,900,none,1.4869662523269653,1.5928540229797363,1.7280503511428833,1.0,0.24108409881591797
coupled,0.525,900,rigid_collapse,1.4869683980941772,1.59285306930542,1.7280499935150146,1.0,0.2410815954208374
coupled,0.525,900,noise_fakeout,3.8488576412200928,4.459572792053223,4.847521781921387,1.0,0.998664140701294
coupled,0.525,900,single_component_erasure,1.0942957401275635,1.1583709716796875,1.216867446899414,1.0,0.12257170677185059
coupled,0.525,1500,none,1.5979254245758057,1.8741846084594727,2.1566059589385986,1.0,0.558680534362793
coupled,0.525,1500,rigid_collapse,1.5979247093200684,1.874184250831604,2.1566073894500732,1.0,0.5586826801300049
coupled,0.525,1500,noise_fakeout,3.7124874591827393,4.748389720916748,5.0664777755737305,1.0,1.3539903163909912
coupled,0.525,1500,single_component_erasure,1.1628016233444214,1.3173952102661133,1.4258297681808472,1.0,0.2630281448364258
coupled,0.525,2400,none,1.7609641551971436,2.3684568405151367,2.705221176147461,1.0,0.9442570209503174
coupled,0.525,2400,rigid_collapse,1.7609636783599854,2.368457078933716,2.7052228450775146,1.0,0.9442591667175293
coupled,0.525,2400,noise_fakeout,3.498600721359253,4.994622230529785,5.175534725189209,1.0,1.676934003829956
coupled,0.525,2400,single_component_erasure,1.2624136209487915,1.5860025882720947,1.7113664150238037,1.0,0.4489527940750122
independent_alpha0,0.45,900,none,1.4830275774002075,1.6303950548171997,1.8692268133163452,1.0,0.3861992359161377
independent_alpha0,0.45,1500,none,1.6054151058197021,2.0185070037841797,2.677337408065796,1.0,1.0719223022460938
independent_alpha0,0.45,2400,none,1.7874642610549927,2.845022678375244,4.069671630859375,1.0,2.2822073698043823
independent_alpha0,0.5,900,none,1.4816830158233643,1.628469705581665,1.8657585382461548,1.0,0.3840755224227905
independent_alpha0,0.5,1500,none,1.6022592782974243,2.01416015625,2.6746418476104736,1.0,1.0723825693130493
independent_alpha0,0.5,2400,none,1.7882070541381836,2.852456569671631,4.072040557861328,1.0,2.2838335037231445
independent_alpha0,0.525,900,none,1.483670711517334,1.6307826042175293,1.8692352771759033,1.0,0.38556456565856934
independent_alpha0,0.525,1500,none,1.605345368385315,2.016573905944824,2.6753320693969727,1.0,1.0699867010116577
independent_alpha0,0.525,2400,none,1.7879338264465332,2.846926212310791,4.073919773101807,1.0,2.2859859466552734
product,0.45,900,none,1.48423433303833,1.6318445205688477,1.8712877035140991,1.0,0.38705337047576904
product,0.45,1500,none,1.602203369140625,2.0151824951171875,2.6696715354919434,1.0,1.0674681663513184
product,0.45,2400,none,1.7918373346328735,2.860262870788574,4.086254596710205,1.0,2.2944172620773315
product,0.5,900,none,1.4827778339385986,1.6314682960510254,1.870185136795044,1.0,0.3874073028564453
product,0.5,1500,none,1.6033580303192139,2.0169012546539307,2.6752278804779053,1.0,1.0718698501586914
product,0.5,2400,none,1.7910656929016113,2.8484246730804443,4.072873115539551,1.0,2.2818074226379395
product,0.525,900,none,1.4823551177978516,1.6310913562774658,1.8711411952972412,1.0,0.38878607749938965
product,0.525,1500,none,1.605207920074463,2.0196568965911865,2.6775991916656494,1.0,1.0723912715911865
product,0.525,2400,none,1.7940465211868286,2.8606905937194824,4.081156253814697,1.0,2.2871097326278687
shuffled,0.45,900,none,1.4845002889633179,1.6328715085983276,1.8710449934005737,1.0,0.38654470443725586
shuffled,0.45,1500,none,1.605324625968933,2.016120195388794,2.676184892654419,1.0,1.0708602666854858
shuffled,0.45,2400,none,1.7877789735794067,2.847017526626587,4.078402519226074,1.0,2.2906235456466675
shuffled,0.5,900,none,1.4852321147918701,1.6319658756256104,1.8677313327789307,1.0,0.38249921798706055
shuffled,0.5,1500,none,1.6061105728149414,2.0211169719696045,2.6852219104766846,1.0,1.0791113376617432
shuffled,0.5,2400,none,1.7901276350021362,2.8544483184814453,4.081493854522705,1.0,2.291366219520569
shuffled,0.525,900,none,1.4837238788604736,1.6334494352340698,1.8709381818771362,1.0,0.3872143030166626
shuffled,0.525,1500,none,1.6059644222259521,2.019894599914551,2.681443929672241,1.0,1.075479507446289
shuffled,0.525,2400,none,1.7916502952575684,2.8569350242614746,4.074987411499023,1.0,2.283337116241455
time_shuffled,0.45,900,none,3.1222846508026123,3.1673097610473633,3.143523693084717,1.0,0.021239042282104492
time_shuffled,0.45,1500,none,3.720205068588257,3.7535548210144043,3.7301712036132812,1.0,0.009966135025024414
time_shuffled,0.45,2400,none,4.133815765380859,4.133816719055176,4.119103908538818,0.9964410951825073,0.014711856842041016
time_shuffled,0.5,900,none,3.211132287979126,3.258906364440918,3.2366724014282227,1.0,0.02554011344909668
time_shuffled,0.5,1500,none,3.7739462852478027,3.8126375675201416,3.7856359481811523,1.0,0.01168966293334961
time_shuffled,0.5,2400,none,4.15966796875,4.1602654457092285,4.1473188400268555,0.997031222487968,0.012349128723144531
time_shuffled,0.525,900,none,3.2542550563812256,3.303037643432617,3.2806620597839355,1.0,0.02640700340270996
time_shuffled,0.525,1500,none,3.8070855140686035,3.8426945209503174,3.8158938884735107,1.0,0.008808374404907227
time_shuffled,0.525,2400,none,4.173977851867676,4.169779300689697,4.1561994552612305,0.995740658614542,0.017778396606445312
