condition,alpha,T,control,effective_rank_A,effective_rank_B,mean_pairwise_distance_sketch_A,mean_pairwise_distance_sketch_B,component_rank_balance,component_distance_balance,component_erasure_score
coupled,0.45,900,none,1.3378016948699951,3.00325083732605,1.2640689611434937,0.5015714168548584,0.4454512018253891,0.39679118170984135,0.6032088182901587
coupled,0.45,900,rigid_collapse,1.3378010988235474,3.0032525062561035,0.03792208805680275,0.015047184191644192,0.4454507558178213,0.3967920798323476,0.6032079201676523
coupled,0.45,900,noise_fakeout,5.916483402252197,6.858487606048584,1.4516927003860474,0.533775806427002,0.8626513222877852,0.36769200966916443,0.6323079903308355
coupled,0.45,900,single_component_erasure,1.3378016948699951,3.0032525062561035,1.2640689611434937,0.015047184191644192,0.44545095428479886,0.011903768428925198,0.9880962315710748
coupled,0.45,1500,none,1.6190836429595947,3.919675350189209,1.163058876991272,0.495196670293808,0.4130657511932561,0.425770939107431,0.5869342488067439
coupled,0.45,1500,rigid_collapse,1.6190837621688843,3.919675827026367,0.03489178791642189,0.014855939894914627,0.4130657313559499,0.42577181572064554,0.5869342686440501
coupled,0.45,1500,noise_fakeout,5.377556324005127,6.785205841064453,1.3158975839614868,0.5139303803443909,0.792541368672981,0.3905549995746724,0.6094450004253276
coupled,0.45,1500,single_component_erasure,1.6190836429595947,3.919675827026367,1.163058876991272,0.014855939894914627,0.4130657009429018,0.012773162381379693,0.9872268376186203
coupled,0.45,2400,none,2.0447328090667725,4.898220539093018,1.0968992710113525,0.4887440800666809,0.41744400701185796,0.44556878920710175,0.5825559929881421
coupled,0.45,2400,rigid_collapse,2.0447328090667725,4.898220539093018,0.032906997948884964,0.0146623644977808,0.41744400701185796,0.4455698000940747,0.5825559929881421
coupled,0.45,2400,noise_fakeout,4.927587032318115,6.7042555809021,1.181591510772705,0.49948444962501526,0.7349939113829365,0.42272176557732377,0.5772782344226762
coupled,0.45,2400,single_component_erasure,2.0447328090667725,4.898220539093018,1.0968992710113525,0.0146623644977808,0.41744400701185796,0.013367102053283295,0.9866328979467167
coupled,0.5,900,none,1.340455412864685,2.986311197280884,1.256692886352539,0.5119003653526306,0.4488666198235487,0.4073392719190006,0.5926607280809995
coupled,0.5,900,rigid_collapse,1.3404542207717896,2.9863104820251465,0.037700798362493515,0.01535705290734768,0.4488663281464188,0.40734025735183316,0.5926597426481668
coupled,0.5,900,noise_fakeout,5.893611907958984,6.875268459320068,1.4400590658187866,0.5455961227416992,0.8572191679249475,0.37887065585846996,0.62112934414153
coupled,0.5,900,single_component_erasure,1.340455412864685,2.9863104820251465,1.256692886352539,0.01535705290734768,0.4488667273322713,0.012220211536265176,0.9877797884637348
coupled,0.5,1500,none,1.620564341545105,3.8629276752471924,1.15086829662323,0.4998171329498291,0.4195171325441405,0.4342956830215462,0.5804828674558595
coupled,0.5,1500,rigid_collapse,1.6205644607543945,3.862927198410034,0.03452606871724129,0.014994553290307522,0.419517215188889,0.43429657205135813,0.5804827848111109
coupled,0.5,1500,noise_fakeout,5.3570146560668945,6.80081033706665,1.3097082376480103,0.5191893577575684,0.7877024046486644,0.39641604353801335,0.6035839564619867
coupled,0.5,1500,single_component_erasure,1.620564341545105,3.862927198410034,1.15086829662323,0.014994553290307522,0.4195171843290557,0.013028904640351235,0.9869710953596488
coupled,0.5,2400,none,2.044729709625244,4.818352699279785,1.0999993085861206,0.49081388115882874,0.4243628138577063,0.44619471787640874,0.5756371861422938
coupled,0.5,2400,rigid_collapse,2.0447299480438232,4.818352699279785,0.03300000727176666,0.014724456705152988,0.4243628633390527,0.4461955594097877,0.5756371366609473
coupled,0.5,2400,noise_fakeout,4.905083179473877,6.723352432250977,1.1867098808288574,0.503995418548584,0.7295591342118082,0.42469977430083283,0.5753002256991672
coupled,0.5,2400,single_component_erasure,2.044729709625244,4.818352699279785,1.0999993085861206,0.014724456705152988,0.4243628138577063,0.013385878145759023,0.986614121854241
coupled,0.525,900,none,1.3436132669448853,2.975058078765869,1.2525588274002075,0.5072686672210693,0.4516258948135395,0.40498590255752587,0.5950140974424741
coupled,0.525,900,rigid_collapse,1.3436133861541748,2.9750587940216064,0.037576790899038315,0.015218102373182774,0.45162582630439835,0.4049867487106847,0.5950132512893154
coupled,0.525,900,noise_fakeout,5.877455711364746,6.88333797454834,1.4505647420883179,0.5405912399291992,0.8538670820896898,0.37267639578150263,0.6273236042184973
coupled,0.525,900,single_component_erasure,1.3436132669448853,2.9750587940216064,1.2525588274002075,0.015218102373182774,0.4516257862348408,0.01214961089274285,0.9878503891072572
coupled,0.525,1500,none,1.6229101419448853,3.8358566761016846,1.1674062013626099,0.4992155432701111,0.4230893589054065,0.42762796932843167,0.5769106410945934
coupled,0.525,1500,rigid_collapse,1.622909426689148,3.835857629776001,0.03502221032977104,0.014976500533521175,0.42308906725089257,0.42762865029081915,0.5769109327491074
