condition,alpha,T,control,sample_n,gpu_used,effective_rank,component_rank_balance,rank_retention_late_over_early,p_viable_T
coupled,0.45,900,none,270000,1.0,1.9322813749313354,0.4454512018253891,1.0,0.9988870370370371
coupled,0.45,900,rigid_collapse,270000,1.0,1.9322816133499146,0.4454507558178213,1.0,0.9988870370370371
coupled,0.45,900,noise_fakeout,270000,1.0,8.633695602416992,0.8626513222877852,1.0,0.9988870370370371
coupled,0.45,900,single_component_erasure,270000,1.0,1.3391226530075073,0.44545095428479886,1.0,0.9988870370370371
coupled,0.45,1500,none,270000,1.0,2.423826217651367,0.4130657511932561,1.0,0.9989025925925926
coupled,0.45,1500,rigid_collapse,270000,1.0,2.4238247871398926,0.4130657313559499,1.0,0.9989025925925926
coupled,0.45,1500,noise_fakeout,270000,1.0,8.168354034423828,0.792541368672981,1.0,0.9989025925925926
coupled,0.45,1500,single_component_erasure,270000,1.0,1.6208713054656982,0.4130657009429018,1.0,0.9989025925925926
coupled,0.45,2400,none,270000,1.0,3.1483867168426514,0.41744400701185796,1.0,0.9989085185185186
coupled,0.45,2400,rigid_collapse,270000,1.0,3.1483845710754395,0.41744400701185796,1.0,0.9989085185185186
coupled,0.45,2400,noise_fakeout,270000,1.0,7.734855651855469,0.7349939113829365,1.0,0.9989085185185186
coupled,0.45,2400,single_component_erasure,270000,1.0,2.047224283218384,0.41744400701185796,1.0,0.9989085185185186
coupled,0.5,900,none,270000,1.0,1.9253321886062622,0.4488666198235487,1.0,0.998904074074074
coupled,0.5,900,rigid_collapse,270000,1.0,1.925330638885498,0.4488663281464188,1.0,0.998904074074074
coupled,0.5,900,noise_fakeout,270000,1.0,8.663569450378418,0.8572191679249475,1.0,0.998904074074074
coupled,0.5,900,single_component_erasure,270000,1.0,1.3417590856552124,0.4488667273322713,1.0,0.998904074074074
coupled,0.5,1500,none,270000,1.0,2.4072604179382324,0.4195171325441405,1.0,0.9989333333333333
