condition,alpha,T,control,sample_n,gpu_used,effective_rank,component_rank_balance,rank_retention_late_over_early,p_viable_T
coupled,0.5,1500,rigid_collapse,270000,1.0,2.4072601795196533,0.419517215188889,1.0,0.9989333333333333
coupled,0.5,1500,noise_fakeout,270000,1.0,8.202232360839844,0.7877024046486644,1.0,0.9989333333333333
coupled,0.5,1500,single_component_erasure,270000,1.0,1.6223206520080566,0.4195171843290557,1.0,0.9989333333333333
coupled,0.5,2400,none,270000,1.0,3.1196658611297607,0.4243628138577063,1.0,0.9988948148148148
coupled,0.5,2400,rigid_collapse,270000,1.0,3.119666814804077,0.4243628633390527,1.0,0.9988948148148148
coupled,0.5,2400,noise_fakeout,270000,1.0,7.756313800811768,0.7295591342118082,1.0,0.9988948148148148
coupled,0.5,2400,single_component_erasure,270000,1.0,2.0471694469451904,0.4243628138577063,1.0,0.9988948148148148
coupled,0.525,900,none,270000,1.0,1.9252878427505493,0.4516258948135395,1.0,0.99892
coupled,0.525,900,rigid_collapse,270000,1.0,1.9252883195877075,0.45162582630439835,1.0,0.99892
coupled,0.525,900,noise_fakeout,270000,1.0,8.674246788024902,0.8538670820896898,1.0,0.99892
coupled,0.525,900,single_component_erasure,270000,1.0,1.3449127674102783,0.4516257862348408,1.0,0.99892
coupled,0.525,1500,none,270000,1.0,2.398183822631836,0.4230893589054065,1.0,0.9989344444444445
coupled,0.525,1500,rigid_collapse,270000,1.0,2.398183822631836,0.42308906725089257,1.0,0.9989344444444445
coupled,0.525,1500,noise_fakeout,270000,1.0,8.221811294555664,0.7862183000477485,1.0,0.9989344444444445
coupled,0.525,1500,single_component_erasure,270000,1.0,1.624643325805664,0.4230892537165559,1.0,0.9989344444444445
coupled,0.525,2400,none,270000,1.0,3.109234094619751,0.4279040948130852,1.0,0.9988874074074074
coupled,0.525,2400,rigid_collapse,270000,1.0,3.109234571456909,0.42790434401481736,1.0,0.9988874074074074
coupled,0.525,2400,noise_fakeout,270000,1.0,7.773481369018555,0.7274894553716644,1.0,0.9988874074074074
coupled,0.525,2400,single_component_erasure,270000,1.0,2.0493574142456055,0.4279040948130852,1.0,0.9988874074074074
independent_alpha0,0.45,900,none,270000,1.0,1.9305557012557983,0.4436699694353284,1.0,0.9988600000000001
independent_alpha0,0.45,1500,none,270000,1.0,2.463379144668579,0.38349470927338236,1.0,0.9988514814814816
independent_alpha0,0.45,2400,none,270000,1.0,3.2156341075897217,0.3653915451073748,1.0,0.9988685185185185
independent_alpha0,0.5,900,none,270000,1.0,1.9269596338272095,0.44399951027269535,1.0,0.9988481481481482
independent_alpha0,0.5,1500,none,270000,1.0,2.456505537033081,0.38275649752266794,1.0,0.9988248148148148
independent_alpha0,0.5,2400,none,270000,1.0,3.22330904006958,0.36601874823679925,1.0,0.9988911111111111
independent_alpha0,0.525,900,none,270000,1.0,1.9315725564956665,0.4448765344118746,1.0,0.998844074074074
independent_alpha0,0.525,1500,none,270000,1.0,2.464085578918457,0.3833232072189145,1.0,0.9988674074074074
independent_alpha0,0.525,2400,none,270000,1.0,3.2185051441192627,0.36537062488435396,1.0,0.99885
product,0.45,900,none,270000,1.0,1.933292269706726,0.44424919498900134,1.0,0.9988511111111111
product,0.45,1500,none,270000,1.0,2.4562597274780273,0.3835345647362425,1.0,0.9988633333333333
product,0.45,2400,none,270000,1.0,3.227874279022217,0.36663682217042237,1.0,0.9988718518518518
product,0.5,900,none,270000,1.0,1.9315941333770752,0.44314932188328576,1.0,0.9988470370370371
product,0.5,1500,none,270000,1.0,2.4593513011932373,0.3827793674039952,1.0,0.9988681481481482
product,0.5,2400,none,270000,1.0,3.22448992729187,0.36637093563607365,1.0,0.9988437037037037
product,0.525,900,none,270000,1.0,1.9315253496170044,0.442925390803397,1.0,0.9988270370370371
product,0.525,1500,none,270000,1.0,2.4628279209136963,0.3839789018061396,1.0,0.9988362962962963
product,0.525,2400,none,270000,1.0,3.2352921962738037,0.36736012672299845,1.0,0.9988562962962964
shuffled,0.45,900,none,270000,1.0,1.9333114624023438,0.44458443085295885,1.0,0.9988662962962962
shuffled,0.45,1500,none,270000,1.0,2.4625682830810547,0.3839145885920907,1.0,0.9989303703703704
shuffled,0.45,2400,none,270000,1.0,3.2210423946380615,0.3652558842078072,1.0,0.99885
shuffled,0.5,900,none,270000,1.0,1.933619737625122,0.44567762854285725,1.0,0.9988514814814816
shuffled,0.5,1500,none,270000,1.0,2.4641637802124023,0.38388368580872917,1.0,0.9988400000000001
shuffled,0.5,2400,none,270000,1.0,3.2254114151000977,0.3661857064644289,1.0,0.9988933333333334
shuffled,0.525,900,none,270000,1.0,1.9336798191070557,0.44428965372193874,1.0,0.9988237037037037
shuffled,0.525,1500,none,270000,1.0,2.464369535446167,0.3844879444640377,1.0,0.9988514814814816
shuffled,0.525,2400,none,270000,1.0,3.2313852310180664,0.36676606365628556,1.0,0.9988674074074074
time_shuffled,0.45,900,none,270000,1.0,5.051057815551758,0.529132560847684,1.0,0.9989192592592592
time_shuffled,0.45,1500,none,270000,1.0,6.8594889640808105,0.7044409756006174,1.0,0.9988792592592594
time_shuffled,0.45,2400,none,270000,1.0,8.39210319519043,0.8540523571501705,0.9964410951825073,0.9989211111111111
time_shuffled,0.5,900,none,270000,1.0,5.289173603057861,0.554820035767444,1.0,0.9988874074074074
time_shuffled,0.5,1500,none,270000,1.0,7.032946586608887,0.7319082339481753,1.0,0.9989070370370371
time_shuffled,0.5,2400,none,270000,1.0,8.50644302368164,0.8773592632888803,0.997031222487968,0.9988329629629629
time_shuffled,0.525,900,none,270000,1.0,5.406317710876465,0.5673017986486237,1.0,0.9989103703703703
time_shuffled,0.525,1500,none,270000,1.0,7.132515907287598,0.7471121277658922,1.0,0.9988985185185186
time_shuffled,0.525,2400,none,270000,1.0,8.563611030578613,0.8881226812217072,0.995740658614542,0.9988918518518518
