condition,alpha,T,metric,mean,ci_low,ci_high,ci_width
coupled,0.45,900,p_viable_T,0.9988870370370371,0.9988462962962963,0.9989250462962963,7.875000000001631e-05
coupled,0.45,900,seed_effective_rank,1.9318601644228974,1.9265476720225982,1.9373147403598283,0.010767068337230068
coupled,0.45,900,seed_distance,1.399280003763066,1.3912305293547824,1.4061425817507955,0.01491205239601312
coupled,0.45,900,seed_component_rank_balance,0.44594899765541496,0.4445129404795485,0.44726172724922664,0.0027487867696781576
coupled,0.45,900,seed_component_distance_balance,0.3999574313402669,0.39762881517924875,0.4025884794291497,0.0049596642499009636
coupled,0.45,1500,p_viable_T,0.9989025925925925,0.9988625740740739,0.9989429814814814,8.04074074075567e-05
coupled,0.45,1500,seed_effective_rank,2.422610426003291,2.415502397297985,2.4304993170139912,0.01499691971600603
coupled,0.45,1500,seed_distance,1.292632558507911,1.2867730378915296,1.298344305309271,0.011571267417741282
coupled,0.45,1500,seed_component_rank_balance,0.4136435349569493,0.41267463667375814,0.41461288123174767,0.0019382445579895213
coupled,0.45,1500,seed_component_distance_balance,0.42548193602858486,0.4233719907700454,0.42744600844408404,0.0040740176740386436
coupled,0.45,2400,p_viable_T,0.9989085185185186,0.9988725370370372,0.9989459629629629,7.342592592574082e-05
coupled,0.45,2400,seed_effective_rank,3.1454236570193888,3.1356922222592183,3.1555832612586316,0.019891038999413357
coupled,0.45,2400,seed_distance,1.2216021227268694,1.2167470713688748,1.2270860303460767,0.010338958977201829
coupled,0.45,2400,seed_component_rank_balance,0.41807315355596286,0.41702053933791033,0.4192516374704077,0.002231098132497389
coupled,0.45,2400,seed_component_distance_balance,0.4407838499039452,0.4390153139263046,0.4424406688255462,0.003425354899241617
coupled,0.5,900,p_viable_T,0.998904074074074,0.9988664351851851,0.9989494722222221,8.30370370369371e-05
coupled,0.5,900,seed_effective_rank,1.9248298956237644,1.9206562795058515,1.9287097998684852,0.008053520362633737
coupled,0.5,900,seed_distance,1.3926172947939246,1.3861179323459434,1.4005985981440117,0.014480665798068282
coupled,0.5,900,seed_component_rank_balance,0.44926332199986674,0.44820837524929363,0.4502315708109848,0.002023195561691171
coupled,0.5,900,seed_component_distance_balance,0.4035829932167679,0.4012672249918848,0.4056030769396226,0.004335851947737834
coupled,0.5,1500,p_viable_T,0.9989333333333333,0.9988947962962963,0.9989724351851852,7.763888888889792e-05
coupled,0.5,1500,seed_effective_rank,2.405980573723332,2.3995075766751013,2.4126162456622655,0.01310866898716423
coupled,0.5,1500,seed_distance,1.2829635277917955,1.2766816293374514,1.2891975258704071,0.012515896532955706
coupled,0.5,1500,seed_component_rank_balance,0.42008606930044723,0.4192402639372107,0.42105570198857445,0.0018154380513637491
coupled,0.5,1500,seed_component_distance_balance,0.4316290845215281,0.4297983949682097,0.4336215345292193,0.003823139561009603
coupled,0.5,2400,p_viable_T,0.9988948148148148,0.9988580555555555,0.9989314999999999,7.344444444434828e-05
coupled,0.5,2400,seed_effective_rank,3.1173788238745943,3.108440203693556,3.1291831486005424,0.02074294490698625
coupled,0.5,2400,seed_distance,1.2245843962260494,1.2192660226399332,1.229075933405335,0.00980991076540172
coupled,0.5,2400,seed_component_rank_balance,0.42505794751276005,0.42392182962942887,0.42616666486905025,0.002244835239621379
coupled,0.5,2400,seed_component_distance_balance,0.4442315662229955,0.44247772751384506,0.4458984055513435,0.003420678037498459
coupled,0.525,900,p_viable_T,0.9989199999999998,0.9988862962962963,0.9989556111111112,6.931481481486923e-05
coupled,0.525,900,seed_effective_rank,1.924791673763452,1.9196800027885939,1.9298703059373838,0.010190303148789992
coupled,0.525,900,seed_distance,1.3852562865507918,1.378355527364877,1.3921733963172513,0.013817868952374246
coupled,0.525,900,seed_component_rank_balance,0.4520830643442736,0.45093227043543294,0.45320688612300336,0.002274615687570425
coupled,0.525,900,seed_component_distance_balance,0.4069601845975241,0.4048943854753174,0.4092417033450367,0.004347317869719258
coupled,0.525,1500,p_viable_T,0.9989344444444445,0.99889425,0.9989661203703702,7.187037037026389e-05
coupled,0.525,1500,seed_effective_rank,2.3973944504659395,2.3899265767970235,2.4054921062314474,0.015565529434423908
coupled,0.525,1500,seed_distance,1.2830807373872994,1.2759648544834348,1.2894759549361376,0.013511100452702873
coupled,0.525,1500,seed_component_rank_balance,0.4237128958332497,0.4227114593308707,0.42463724728271685,0.0019257879518461696
coupled,0.525,1500,seed_component_distance_balance,0.43327552203909725,0.4307987653841317,0.43522927502629233,0.004430509642160629
coupled,0.525,2400,p_viable_T,0.9988874074074074,0.9988449907407407,0.9989306203703703,8.562962962954668e-05
coupled,0.525,2400,seed_effective_rank,3.1074440087612794,3.095985350319881,3.119514193461165,0.023528843141284117
coupled,0.525,2400,seed_distance,1.2266081072949535,1.2215133994165304,1.2321133202825054,0.010599920865975054
coupled,0.525,2400,seed_component_rank_balance,0.4286168204100224,0.42758956651674185,0.42957622523359446,0.0019866587168526073
coupled,0.525,2400,seed_component_distance_balance,0.444378159957154,0.44230665550538917,0.4465756252267835,0.0042689697213943445
independent_alpha0,0.45,900,p_viable_T,0.9988600000000001,0.9988223240740741,0.9989020462962962,7.972222222207836e-05
