world,T,seed,relation_lineage_survival_depth,relation_lineage_branching_entropy,relation_lineage_extinction_rate,relation_lineage_merge_rate,relation_lineage_shuffle_delta
W1_distinction_only,50,15,0.9516986324216145,1.279061510474805,0.0483013675783855,0.0,0.4222865243495665
W1_distinction_only,50,12,0.9517789263087696,1.2787491826621895,0.0482210736912304,0.0,0.4227917639213071
W1_distinction_only,50,16,0.9515721907302434,1.2796287796911594,0.0484278092697566,0.0,0.4226333777925974
W1_distinction_only,50,19,0.9517460781041388,1.2788968725954415,0.048253921895861,0.0,0.4222813751668892
W1_distinction_only,50,24,0.9516725058391726,1.2792040998333152,0.0483274941608273,0.0,0.4250475475475477
W1_distinction_only,50,18,0.9514536048064084,1.2801569330399447,0.0485463951935914,0.0,0.4240987983978638
W1_distinction_only,50,23,0.9512883461153716,1.280857295257402,0.0487116538846282,0.0,0.4248374458152717
W1_distinction_only,50,27,0.9517136894824708,1.279038761306315,0.048286310517529,0.0,0.4223088480801337
W1_distinction_only,50,20,0.951531948615282,1.2798146750419108,0.0484680513847179,0.0,0.4228028028028029
W1_distinction_only,50,28,0.9516580440587452,1.2792645856742388,0.0483419559412549,0.0,0.4292606809078773
W1_distinction_only,50,22,0.951698247078464,1.2790994111646754,0.0483017529215359,0.0,0.4273280467445743
W1_distinction_only,50,26,0.951675700466978,1.2791914425565007,0.048324299533022,0.0,0.4187491661107404
W1_distinction_only,50,21,0.9517385680907876,1.278904608450762,0.0482614319092122,0.0,0.4238276034712951
W1_distinction_only,50,25,0.951642058725392,1.2793342094605762,0.0483579412746079,0.0,0.4262337337337337
W1_distinction_only,50,29,0.9515184228076028,1.2798572537949306,0.0484815771923973,0.0,0.4224391463821275
W1_distinction_only,100,4,0.9516381469115192,1.2793556370973946,0.0483618530884807,0.0,0.4248013355592654
W1_distinction_only,100,1,0.951649282376502,1.279307600425406,0.0483507176234979,0.0,0.4214561081441922
W1_distinction_only,100,0,0.9516851450483494,1.2791538579803143,0.0483148549516505,0.0,0.4234665721907302
W1_distinction_only,100,2,0.9517251583861288,1.278972025354569,0.0482748416138713,0.0,0.4212716738912971
W1_distinction_only,100,5,0.9516403640614562,1.2793403744747076,0.0483596359385437,0.0,0.4265693887775551
W1_distinction_only,100,3,0.9517299181696728,1.27896154338668,0.0482700818303273,0.0,0.4254041416165665
W1_distinction_only,100,12,0.9513930899064172,1.2804051899751392,0.0486069100935828,0.0,0.4207791610962567
W1_distinction_only,100,6,0.9515836811352254,1.2795701222377582,0.0484163188647746,0.0,0.4222116026711185
W1_distinction_only,100,9,0.9518204796122997,1.2785679891624206,0.0481795203877004,0.0,0.4221315173796791
W1_distinction_only,100,10,0.951362554293351,1.2805409835946164,0.0486374457066489,0.0,0.4233899933177412
W1_distinction_only,100,8,0.9516232899566232,1.2794278462158906,0.0483767100433767,0.0,0.4237328995662329
W1_distinction_only,100,13,0.9516014190317196,1.2795118110283563,0.0483985809682804,0.0,0.4205688647746244
W1_distinction_only,100,16,0.9517842842842844,1.2787250591998738,0.0482157157157157,0.0,0.4266003503503504
W1_distinction_only,100,11,0.9515747078464106,1.2796296461790757,0.0484252921535893,0.0,0.421956594323873
W1_distinction_only,100,7,0.951525784379172,1.2798172237056018,0.0484742156208278,0.0,0.4270573264352467
W1_distinction_only,100,14,0.9516494737721348,1.279299663174041,0.048350526227865,0.0,0.4223513197460741
W1_distinction_only,100,15,0.9516216216216218,1.279433504313363,0.0483783783783782,0.0,0.4252385719052386
W1_distinction_only,100,17,0.951616566466266,1.2794408170591525,0.048383433533734,0.0,0.4213097027388111
W2_asymmetry_only,50,0,0.8150993322203672,1.6906372076552687,0.1849006677796327,0.0,0.2959866444073455
W2_asymmetry_only,50,1,0.8155779166666668,1.6896083632582362,0.1844220833333332,0.0,0.2973575
W2_asymmetry_only,50,2,0.8152888146911519,1.6902266318381252,0.1847111853088481,0.0,0.2919031719532554
W1_distinction_only,100,19,0.9516662491649968,1.2792247529948464,0.0483337508350032,0.0,0.4213986305945225
W2_asymmetry_only,50,4,0.8160624164438502,1.688572791933751,0.1839375835561497,0.0,0.2961998663101604
W1_distinction_only,100,18,0.9515613514868024,1.2796874947680736,0.0484386485131974,0.0,0.42399014366856
W1_distinction_only,100,21,0.9515705395923822,1.2796332854383548,0.0484294604076177,0.0,0.4250563815569662
W2_asymmetry_only,50,3,0.8149974941530236,1.6908579626920552,0.1850025058469764,0.0,0.2975283995990643
W1_distinction_only,100,22,0.9515505932486632,1.2797272666482549,0.0484494067513368,0.0,0.4252130681818182
W1_distinction_only,100,20,0.9515765859766278,1.279608020170346,0.0484234140233722,0.0,0.4221406510851418
W2_asymmetry_only,50,5,0.8155929166666666,1.6895831713949518,0.1844070833333334,0.0,0.2996424999999999
W1_distinction_only,100,23,0.9513881227014376,1.2804346294103055,0.0486118772985625,0.0,0.4206582246740219
W1_distinction_only,100,26,0.951719375834446,1.279003778101374,0.048280624165554,0.0,0.419342456608812
W1_distinction_only,100,24,0.9514810643977312,1.280021418036084,0.0485189356022688,0.0,0.4250041708375043
W1_distinction_only,100,25,0.9515934157754012,1.27955236093832,0.0484065842245988,0.0,0.427191260026738
W1_distinction_only,100,29,0.9514575676578684,1.28010159430626,0.0485424323421316,0.0,0.4249093718676912
W1_distinction_only,100,28,0.951821005670447,1.2785687132767316,0.0481789943295529,0.0,0.4273119579719813
W2_asymmetry_only,50,7,0.8155064188062688,1.6897637500178706,0.1844935811937311,0.0,0.3021365455151718
W1_distinction_only,100,27,0.9517802587646076,1.2787392781843705,0.0482197412353925,0.0,0.4241686143572618
W2_asymmetry_only,50,6,0.8149824649298597,1.6908923890420149,0.1850175350701403,0.0,0.2954968269873079
W2_asymmetry_only,50,8,0.8154069379586388,1.6899803358194156,0.1845930620413611,0.0,0.2981871247498329
W2_asymmetry_only,50,10,0.8154172229639519,1.6899556758123355,0.184582777036048,0.0,0.2942414886515353
W2_asymmetry_only,50,11,0.8153338068181819,1.690131155447678,0.1846661931818181,0.0,0.2918683155080215
W2_asymmetry_only,50,9,0.8148843133979286,1.6910924914312238,0.1851156866020714,0.0,0.2958302706314734
W2_asymmetry_only,50,12,0.8147247247247249,1.691438575952484,0.1852752752752751,0.0,0.2941257924591259
W2_asymmetry_only,50,13,0.8152421509686039,1.6903297555986505,0.1847578490313961,0.0,0.2900534402137608
W2_asymmetry_only,50,14,0.8147581857667892,1.6913514360538842,0.1852418142332108,0.0,0.2950451052455729
W2_asymmetry_only,50,16,0.8151027397260274,1.6906360722022955,0.1848972602739725,0.0,0.2946984630805211
W2_asymmetry_only,50,15,0.8150810223855663,1.6906713791217347,0.1849189776144336,0.0,0.2951344804543936
W2_asymmetry_only,50,17,0.8147099999999999,1.6914748208984702,0.18529,0.0,0.2956375
W2_asymmetry_only,50,19,0.8158292988313858,1.6890681749204826,0.1841707011686142,0.0,0.2948130217028382
W2_asymmetry_only,50,18,0.8148266789174741,1.6912306757666713,0.1851733210825259,0.0,0.2955713331105913
W2_asymmetry_only,50,20,0.8151622073578595,1.6905031686410177,0.1848377926421405,0.0,0.2945735785953176
W2_asymmetry_only,50,21,0.8153368113522538,1.6901330186147874,0.1846631886477462,0.0,0.2966936560934892
W2_asymmetry_only,50,22,0.815252921535893,1.6903036256026078,0.1847470784641069,0.0,0.2982771285475791
W2_asymmetry_only,50,24,0.8151736806947228,1.6904639012677058,0.1848263193052771,0.0,0.2969388777555111
W2_asymmetry_only,50,26,0.815357023690357,1.6900841245616918,0.184642976309643,0.0,0.2924299299299299
W2_asymmetry_only,50,25,0.8149220313542362,1.6910291120790522,0.1850779686457637,0.0,0.296704469646431
W2_asymmetry_only,50,23,0.8150542752171007,1.6907334440322148,0.1849457247828992,0.0,0.2961230794923178
W2_asymmetry_only,50,28,0.8153716216216216,1.690044388884084,0.1846283783783784,0.0,0.2991099432766099
W2_asymmetry_only,50,27,0.8149691563854619,1.690908842520772,0.1850308436145381,0.0,0.295160053351117
W2_asymmetry_only,50,29,0.8153028028028028,1.6902000293831505,0.1846971971971972,0.0,0.2947589255922589
W2_asymmetry_only,100,1,0.8150720912738215,1.6906928751041934,0.1849279087261784,0.0,0.2939050484787696
W2_asymmetry_only,100,0,0.8151852238556632,1.6904593068012914,0.1848147761443368,0.0,0.2954694286668894
W2_asymmetry_only,100,2,0.8149929048414023,1.690860120445043,0.1850070951585977,0.0,0.2940909849749581
W2_asymmetry_only,100,3,0.8152444017379681,1.6903285958895808,0.1847555982620319,0.0,0.2963561163101605
W2_asymmetry_only,100,4,0.8152096545393858,1.6904016680559562,0.1847903454606142,0.0,0.296656792389853
W2_asymmetry_only,100,5,0.8153869147157189,1.690024112263225,0.1846130852842811,0.0,0.2977700668896318
W2_asymmetry_only,100,6,0.8155407326865172,1.6896823639690128,0.1844592673134828,0.0,0.2946135831381732
W2_asymmetry_only,100,7,0.8149176421404681,1.69102164910367,0.1850823578595318,0.0,0.2979979096989965
W2_asymmetry_only,100,8,0.8151223644578315,1.6905893436030124,0.1848776355421685,0.0,0.2958329149933066
W2_asymmetry_only,100,9,0.81517612687813,1.6904686706942815,0.1848238731218699,0.0,0.2945471619365607
W2_asymmetry_only,100,11,0.8152277861445784,1.6903571949161742,0.1847722138554216,0.0,0.2940951305220883
W2_asymmetry_only,100,12,0.8151662345265974,1.690498003155709,0.1848337654734025,0.0,0.2937148711943793
W2_asymmetry_only,100,13,0.8152208096353296,1.6903782244671512,0.1847791903646704,0.0,0.2941171796587487
W2_asymmetry_only,100,14,0.815015870364183,1.690816173969231,0.184984129635817,0.0,0.2940561309722685
W2_asymmetry_only,100,15,0.8150866895053476,1.690658905041292,0.1849133104946524,0.0,0.2965921624331551
W2_asymmetry_only,100,10,0.8150233879051119,1.690792716420613,0.1849766120948881,0.0,0.2958110591379885
W2_asymmetry_only,100,16,0.8153431331549013,1.6901121983067562,0.1846568668450987,0.0,0.2976844262295081
W2_asymmetry_only,100,17,0.8151050718582888,1.6906141347842862,0.1848949281417111,0.0,0.2938076537433155
W2_asymmetry_only,100,18,0.815289460455764,1.6902265188889427,0.184710539544236,0.0,0.296504691689008
W2_asymmetry_only,100,19,0.8152494554289546,1.6903199026937763,0.1847505445710454,0.0,0.2943829591152817
W2_asymmetry_only,100,20,0.8151627256016042,1.6904995333716712,0.1848372743983958,0.0,0.2944735962566843
W3_relation_only,50,0,0.6010896353814991,1.969605062325369,0.3989103646185009,0.0,0.0636926063470627
W3_relation_only,50,2,0.6029117498314227,1.9684599057313337,0.3970882501685773,0.0,0.061900708024275
W2_asymmetry_only,100,21,0.8151819435160427,1.6904593274879804,0.1848180564839573,0.0,0.2963118315508021
W3_relation_only,50,4,0.6029730639730639,1.9685160557996595,0.397026936026936,0.0,0.0580732323232322
W3_relation_only,50,3,0.602486904359581,1.9686967633881007,0.397513095640419,0.0,0.0673065224738087
W3_relation_only,50,1,0.6031037672384797,1.9684491678158065,0.3968962327615203,0.0,0.0587336024217961
W2_asymmetry_only,100,22,0.8149567885771541,1.6909463860905956,0.1850432114228458,0.0,0.2964633433533732
W3_relation_only,50,5,0.6030715488215489,1.9684834104658735,0.3969284511784511,0.0,0.0677693602693603
W2_asymmetry_only,100,23,0.8150035511363636,1.690838010644105,0.1849964488636364,0.0,0.2931220755347592
W2_asymmetry_only,100,24,0.8154680183946488,1.6898402741198535,0.1845319816053512,0.0,0.2970468227424748
W2_asymmetry_only,100,26,0.8151161965954608,1.690606949374564,0.1848838034045392,0.0,0.2921224132176235
W2_asymmetry_only,100,25,0.8154145749665328,1.689963253381134,0.1845854250334672,0.0,0.2986286813922356
W2_asymmetry_only,100,27,0.8149995819397994,1.690846917764966,0.1850004180602006,0.0,0.2958988294314382
W2_asymmetry_only,100,29,0.8151063607489134,1.6906178585526943,0.1848936392510866,0.0,0.2967849381477766
W2_asymmetry_only,100,28,0.8149107142857143,1.6910448990991158,0.1850892857142857,0.0,0.298270324523252
W3_relation_only,50,6,0.6031504543924605,1.968383263117336,0.3968495456075395,0.0,0.058382699427802
W3_relation_only,50,7,0.6026434219380888,1.9685817097270275,0.3973565780619111,0.0,0.0632637954239569
W3_relation_only,50,8,0.6034049544994944,1.9681584332059816,0.3965950455005056,0.0,0.0709024266936299
W3_relation_only,50,9,0.6029635539133356,1.968436625887093,0.3970364460866644,0.0,0.070395532415183
W3_relation_only,50,10,0.6030704868154158,1.9684080546562517,0.3969295131845842,0.0,0.05887677484787
W3_relation_only,50,13,0.6033582152496626,1.9682248272915217,0.3966417847503374,0.0,0.0622646761133602
W3_relation_only,50,11,0.6028430134680134,1.9684273221939772,0.3971569865319866,0.0,0.0650244107744106
W3_relation_only,50,12,0.6023919804976462,1.968867643461232,0.3976080195023538,0.0,0.0675218560860793
W3_relation_only,50,14,0.602223998653652,1.969004945421204,0.397776001346348,0.0,0.061189835072366
W3_relation_only,50,16,0.6021668353576248,1.9689182358722723,0.3978331646423751,0.0,0.071282894736842
W3_relation_only,50,17,0.6018406176172798,1.9692529728123915,0.3981593823827202,0.0,0.0659205197435032
W3_relation_only,50,15,0.6033958052560647,1.9682029043433231,0.3966041947439352,0.0,0.0662154649595687
W3_relation_only,50,18,0.6043240053944707,1.9676994511125143,0.3956759946055292,0.0,0.0567152730950776
W3_relation_only,50,19,0.6025669191919192,1.968633932356992,0.3974330808080808,0.0,0.0558577441077441
W3_relation_only,50,20,0.6017792338709678,1.969110002000488,0.3982207661290322,0.0,0.0648042674731183
W3_relation_only,50,21,0.6015992398648649,1.9692590937443697,0.3984007601351351,0.0,0.0653420608108108
W3_relation_only,50,23,0.6028446675666554,1.968554894546136,0.3971553324333445,0.0,0.0636559230509619
W3_relation_only,50,22,0.6047816925151719,1.967285136080807,0.3952183074848281,0.0,0.0640879973027646
W3_relation_only,50,24,0.6028898347943358,1.9685447672547256,0.3971101652056642,0.0,0.0607560687795009
W3_relation_only,50,25,0.6040862794612795,1.9677628934731013,0.3959137205387205,0.0,0.0678131313131313
W3_relation_only,50,26,0.6021981021162244,1.9690157732909188,0.3978018978837756,0.0,0.0586698018139066
W3_relation_only,50,27,0.6032159167794316,1.968372995585607,0.3967840832205683,0.0,0.0653628213802435
W3_relation_only,50,28,0.6034496287546406,1.9682017734772823,0.3965503712453594,0.0,0.063886263921701
W3_relation_only,50,29,0.6028378492090206,1.968629243270647,0.3971621507909794,0.0,0.0703954897340963
W3_relation_only,100,1,0.6063858974358974,1.9666920062680484,0.3936141025641025,0.0,0.0614679487179485
W3_relation_only,100,2,0.6047024821489289,1.9677570112032103,0.3952975178510711,0.0,0.0615840700442025
W3_relation_only,100,0,0.6051944870483981,1.967460294453557,0.3948055129516019,0.0,0.0654405248807089
W3_relation_only,100,3,0.6050006381892444,1.9675611267613125,0.3949993618107555,0.0,0.066825221238938
W3_relation_only,100,5,0.6057190189328743,1.9670756074017417,0.3942809810671257,0.0,0.0679853700516349
W3_relation_only,100,4,0.6052375892553553,1.967416959597911,0.3947624107446447,0.0,0.0621799557973479
W3_relation_only,100,6,0.6052094733242135,1.9674325385985187,0.3947905266757865,0.0,0.0632156292749658
W3_relation_only,100,7,0.6050516405984359,1.967502549651827,0.3949483594015641,0.0,0.0653340700442026
W3_relation_only,100,8,0.6054764851485149,1.9672443635804515,0.394523514851485,0.0,0.0697571696824856
W3_relation_only,100,9,0.6052496149897331,1.9673808134056725,0.3947503850102669,0.0,0.0680556981519507
W3_relation_only,100,10,0.6061006731424677,1.966891080770876,0.3938993268575322,0.0,0.0639263803680982
W3_relation_only,100,11,0.6055825946130242,1.9672112879063608,0.3944174053869758,0.0,0.0625400613706101
W3_relation_only,100,12,0.6056118017711173,1.9671879296343917,0.3943881982288827,0.0,0.0693205040871937
W3_relation_only,100,13,0.6066344839371155,1.9665633040488897,0.3933655160628845,0.0,0.0644540328092959
W3_relation_only,100,14,0.6042616159890674,1.9679732979960036,0.3957383840109326,0.0,0.061027075503929
W3_relation_only,100,17,0.6067016142808337,1.966500084420964,0.3932983857191663,0.0,0.0666702254868466
W3_relation_only,100,15,0.6058539455665868,1.966974189756392,0.3941460544334132,0.0,0.0665221670660732
W3_relation_only,100,16,0.6056666809165527,1.967127424066428,0.3943333190834472,0.0,0.0703877393980849
W3_relation_only,100,19,0.6060204994885783,1.9669211954773944,0.3939795005114217,0.0,0.0624284009546539
W3_relation_only,100,18,0.6054931173050615,1.9672762814550864,0.3945068826949385,0.0,0.0621934849521202
W3_relation_only,100,21,0.606612444859179,1.9665124345326188,0.393387555140821,0.0,0.0708712249745504
W3_relation_only,100,20,0.6045566984019041,1.967800298390056,0.3954433015980959,0.0,0.0686428935736143
W3_relation_only,100,22,0.6058242320819113,1.96702312286238,0.3941757679180887,0.0,0.0661126279863482
W3_relation_only,100,23,0.6058986636023153,1.9670348304343408,0.3941013363976847,0.0,0.0626779026217227
W7_full_DAR,50,0,0.4250906052076003,3.810634834961683,0.5749093947923998,0.0,0.1244000703729767
W7_full_DAR,50,2,0.4252190585331453,3.810074543381493,0.5747809414668548,0.0,0.11693273977433
W7_full_DAR,50,1,0.4261330027835768,3.80946410868155,0.5738669972164232,0.0,0.1246920668058454
W7_full_DAR,50,3,0.4256531096275474,3.809212301557144,0.5743468903724526,0.0,0.1322355938158819
W7_full_DAR,50,4,0.4249865357887422,3.810845208380485,0.5750134642112578,0.0,0.1199552640722724
