world,T,p_viable,recoverable_alternative_count,lock_in_index,viable_slack_score,estimator_warning
W0_null_flat,50,0.0,0.0,1.0,0.0,LOW_VIABILITY
W0_null_flat,100,0.0,0.0,1.0,0.0,LOW_VIABILITY
W10_noise_rich_control,50,0.9952222222222222,2985.6666666666665,0.0003349344270378567,0.4822654095736783,
W10_noise_rich_control,100,0.9908333333333333,2972.5,0.00033641835800216,0.4818920541052316,
W11_collapse_attractor_control,50,8.888888888887999e-05,0.23333333333333334,1.0,0.1945625,LOW_VIABILITY
W11_collapse_attractor_control,100,0.0,0.0,1.0,0.0,LOW_VIABILITY
W12_stable_relation_weak_asymmetry,50,0.9075444444444444,2722.633333333333,0.00036730741018904,0.7504439679464511,
W12_stable_relation_weak_asymmetry,100,0.8141333333333333,2442.3333333333335,0.00043692522626746,0.740448513876321,
W13_stable_relation_strong_asymmetry,50,0.9496444444444445,2848.9333333333334,0.00035101263499644,0.6748688798935348,
W13_stable_relation_strong_asymmetry,100,0.8973,2691.9,0.0003714985471133633,0.6772859506593562,
W14_random_stepwise_relation_weak_asymmetry,50,0.8572777777777778,2571.8,0.00040175314286840664,0.6550821777288615,
W14_random_stepwise_relation_weak_asymmetry,100,0.7189333333333334,2156.766666666667,0.00047912641231758,0.6509694778084645,
W15_random_stepwise_relation_strong_asymmetry,50,0.9100222222222222,2730.0666666666666,0.0003663045805566967,0.6454952386957953,
W15_random_stepwise_relation_strong_asymmetry,100,0.8283444444444444,2485.0333333333333,0.00040245597483888,0.6456075713877457,
W16_fixed_but_permuted_relation,50,0.9495222222222223,2848.5666666666666,0.00035105907823142,0.6740256731243378,
W16_fixed_but_permuted_relation,100,0.8985333333333333,2695.6,0.0003709880874361267,0.6755837515209563,
W17_delayed_relation_memory,50,0.9749666666666668,2924.866666666667,0.0003532784275560033,0.6190372934057281,
W17_delayed_relation_memory,100,0.9488222222222222,2846.4666666666667,0.00035131750876719,0.6235632480541302,
W18_relation_lock_in,50,0.6675777777777778,310.6666666666667,0.010701784506505687,2.08027589594446,
W18_relation_lock_in,100,0.6585777777777777,169.83333333333334,0.011097102509068495,2.0436238133795133,
W1_distinction_only,50,0.9990222222222223,2931.133333333333,0.0008230083296198199,1.4910804531978719,
W1_distinction_only,100,0.9982444444444444,2928.4333333333334,0.00090158099723878,1.4536146521420694,
W2_asymmetry_only,50,0.9984555555555555,2929.3,0.0009014065209925765,1.3147425656728808,
W2_asymmetry_only,100,0.9969555555555555,2925.9333333333334,0.0009138609661176166,1.3150224803307649,
W3_relation_only,50,0.9891444444444445,2859.1,0.0010559397426927067,1.1107425109437565,
W3_relation_only,100,0.9770333333333333,2821.6666666666665,0.0010917215589218733,1.103982236276622,
W7_full_DAR,50,0.9495111111111111,2848.5333333333333,0.00035106800090215336,0.6745455729527237,
W7_full_DAR,100,0.8993777777777777,2698.133333333333,0.00037064257747875,0.6771053357940158,
W8_full_random_relation_control,50,0.9114333333333333,2734.266666666667,0.0003778339971074533,0.6446047485258685,
W8_full_random_relation_control,100,0.8312222222222222,2493.6666666666665,0.00040104961298244,0.6456355822491272,
W9_full_symmetric_control,50,0.9206888888888888,2762.0,0.00038611493246682333,0.8068793597957767,
W9_full_symmetric_control,100,0.8409888888888889,2522.866666666667,0.00043589736855159,0.7678316420712558,
