world,T,seed,closure_rate,lineage_recurrence_rate,recoverable_alternative_count,branching_after_closure,lock_in_index,closure_without_lock_in
W1_distinction_only,50,12,0.5390338446148716,0.1538461538461538,2924.0,0.9999967404900054,0.0006668889629876,0.5386726130787319
W1_distinction_only,50,16,0.5389504834944981,0.2692307692307692,2940.0,0.9999771607695528,0.0010003334444814,0.5383990563999657
W1_distinction_only,50,19,0.5373414552736983,0.1153846153846153,2931.0,0.9999999886988286,0.0010013351134846,0.5368033903400946
W1_distinction_only,50,24,0.5416041041041041,0.1538461538461538,2950.0,0.9999794404745702,0.001001001001001,0.5410508338766681
W1_distinction_only,50,18,0.5368616488651535,0.0,2917.0,0.9999998191812504,0.000667556742323,0.5365031662419097
W1_distinction_only,50,23,0.5375750250083361,0.0384615384615384,2933.0,0.9999931376041564,0.0006668889629876,0.5372128355649515
W1_distinction_only,50,27,0.5398998330550918,0.0,2933.0,0.9999956260342496,0.0006677796327212,0.5395369390164535
W1_distinction_only,50,20,0.5404362696029362,0.0384615384615384,2918.0,0.9999810153230564,0.0006673340006673,0.5400653649439014
W1_distinction_only,50,28,0.5367156208277704,0.0384615384615384,2933.0,0.9999189866644322,0.000667556742323,0.5363138805997987
W1_distinction_only,50,22,0.541965776293823,0.0769230769230769,2941.0,0.9999842381009084,0.0006677796327212,0.5415953258813524
W1_distinction_only,50,26,0.5363575717144763,0.0,2929.0,0.999992756820906,0.0010006671114076,0.5358169752860824
W1_distinction_only,50,21,0.542890520694259,0.0769230769230769,2925.0,0.9999739619445096,0.0010013351134846,0.5423327836942933
W1_distinction_only,50,25,0.5428136469803136,0.0384615384615384,2926.0,0.9999620078919018,0.0006673340006673,0.5424308001050896
W1_distinction_only,50,29,0.5407010670223408,0.0,2936.0,0.9999982844030793,0.0010003334444814,0.5401592589643803
W1_distinction_only,100,4,0.5057595993322204,0.0392156862745098,2946.0,0.999970200062874,0.0010016694490818,0.5052379388854941
W1_distinction_only,100,1,0.503567256341789,0.0,2935.0,0.9999597662002124,0.000667556742323,0.5032108497254165
W1_distinction_only,100,0,0.5008752917639213,0.1764705882352941,2929.0,0.9999877175993628,0.0010003334444814,0.5003681036610551
W1_distinction_only,100,2,0.5002709236412137,0.0784313725490196,2921.0,0.9999825507243508,0.0010003334444814,0.4997617652720238
W1_distinction_only,100,5,0.5075150300601202,0.0,2933.0,0.999994185941649,0.001002004008016,0.5070035502005081
W1_distinction_only,100,3,0.5045090180360722,0.0392156862745098,2933.0,0.9999774226565536,0.001002004008016,0.5039921189178479
W1_distinction_only,100,12,0.5066844919786097,0.0196078431372549,2941.0,0.9999596585502946,0.0010026737967914,0.5061560328233529
W1_distinction_only,100,6,0.5055300500834724,0.0,2926.0,0.9999784366778636,0.0010016694490818,0.5050127860884972
W1_distinction_only,100,9,0.5022769050802139,0.0784313725490196,2926.0,0.9999999383067744,0.0010026737967914,0.501773254232744
W1_distinction_only,100,10,0.4987888406281323,0.0784313725490196,2923.0,0.99999798687232,0.0010023387905111,0.4982878821057492
W1_distinction_only,100,8,0.5023565231898566,0.0196078431372549,2919.0,0.9999588895379116,0.001001001001001,0.5018330323712643
W1_distinction_only,100,13,0.5056135225375626,0.0392156862745098,2935.0,0.9999968586867964,0.0010016694490818,0.5051054782195019
W1_distinction_only,100,16,0.4966216216216216,0.0392156862745098,2934.0,0.9999624433317192,0.0006673340006673,0.4962715701212917
W1_distinction_only,100,11,0.5014607679465777,0.0196078431372549,2913.0,0.99991440261054,0.0010016694490818,0.5009155892781514
W1_distinction_only,100,7,0.5051527036048065,0.0588235294117647,2922.0,0.9999777880615164,0.0010013351134846,0.5046356672796393
W1_distinction_only,100,14,0.5041972936852657,0.0588235294117647,2928.0,0.999999592341796,0.0010023387905111,0.5036917118455918
W1_distinction_only,100,15,0.5024190857524191,0.0,2940.0,0.9999743394634386,0.001001001001001,0.5019032843065884
W1_distinction_only,100,17,0.5049682698730795,0.1372549019607843,2924.0,0.9999946876311234,0.001002004008016,0.5044596097529789
W2_asymmetry_only,50,0,0.5035058430717864,0.1153846153846153,2923.0,0.9999471939190951,0.0010016694490818,0.5029749351136198
W2_asymmetry_only,50,1,0.4975625,0.0384615384615384,2929.0,0.9999360345651356,0.0006666666666666,0.4971989860828497
W2_asymmetry_only,50,2,0.4996452420701168,0.1153846153846153,2931.0,0.9999698117914624,0.0010016694490818,0.4991296944095694
W1_distinction_only,100,19,0.4991232464929859,0.0588235294117647,2931.0,0.9998791639583076,0.001002004008016,0.4985628713550264
W2_asymmetry_only,50,4,0.4961146390374331,0.0,2936.0,0.9999987107371257,0.0006684491978609,0.4957823724102908
W1_distinction_only,100,18,0.5002714667557634,0.0,2929.0,0.9999982775177444,0.0006682258603407,0.4999363112915783
W1_distinction_only,100,21,0.4987053123955897,0.0784313725490196,2927.0,0.9998369305897156,0.0010023387905111,0.4981241986485236
