stratum,sampled_rule_count,stage2_candidates,control_adjusted_positives,non_emission_composition_positives,relation_positives,asymmetry_positives,stage2_candidate_rate,control_adjusted_positive_rate,non_emission_composition_positive_rate,relation_positive_rate,asymmetry_positive_rate
S1_random_unbiased,251,22,4,2,16,16,0.08764940239043825,0.01593625498007968,0.00796812749003984,0.06374501992031872,0.06374501992031872
S2_quiescent_preserving,251,22,0,3,16,15,0.08764940239043825,0.0,0.01195219123505976,0.06374501992031872,0.05976095617529881
S3_sparse_active_preserving,251,21,1,1,17,17,0.08366533864541832,0.00398406374501992,0.00398406374501992,0.06772908366533864,0.06772908366533864
S4_neighbor_dependent,251,26,4,2,21,19,0.10358565737051793,0.01593625498007968,0.00796812749003984,0.08366533864541832,0.07569721115537849
S5_asymmetric_neighbor_dependent,376,26,0,5,20,20,0.06914893617021277,0.0,0.013297872340425532,0.05319148936170213,0.05319148936170213
S6_relation_rich_nonchaotic_bias,375,8,0,3,8,8,0.021333333333333333,0.0,0.008,0.021333333333333333,0.021333333333333333
S7_symmetric_control,126,82,0,0,61,49,0.6507936507936508,0.0,0.0,0.48412698412698413,0.3888888888888889
S8_self_only_control,125,18,0,9,2,1,0.144,0.0,0.072,0.016,0.008
