space,rule_id,stratum,target_role,raw_persistence_score,adjusted_persistence,center_only_score,left_removed_score,right_removed_score,symmetrized_rule_score,symbol_phase_only_score,output_distribution_matched_score,stratum_null_persistence_q90,relation_load_bearing_adjusted,asymmetry_load_bearing_adjusted,local_phase_fakeout_rejected,future_distinct_descendant_count_raw,future_distinct_descendant_count_symbol_phase,composition_adjusted_delta,composition_emission_only_flag,interaction_outcome_diversity,matched_control_interaction_diversity,dominant_interaction_outcome,reclassification,recurrence_up_to_shift,motif_material_turnover,pattern_background_contrast,localized_component_lifetime_max,frozen_order_index,chaos_index,future_distinct_descendant_count,post_perturbation_survival_rate,active_fraction_mean,translation_velocity_estimate,period_estimate,collapse_rate,explosion_rate,classification,stage1_score,relation_asymmetry_priority,low_artifact_priority,active_fraction_mean_stage1,output_entropy,depends_center,relation_degree,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,activity_density,table_json,table_digest,q,radius,DAR_complete_structural,DAR_asymmetric_structural,dominant_active_neighborhood,dominant_active_neighborhood_count,mechanism_label,symbol_turnover_by_phase_proxy,phase_sequence_length,depends_center_numeric,control_adjusted_positive,adjusted_persistence_positive,relation_positive,asymmetry_positive,composition_positive,non_emission_composition_positive,post_perturbation_survival_above_baseline,pra_positive,all_core_invariants,motif_family,mechanism_label_g4
q3_radius1,q3g3_s1_00009,S1_random_unbiased,candidate,0.0805343950910261,-0.0051952641573195,0.0,0.0,0.0515176814181265,0.0923571589529779,0.0521819178635875,0.085557899464507,0.0857296592483457,0.0290167136728996,-0.0118227638619518,False,64.0,64.0,0.0,False,-0.0,-0.0,chaotic_explosion,symmetric_fakeout,0.6963755289713542,0.3599802652994792,1.0,388.5,0.0,0.3482698713970053,64.0,1.0,0.7996595753253939,-0.0179646809895833,0.0,0.0,0.9375,transported_identity,0.1679467235193719,0.6033641548658919,0.1086052822108308,0.7989065563632356,1.5448491887169091,True,2,0.5925925925925926,0.0253086820577744,0.0,0.7996595753253939,"[1,2,2,0,2,1,1,2,0,1,0,1,2,2,1,0,0,0,1,0,1,0,2,1,1,1,1]",71507aecce77,3,1,True,True,"(2, 2, 2)",1024,travelling,0.17041015625,17,1,False,False,True,False,False,False,False,False,False,local_phase_or_self_fakeout,travelling_identity
q3_radius1,q3g3_s1_00013,S1_random_unbiased,candidate,0.0003060151118177,-0.1399125523928559,0.0,0.0,0.0909328078965144,0.1630885176968763,0.0,0.0019687352979209,0.1402185675046736,-0.0906267927846966,-0.1627825025850585,True,62.0,58.0,-0.5,True,-0.0,1.0,emission,symmetric_fakeout,0.9997406005859376,0.0006052652994791,1.0,351.0,0.3495442708333333,0.0855477466651229,62.0,1.0,0.5338417236645396,1.0172526041666666e-05,0.0,0.0,0.0,transported_identity,0.169191595318428,0.5702383397769242,0.1544039091264637,0.5332066576768453,1.4558764720277595,True,2,0.3703703703703703,0.0814442162730427,0.0,0.5338417236645396,"[1,0,0,1,1,2,0,0,2,1,1,0,1,0,0,0,2,1,0,1,2,1,0,1,0,0,1]",8d1fe5c1badf,3,1,True,True,"(1, 1, 1)",620,travelling,0.123046875,5,1,False,False,False,False,False,False,False,False,False,symmetric_control_fakeout,emitter
q3_radius1,q3g3_s1_00018,S1_random_unbiased,candidate,0.0,-0.0895505728461368,0.0,0.0,0.0965602045117628,0.165975827149582,0.0,0.0753242848128214,0.0895505728461368,-0.0965602045117628,-0.165975827149582,False,63.0,1.0,-0.5,True,-0.0,1.0,emission,self_persistence_fakeout,1.0,0.0,1.0,381.0,0.35,0.0865707619663426,63.0,1.0,0.5343381151740934,0.0,0.0,0.0,0.0,transported_identity,0.1738730378612573,0.5988960192998863,0.1585991804643947,0.5344587392844115,1.5448491887169091,True,2,0.4444444444444444,0.0253086820577744,0.0,0.5343381151740934,"[1,0,0,1,1,1,2,1,0,1,1,1,1,0,2,1,0,1,2,2,2,0,1,2,0,2,0]",2a020a5f813b,3,1,True,True,"(1, 1, 1)",606,travelling,0.16259765625,6,1,False,False,False,False,False,False,False,False,False,regular_life_like_discovery,emitter
q3_radius1,q3g3_s1_00026,S1_random_unbiased,candidate,0.0497772178109978,-0.039773355035139,0.0,0.0,0.0511548535774518,0.0,0.0,0.0,0.0895505728461368,-0.0013776357664539,0.0497772178109978,False,64.0,64.0,0.5,False,-0.0,1.0,new_motif,generic_persistence,0.7295583089192708,0.4673055013020833,0.5377604166666667,375.5,0.0879557291666666,0.4024286366696105,64.0,1.0,0.6593587378389731,-0.0115000406901041,0.0,0.0,0.0,emitter_or_generator,0.1758691605519183,0.6187988982382311,0.1025663130526907,0.577960211015397,1.5448491887169091,True,2,0.5185185185185185,0.0253086820577744,0.0,0.6593587378389731,"[0,0,0,1,1,0,1,1,1,1,1,2,1,2,1,0,2,1,2,1,0,2,2,2,0,1,0]",327bdc4aa7db,3,1,True,True,"(1, 2, 2)",172,travelling,0.419189453125,17,1,False,False,False,True,True,True,False,False,False,composition_without_validation,interaction_product
q3_radius1,q3g3_s1_00030,S1_random_unbiased,candidate,0.1759616074194904,0.0049179248422566,0.0,0.1651249795145746,0.0,0.0013966086370229,0.0,0.1035756664276022,0.1710436825772338,0.0108366279049157,0.1745649987824675,True,64.0,61.0,0.0,False,0.9182958340544896,1.0,chaotic_explosion,control_adjusted_positive,0.6848246256510417,0.6873728434244792,1.0,513.0,0.0161458333333333,0.613473831315513,64.0,1.0,0.6873771662523097,-0.0027872721354166,3.4375,0.0,0.171875,emitter_or_generator,0.1892840315247547,0.6519783308074885,0.0819024098978557,0.7243156878400869,1.540709585192697,True,2,0.4444444444444444,0.0279204810891892,0.0,0.6873771662523097,"[2,0,1,1,0,0,2,2,2,1,0,0,0,1,0,0,1,0,2,0,2,2,2,0,2,1,2]",cea7d0621608,3,1,True,True,"(2, 2, 2)",950,travelling,0.4423828125,17,1,True,True,True,True,False,False,False,True,False,validation_weak_persistence,travelling_identity
q3_radius1,q3g3_s1_00043,S1_random_unbiased,candidate,0.1681750966947809,0.0352693342319883,0.0,0.1126664204515006,0.0,0.0,0.0,9.7374346935208e-06,0.1329057624627925,0.0555086762432802,0.1681750966947809,True,64.0,1.0,0.0,True,-0.0,0.9182958340544896,emission,emission_only,0.5044047037760416,0.5428314208984375,1.0,493.5,0.0004557291666666,0.3763644640895697,64.0,1.0,0.691944372661707,0.0002390543619791,0.0,0.0,0.0,emitter_or_generator,0.1882829746703991,0.6485302460869304,0.1328545848857428,0.7376998129521827,1.486565953154142,True,2,0.4444444444444444,0.0620813095087383,0.0,0.691944372661707,"[1,0,2,0,1,0,0,1,2,0,0,2,2,1,1,0,1,1,0,2,1,0,0,0,0,0,1]",5ac992866659,3,1,True,True,"(1, 1, 1)",1028,travelling,0.16162109375,17,1,False,True,True,True,False,False,False,True,False,near_validation_pra,emitter
q3_radius1,q3g3_s1_00045,S1_random_unbiased,candidate,0.0085715791603055,-0.1015976110445941,0.0,0.0,0.0,0.0,0.0,0.0859210703383808,0.1101691902048997,0.0085715791603055,0.0085715791603055,False,64.0,64.0,0.0,False,-0.0,-0.0,chaotic_explosion,output_distribution_fakeout,0.9834187825520831,0.0230255126953125,0.984375,324.0,0.3094401041666667,0.1864245196194,64.0,1.0,0.8899383445774447,0.00067138671875,0.0,0.0,1.0,transported_identity,0.17169458532956,0.6041105780114151,0.1393609216949267,0.8864628832627828,1.5790132072799712,True,2,0.5185185185185185,0.003753586244771,0.0,0.8899383445774447,"[1,1,2,0,1,2,2,0,2,2,2,2,1,1,2,1,0,0,1,0,2,0,0,1,0,0,0]",a57d7b41245b,3,1,False,False,"(1, 1, 1)",922,travelling,0.079833984375,4,1,False,False,True,True,False,False,False,False,False,local_phase_or_self_fakeout,travelling_identity
q3_radius1,q3g3_s1_00105,S1_random_unbiased,candidate,0.0098597510904259,-0.1919202584193142,0.0,0.0,0.0,0.0226960781752669,0.0,0.1320707826073844,0.2017800095097401,0.0098597510904259,-0.012836327084841,True,64.0,62.0,-0.5,False,-0.0,1.0,chaotic_explosion,symmetric_fakeout,0.9686787923177084,0.0323435465494791,1.0,387.0,0.3067057291666666,0.2106767554498575,64.0,1.0,0.9124336664052348,-6.103515625e-05,0.0,0.0,1.0,transported_identity,0.1718018404655747,0.5790358326802703,0.1358874254066802,0.910896627819492,1.517528789399,True,2,0.3703703703703703,0.0425459348668967,0.0,0.9124336664052348,"[2,0,2,1,2,2,0,1,0,0,2,1,2,1,2,2,2,0,2,0,2,1,1,2,0,2,1]",f24312d6838d,3,1,True,True,"(1, 1, 1)",909,travelling,0.146240234375,12,1,False,False,True,False,False,False,False,False,False,regular_life_like_discovery,travelling_identity
q3_radius1,q3g3_s1_00108,S1_random_unbiased,candidate,0.1881187349806266,0.130251258332268,0.0,0.0078640263974331,0.068860750797516,0.0,0.0,0.0578674766483584,0.0090939701036215,0.1192579841831105,0.1881187349806266,True,60.0,1.0,0.0,False,1.0,1.0,collapse,control_adjusted_positive,0.706146240234375,0.3864288330078125,0.8723958333333333,452.0,0.0446614583333333,0.1772911640547921,60.0,0.9375,0.4848766859821719,-0.0074513753255208,0.25,0.0625,0.0,transported_identity,0.1680880324754019,0.5665189242689471,0.1372338475791983,0.4850245078713977,1.5061046842206038,True,2,0.3703703703703703,0.0497537427318766,0.0,0.4848766859821719,"[2,2,0,0,2,0,0,2,1,1,0,0,1,2,1,2,2,0,2,0,2,0,1,2,0,2,0]",6115159ea575,3,1,True,True,"(2, 2, 2)",174,travelling,0.1251220703125,17,1,True,True,True,True,False,False,False,True,False,validation_strong_persistence,travelling_identity
q3_radius1,q3g3_s1_00110,S1_random_unbiased,candidate,0.1339977890645631,-0.0402006225956742,0.0,0.0,0.0008828784521598,0.0,0.0,0.089946145138972,0.1741984116602374,0.1331149106124032,0.1339977890645631,True,64.0,63.0,0.0,True,-0.0,-0.0,emission,generic_persistence,0.6520640055338542,0.3996124267578125,1.0,516.0,0.0560546875,0.2740240485492078,64.0,1.0,0.3776903852694525,0.0038299560546875,1.375,0.0,0.0,localized_persistence,0.1686662349578085,0.5934552711478447,0.0986831378257334,0.3823394478527024,1.5610150105933092,True,2,0.5185185185185185,0.0151091840450173,0.0,0.3776903852694525,"[0,1,0,1,2,2,2,2,2,0,1,1,0,2,0,0,1,1,1,2,2,2,1,1,0,1,1]",40f26e7b5f15,3,1,False,False,"(0, 1, 2)",167,travelling,0.138916015625,17,1,False,False,True,True,False,False,False,False,False,fragile_or_inconclusive,emitter
