space,parent_rule_id,rule_id,control_type,ic_family,raw_persistence_score
q3_radius1,q3g3_s1_00013,q3g3_s1_00013_center_only_projection,center_only_projection,periodic_background_perturbation,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_right_symmetrized_rule,left_right_symmetrized_rule,random_uniform,0.1697893395647047
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_right_symmetrized_rule,left_right_symmetrized_rule,sparse_active_010,0.135659279057792
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_right_symmetrized_rule,left_right_symmetrized_rule,sparse_active_025,0.1635329711632159
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_right_symmetrized_rule,left_right_symmetrized_rule,single_active_1,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_right_symmetrized_rule,left_right_symmetrized_rule,single_active_2,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_right_symmetrized_rule,left_right_symmetrized_rule,two_cell_active,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_right_symmetrized_rule,left_right_symmetrized_rule,short_random_active_block,0.1337266534229529
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_left_right_symmetrized_rule,left_right_symmetrized_rule,periodic_background_perturbation,0.1361490284151581
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_symbol_phase_only,symbol_phase_only,random_uniform,0.1293361766470803
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_symbol_phase_only,symbol_phase_only,sparse_active_010,0.0848007135921054
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_symbol_phase_only,symbol_phase_only,sparse_active_025,0.1390543679396311
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_symbol_phase_only,symbol_phase_only,single_active_1,0.003875732421875
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_symbol_phase_only,symbol_phase_only,single_active_2,0.0
q3_radius1,q3g3_s1_00009,q3g3_s1_00009_symbol_phase_only,symbol_phase_only,two_cell_active,0.0115814208984375
