rule_id,best_birth_condition,best_ic_persistence,worst_death_condition,worst_ic_persistence,motif_family,dominant_interaction_outcome,collapse_rate,explosion_rate,death_mode_proxy
q3g3_s4_00050,periodic_background_perturbation,0.1144255167792919,single_active_1,0.0,symmetric_control_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s4_00054,short_random_active_block,0.1503855127054737,two_cell_active,0.1398045133169083,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s4_00058,random_uniform,0.0026891125557465,sparse_active_010,0.0,local_phase_or_self_fakeout,chaotic_explosion,0.0,1.0,explosion
q3g3_s4_00068,periodic_background_perturbation,0.2738997149140268,two_cell_active,0.0099212043991924,validation_weak_persistence,pass_through,0.0,0.0,weak_or_unclear
q3g3_s4_00069,single_active_2,0.2693521122422697,sparse_active_010,0.1510666884639215,near_validation_pra,emission,0.0,0.0,weak_or_unclear
q3g3_s4_00081,random_uniform,0.1658890096073299,single_active_1,0.0,fragile_or_inconclusive,pass_through,0.0,0.0,loss_of_persistence
q3g3_s4_00100,random_uniform,0.1665518476591382,single_active_1,0.0,fragile_or_inconclusive,pass_through,0.0,0.0,loss_of_persistence
q3g3_s4_00104,random_uniform,0.1924402364595429,single_active_1,0.0,near_validation_pra,emission,0.0,0.0,loss_of_persistence
q3g3_s4_00127,two_cell_active,0.1906244801312235,single_active_2,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s4_00147,single_active_1,0.3540824152455268,single_active_2,0.0050349259078253,validation_composition_overlap,pass_through,0.0,0.0,weak_or_unclear
q3g3_s4_00148,sparse_active_010,0.2087117054644082,single_active_1,0.0050359100884056,local_phase_or_self_fakeout,chaotic_explosion,0.0,1.0,explosion
q3g3_s4_00153,short_random_active_block,0.185832334240159,periodic_background_perturbation,0.035262770214894,near_validation_pra,emission,0.0,0.0,weak_or_unclear
q3g3_s4_00158,random_uniform,0.0,random_uniform,0.0,regular_life_like_discovery,emission,0.0,0.0,loss_of_persistence
q3g3_s4_00162,periodic_background_perturbation,0.1188033918947076,single_active_1,0.0,local_phase_or_self_fakeout,chaotic_explosion,0.0,0.796875,explosion
q3g3_s4_00182,single_active_1,0.2280265332977357,two_cell_active,0.1792012438975484,near_validation_pra,emission,0.0,0.0,weak_or_unclear
q3g3_s4_00210,single_active_2,0.171478363288978,single_active_1,0.0,fragile_or_inconclusive,emission,0.0,0.0,loss_of_persistence
q3g3_s4_00223,sparse_active_025,0.1128668549612884,single_active_1,0.0,fragile_or_inconclusive,emission,0.0,0.109375,loss_of_persistence
q3g3_s4_00224,sparse_active_025,0.0561943413093464,single_active_1,0.0,regular_life_like_discovery,emission,0.0,0.0,loss_of_persistence
q3g3_s4_00232,two_cell_active,0.1705197108123251,single_active_2,0.0098971854656652,chaotic_discovery,emission,0.0,0.0,weak_or_unclear
q3g3_s4_00239,sparse_active_025,0.0021538569502617,random_uniform,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s5_00015,single_active_2,0.0942266783534139,two_cell_active,0.0,fragile_or_inconclusive,emission,0.0,0.0,loss_of_persistence
q3g3_s5_00020,two_cell_active,0.3028237694986307,random_uniform,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s5_00060,sparse_active_010,0.2567830522011711,single_active_1,0.0,fragile_or_inconclusive,chaotic_explosion,0.0,0.96875,explosion
q3g3_s5_00065,single_active_1,0.3332966465745828,sparse_active_025,0.167543987420317,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
q3g3_s5_00075,single_active_1,0.3649961339432459,single_active_2,0.0099728816411934,near_validation_pra,emission,0.0,0.0,weak_or_unclear
q3g3_s5_00078,periodic_background_perturbation,0.2638382706189532,single_active_1,0.0,near_validation_pra,emission,0.0,0.171875,loss_of_persistence
q3g3_s5_00090,single_active_2,0.3516552264437007,single_active_1,0.0,local_phase_or_self_fakeout,emission,0.0,0.0,loss_of_persistence
q3g3_s5_00114,two_cell_active,0.2121078915284127,single_active_2,0.1173940290740954,near_validation_pra,emission,0.0,0.171875,weak_or_unclear
q3g3_s5_00115,random_uniform,0.0,random_uniform,0.0,regular_life_like_discovery,emission,0.0,0.453125,loss_of_persistence
q3g3_s5_00126,short_random_active_block,0.0246604918388124,single_active_1,0.0,composition_without_validation,chaotic_explosion,0.0,0.03125,loss_of_persistence
q3g3_s5_00143,two_cell_active,0.2687702302847184,sparse_active_025,0.0937512625715202,local_phase_or_self_fakeout,emission,0.0,0.0,weak_or_unclear
