axis,bin,sampled_rule_count,stage2_candidate_rate,raw_persistence_positive_rate,control_adjusted_positive_rate,relation_adjusted_positive_rate,asymmetry_adjusted_positive_rate,local_phase_rejection_rate,composition_adjusted_positive_rate,non_emission_composition_positive_rate,control_leak_rate
active_fraction_mean,"(-0.011, 0.25]",591,0.05752961082910321,0.015228426395939087,0.0,0.03722504230118443,0.03553299492385787,0.025380710659898477,0.0,0.0,0.0338409475465313
active_fraction_mean,"(0.25, 0.5]",529,0.15311909262759923,0.04725897920604915,0.007561436672967864,0.10775047258979206,0.09640831758034027,0.06049149338374291,0.02835538752362949,0.02835538752362949,0.06049149338374291
active_fraction_mean,"(0.5, 0.75]",675,0.13185185185185186,0.047407407407407405,0.007407407407407408,0.09925925925925926,0.09185185185185185,0.06666666666666667,0.014814814814814815,0.014814814814814815,0.05185185185185185
active_fraction_mean,"(0.75, 1.01]",211,0.0995260663507109,0.03317535545023697,0.0,0.07109004739336493,0.052132701421800945,0.03317535545023697,0.0,0.0,0.04739336492890995
chaos_index,"(-0.011, 0.15]",458,0.08296943231441048,0.017467248908296942,0.006550218340611353,0.05458515283842795,0.048034934497816595,0.03056768558951965,0.013100436681222707,0.013100436681222707,0.043668122270742356
chaos_index,"(0.15, 0.35]",588,0.18197278911564627,0.05272108843537415,0.00510204081632653,0.12244897959183673,0.11394557823129252,0.08163265306122448,0.025510204081632654,0.025510204081632654,0.05102040816326531
chaos_index,"(0.35, 0.6]",510,0.14313725490196078,0.06666666666666667,0.0058823529411764705,0.11960784313725491,0.1,0.06666666666666667,0.00784313725490196,0.00784313725490196,0.0784313725490196
chaos_index,"(0.6, 1.01]",450,0.015555555555555555,0.0,0.0,0.006666666666666667,0.011111111111111112,0.006666666666666667,0.0,0.0,0.015555555555555555
classification,chaotic,372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,collapse,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,emitter_or_generator,649,0.20955315870570107,0.07395993836671803,0.0061633281972265025,0.14946070878274267,0.1325115562403698,0.08936825885978428,0.02157164869029276,0.02157164869029276,0.09861325115562404
classification,frozen_order,391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,global_periodic,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
