motif_family,rule_count,control_adjusted_positive_count,adjusted_persistence,relation_load_bearing_adjusted,asymmetry_load_bearing_adjusted,composition_adjusted_delta,non_emission_composition_positive_count,local_phase_fakeout_rejected_count,future_distinct_descendant_count,pattern_background_contrast,motif_material_turnover,control_adjusted_positive_rate
validation_strong_persistence,3,3,0.0907192786905911,0.09858920176480927,0.12532405698446494,-0.16666666666666666,0,3,62.666666666666664,0.9574652777777777,0.4531690809461806,1.0
validation_weak_persistence,3,3,0.019908141020461567,0.04950036362952193,0.1193988936795594,-0.16666666666666666,0,3,63.666666666666664,1.0,0.4119737413194445,1.0
validation_new_motif_overlap,2,2,0.011376413165186349,0.04752748813669405,0.15406071842281144,0.6666666666666666,2,2,64.0,1.0,0.40926361083984375,1.0
validation_composition_overlap,1,1,0.0453779337003753,0.1639058148564598,0.1645399804468983,0.5,1,1,64.0,1.0,0.2871042887369792,1.0
local_phase_or_self_fakeout,81,0,-0.019654078622591248,0.07011857902142765,0.038142273487251334,-0.1625514403292181,0,0,62.617283950617285,0.9338670267489713,0.32233394418724276,0.0
fragile_or_inconclusive,48,0,-0.06473309614897119,0.04511635059078778,0.025202407026653884,-0.16319444444444445,0,38,62.75,0.892822265625,0.2014316982693142,0.0
regular_life_like_discovery,27,0,-0.13362714161012695,-0.016835502220956314,-0.021888785892822046,-0.18518518518518517,0,11,61.25925925925926,0.9540895061728395,0.0048728283540702,0.0
near_validation_pra,25,0,0.05898139876715427,0.12415426188203522,0.11830660056450569,-0.18,0,25,63.84,0.9928125,0.5036966959635416,0.0
composition_without_validation,22,0,-0.07811341593135022,0.01905324041030983,0.028696496507026267,0.893939393939394,22,3,63.90909090909091,0.914654356060606,0.12253801750414298,0.0
chaotic_discovery,8,0,-0.021669858783109962,0.040949554269167465,0.003198043415579143,-0.1875,0,8,64.0,0.9527994791666667,0.5018507639567057,0.0
symmetric_control_fakeout,5,0,-0.08861753150227321,-0.056176361852158,-0.08551886615080477,-0.2,0,5,63.4,1.0,0.10554097493489581,0.0
