H_cond_mean,H_recovery_mean,H_weighted_mean,Pi_mean,candidate_C,p_viable_mean,rows
4.542106830970981,4.539597948588236,1.8397563239314234,0.8653490921976764,identity,0.3666537747807953,3150
0.0,0.0,0.0,0.8656998329731221,all_one,0.3666628586810221,3150
4.398065829761633,4.395522512945514,1.7680473407285486,0.8653518179486902,random_k,0.36665385868102207,3150
4.547590523676767,4.545043928178191,1.839818173609709,0.86546151202102,hash_k34_s1206,0.36665905369236,3150
3.9194199949894806,3.9204857817349295,1.5166943646901823,0.8659811743977982,trap_mixing_adversarial,0.36664410584655494,3150
4.521573771461591,4.519113975250101,1.826196258714293,0.8657172487163429,best_of_10_hashes_per_world,0.366671493601657,3150
3.7124077574438497,3.710952086982078,1.4446194455777495,0.8657376190633901,viability_signature,0.36663642330687246,3150
2.754171269470196,2.7553068913696923,1.030155269975606,0.8654310098681214,behavioral_quotient_k5,0.3666748337377114,3150
2.7224174332458064,2.7243219539607764,1.016878031578664,0.8654124393984822,predictive_quotient_k5,0.36667442784201987,3150
3.4184257441391996,3.4170449976653656,1.3189872148543336,0.8654274733512541,predictive_quotient_k8,0.36667471809145297,3150
