H_cond_ci_high,H_cond_ci_low,H_cond_mean,H_cond_rel_ci_width,H_cond_std,H_recovery_ci_high,H_recovery_ci_low,H_recovery_mean,H_recovery_rel_ci_width,H_recovery_std,H_weighted_ci_high,H_weighted_ci_low,H_weighted_mean,H_weighted_rel_ci_width,H_weighted_std,N_eff_cond_mean,N_eff_recovery_mean,Pi_ci_high,Pi_ci_low,Pi_mean,Pi_rel_ci_width,Pi_std,adaptive_idx,candidate_C,condition,estimator_mode,family,horizon_T,mc_repeats,mc_samples,num_viable_macro_classes_mean,p_viable_ci_high,p_viable_ci_low,p_viable_mean,p_viable_rel_ci_width,p_viable_std,pair_id,start_state,wide_ci,world_id,world_seed
2.5829133439909846,2.5829133439909846,2.5829133439909846,,0.0,2.5829133439909846,2.5829133439909846,2.5829133439909846,,0.0,2.5829133439909846,2.5829133439909846,2.5829133439909846,,0.0,13.235642023079864,13.235642023079864,1.0,1.0,1.0,,0.0,,identity,hidden_fake,exact,B,2,0,0,16,1.0,1.0,1.0,,0.0,0,start,0,B_10000_hidden_fake,10000
3.5865195600102533,3.5865195600102533,3.5865195600102533,,0.0,3.5865195600102533,3.5865195600102533,3.5865195600102533,,0.0,1.8649901712053318,1.8649901712053318,1.8649901712053318,,0.0,36.10818460530635,36.10818460530635,1.0,1.0,1.0,,0.0,,identity,hidden_fake,exact,B,3,0,0,54,0.52,0.52,0.52,,0.0,0,start,0,B_10000_hidden_fake,10000
4.871132699348168,4.871132699348168,4.871132699348168,,0.0,4.871132699348168,4.871132699348168,4.871132699348168,,0.0,1.2386770526787465,1.2386770526787465,1.2386770526787465,,0.0,130.46861494703143,130.46861494703143,1.0,1.0,1.0,,0.0,,identity,hidden_fake,exact,B,4,0,0,186,0.254289326350009,0.254289326350009,0.254289326350009,,0.0,0,start,0,B_10000_hidden_fake,10000
6.112580807111112,6.080199476390575,6.0963901417508435,0.005311558146315842,0.021855343930580803,6.112580807111112,6.080199476390575,6.0963901417508435,0.005311558146315842,0.021855343930580803,2.0003120023048364,1.937315148353424,1.9688135753291303,0.03199736874065438,0.04251887983033007,444.3431882915788,444.3431882915788,1.0,1.0,1.0,0.0,0.0,,identity,hidden_fake,monte_carlo,B,5,7,5000,570.2857142857143,0.3278461893431743,0.31803952494254,0.32294285714285714,0.03036656233054936,0.0066188763252929845,0,start,0,B_10000_hidden_fake,10000
6.725179153902101,6.692766588414575,6.708972871158338,0.004831226196615971,0.02187642541673152,6.725179153902101,6.692766588414575,6.708972871158338,0.004831226196615971,0.02187642541673152,1.6766995488073435,1.6028499015371505,1.639774725172247,0.04503645905533497,0.049843826807849725,819.8959841126126,819.8959841126126,1.0,1.0,1.0,0.0,0.0,,identity,hidden_fake,monte_carlo,B,6,7,5000,907.1428571428571,0.24943605771743466,0.2393639422825653,0.24439999999999998,0.0412116016156684,0.006798038932908036,0,start,0,B_10000_hidden_fake,10000
6.707649902281162,6.6629014815205405,6.685275691900851,0.006693578967107301,0.030202345126399043,6.707649902281162,6.6629014815205405,6.685275691900851,0.006693578967107301,0.030202345126399043,1.1203899489034352,1.070309211482789,1.0953495801931121,0.0457212366957925,0.03380132058412158,800.844638080667,800.844638080667,1.0,1.0,1.0,0.0,0.0,,identity,hidden_fake,monte_carlo,B,8,7,5000,806.0,0.16703201291131048,0.1606251299458324,0.16382857142857143,0.03910723819179161,0.004324239542283431,0,start,0,B_10000_hidden_fake,10000
6.388042050569279,6.349950959601335,6.368996505085307,0.005980705270842937,0.02570906986436747,6.388042050569279,6.349950959601335,6.368996505085307,0.005980705270842937,0.02570906986436747,0.7614275847739511,0.7275989651330501,0.7445132749535006,0.04543722829255638,0.022832172134290625,583.6373271351205,583.6373271351205,1.0,1.0,1.0,0.0,0.0,,identity,hidden_fake,monte_carlo,B,10,7,5000,583.8571428571429,0.11919193543729538,0.1145794931341332,0.11688571428571429,0.03946112945751074,0.003113105936428852,0,start,0,B_10000_hidden_fake,10000
3.1271423438230324,3.1271423438230324,3.1271423438230324,,0.0,3.1271423438230324,3.1271423438230324,3.1271423438230324,,0.0,3.1271423438230324,3.1271423438230324,3.1271423438230324,,0.0,22.808706881340235,22.808706881340235,1.0,1.0,1.0,,0.0,,identity,hidden_fake,exact,B,2,0,0,25,1.0,1.0,1.0,,0.0,0,alt,0,B_10000_hidden_fake,10000
4.3664903049934845,4.3664903049934845,4.3664903049934845,,0.0,4.3664903049934845,4.3664903049934845,4.3664903049934845,,0.0,3.5193538121559467,3.5193538121559467,3.5193538121559467,,0.0,78.76669891916039,78.76669891916039,1.0,1.0,1.0,,0.0,,identity,hidden_fake,exact,B,3,0,0,113,0.8059914407988588,0.8059914407988588,0.8059914407988588,,0.0,0,alt,0,B_10000_hidden_fake,10000
5.9330130645490025,5.9330130645490025,5.9330130645490025,,0.0,5.9330130645490025,5.9330130645490025,5.9330130645490025,,0.0,3.3660639205465483,3.3660639205465483,3.3660639205465483,,0.0,377.2896008417714,377.2896008417714,1.0,1.0,1.0,,0.0,,identity,hidden_fake,exact,B,4,0,0,467,0.567344767982981,0.567344767982981,0.567344767982981,,0.0,0,alt,0,B_10000_hidden_fake,10000
7.172030040471433,7.154597082730613,7.163313561601023,0.002433644372943394,0.011766140509822946,7.172030040471433,7.154597082730613,7.163313561601023,0.002433644372943394,0.011766140509822946,4.187928288125085,4.099468402091623,4.143698345108354,0.021348051587270853,0.059704811084096025,1291.2588831708142,1291.2588831708142,1.0,1.0,1.0,0.0,0.0,,identity,hidden_fake,monte_carlo,B,5,7,5000,1513.142857142857,0.5843462912958676,0.5725679944184182,0.5784571428571429,0.020361572197507036,0.007949603164698857,0,alt,0,B_10000_hidden_fake,10000
7.567331373330088,7.548402364292947,7.557866868811518,0.002504543856845866,0.01277588022376758,7.567331373330088,7.548402364292947,7.557866868811518,0.002504543856845866,0.01277588022376758,3.602198965422911,3.5471602370477466,3.574679601235329,0.01539682839159744,0.037147649938244605,1915.8889892426746,1915.8889892426746,1.0,1.0,1.0,0.0,0.0,,identity,hidden_fake,monte_carlo,B,6,7,5000,2024.4285714285713,0.4762804868463259,0.4696623702965312,0.47297142857142854,0.013992634966945458,0.004466808810815731,0,alt,0,B_10000_hidden_fake,10000
7.4028482238863935,7.373157632033567,7.38800292795998,0.004018757456153999,0.020039265898189017,7.4028482238863935,7.373157632033567,7.38800292795998,0.004018757456153999,0.020039265898189017,2.4477123671030707,2.3661108870631393,2.406911627083105,0.033902981364888264,0.05507582214297434,1616.7538114284473,1616.7538114284473,1.0,1.0,1.0,0.0,0.0,,identity,hidden_fake,monte_carlo,B,8,7,5000,1620.142857142857,0.3306378468299291,0.3209050103129281,0.3257714285714286,0.029876274170762475,0.00656904718755932,0,alt,0,B_10000_hidden_fake,10000
7.043967418950037,7.012715022908172,7.0283412209291045,0.004446624752480799,0.021093384643283693,7.043967418950037,7.012715022908172,7.0283412209291045,0.004446624752480799,0.021093384643283693,1.614904109676202,1.5580625441378664,1.5864833269070342,0.03582865610642908,0.038364450649493814,1128.3735084895288,1128.3735084895288,1.0,1.0,1.0,0.0,0.0,,identity,hidden_fake,monte_carlo,B,10,7,5000,1128.4285714285713,0.22925145897363658,0.22217711245493488,0.22571428571428573,0.03134204153855184,0.004774735096117405,0,alt,0,B_10000_hidden_fake,10000
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,,all_one,hidden_fake,exact,B,2,0,0,1,1.0,1.0,1.0,,0.0,0,start,0,B_10000_hidden_fake,10000
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,,all_one,hidden_fake,exact,B,3,0,0,1,0.52,0.52,0.52,,0.0,0,start,0,B_10000_hidden_fake,10000
