candidate_C,compression_ratio,condition,family,label_entropy,macro_recoverability_mixing_rate,macro_viability_mixing_rate,mean_fiber_size,num_macro_labels,num_micro_states,pair_id,singleton_fraction,trap_mixing_rate,world_id,world_seed
behavioral_quotient_k5,0.008818342151675485,irreversible,A,1.0620335057959198,0.4,0.4,113.4,5,567,2,0.0,0.2,A_2_irreversible,2
predictive_quotient_k5,0.008818342151675485,irreversible,A,1.056030779787112,0.4,0.4,113.4,5,567,2,0.0,0.2,A_2_irreversible,2
predictive_quotient_k8,0.014109347442680775,irreversible,A,1.5847381716262672,0.5,0.375,70.875,8,567,2,0.0,0.375,A_2_irreversible,2
identity,1.0,irreversible,A,6.340359303727763,0.0,0.0,1.0,567,567,7,1.0,0.0,A_7_irreversible,7
all_one,0.001763668430335097,irreversible,A,0.0,1.0,1.0,567.0,1,567,7,0.0,1.0,A_7_irreversible,7
random_k,0.02292768959435626,irreversible,A,2.5518823706874976,1.0,1.0,43.61538461538461,13,567,7,0.0,1.0,A_7_irreversible,7
hash_k34_s1206,0.059964726631393295,irreversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,7,0.0,1.0,A_7_irreversible,7
trap_mixing_adversarial,0.007054673721340388,irreversible,A,0.9232763374623556,1.0,1.0,141.75,4,567,7,0.0,0.5,A_7_irreversible,7
best_of_10_hashes_per_world,0.003527336860670194,irreversible,A,0.6921748258823891,1.0,1.0,283.5,2,567,7,0.0,1.0,A_7_irreversible,7
viability_signature,0.024691358024691357,irreversible,A,2.009784049314763,0.0,0.14285714285714285,40.5,14,567,7,0.0,0.21428571428571427,A_7_irreversible,7
behavioral_quotient_k5,0.008818342151675485,irreversible,A,1.158031734059572,0.4,0.4,113.4,5,567,7,0.0,0.2,A_7_irreversible,7
predictive_quotient_k5,0.008818342151675485,irreversible,A,1.1620981617180104,0.2,0.2,113.4,5,567,7,0.0,0.2,A_7_irreversible,7
predictive_quotient_k8,0.014109347442680775,irreversible,A,1.6564997967176809,0.125,0.125,70.875,8,567,7,0.0,0.25,A_7_irreversible,7
identity,1.0,irreversible,A,6.340359303727763,0.0,0.0,1.0,567,567,4,1.0,0.0,A_4_irreversible,4
all_one,0.001763668430335097,irreversible,A,0.0,1.0,1.0,567.0,1,567,4,0.0,1.0,A_4_irreversible,4
random_k,0.02292768959435626,irreversible,A,2.557922267740941,1.0,1.0,43.61538461538461,13,567,4,0.0,1.0,A_4_irreversible,4
hash_k34_s1206,0.059964726631393295,irreversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,4,0.0,1.0,A_4_irreversible,4
trap_mixing_adversarial,0.007054673721340388,irreversible,A,0.9232763374623556,1.0,1.0,141.75,4,567,4,0.0,0.5,A_4_irreversible,4
best_of_10_hashes_per_world,0.003527336860670194,irreversible,A,0.6931331831261411,1.0,1.0,283.5,2,567,4,0.0,1.0,A_4_irreversible,4
viability_signature,0.024691358024691357,irreversible,A,1.8420583590332182,0.0,0.14285714285714285,40.5,14,567,4,0.0,0.21428571428571427,A_4_irreversible,4
behavioral_quotient_k5,0.008818342151675485,irreversible,A,1.1539284757342134,0.2,0.4,113.4,5,567,4,0.0,0.2,A_4_irreversible,4
predictive_quotient_k5,0.008818342151675485,irreversible,A,1.1314070943515764,0.6,0.4,113.4,5,567,4,0.0,0.2,A_4_irreversible,4
predictive_quotient_k8,0.014109347442680775,irreversible,A,1.6280303458061638,0.375,0.375,70.875,8,567,4,0.0,0.25,A_4_irreversible,4
identity,1.0,irreversible,A,6.340359303727763,0.0,0.0,1.0,567,567,8,1.0,0.0,A_8_irreversible,8
all_one,0.001763668430335097,irreversible,A,0.0,1.0,1.0,567.0,1,567,8,0.0,1.0,A_8_irreversible,8
random_k,0.02292768959435626,irreversible,A,2.5521292355599585,1.0,1.0,43.61538461538461,13,567,8,0.0,1.0,A_8_irreversible,8
hash_k34_s1206,0.059964726631393295,irreversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,8,0.0,1.0,A_8_irreversible,8
trap_mixing_adversarial,0.007054673721340388,irreversible,A,0.9232763374623556,1.0,1.0,141.75,4,567,8,0.0,0.5,A_8_irreversible,8
best_of_10_hashes_per_world,0.003527336860670194,irreversible,A,0.6929589819103094,1.0,1.0,283.5,2,567,8,0.0,1.0,A_8_irreversible,8
