H_cond_rel_ci_width,H_recovery_rel_ci_width,H_weighted_rel_ci_width,candidate_C,horizon_T,mc_repeats,mc_samples,p_viable_rel_ci_width,start_state,wide_ci,world_id
0.056773545089622936,0.05746429573466929,0.2414463585798267,identity,8,7,5000,0.18902160370356266,start,0,A_2_reversible
0.1486774945342085,0.14883787614208668,0.5228722798408082,identity,10,7,5000,0.3793548387096775,start,0,A_2_reversible
0.0,0.0,0.0,all_one,8,7,5000,0.1723245009011256,start,0,A_2_reversible
0.0,0.0,0.0,all_one,10,7,5000,0.34702770691052753,start,0,A_2_reversible
0.056773545089622936,0.05746429573466929,0.2414463585798267,random_k,8,7,5000,0.18902160370356266,start,0,A_2_reversible
0.1486774945342085,0.14883787614208668,0.5228722798408082,random_k,10,7,5000,0.3793548387096775,start,0,A_2_reversible
0.04646203022898754,0.04579014418924812,0.18842045394129406,hash_k34_s1206,8,7,5000,0.1469706445553593,start,0,A_2_reversible
0.1673453655293804,0.16745258378470046,0.5982340379209707,hash_k34_s1206,10,7,5000,0.42631251578051427,start,0,A_2_reversible
0.06406057774666397,0.06556288471442168,0.3168981153459586,trap_mixing_adversarial,8,7,5000,0.24788669753501252,start,0,A_2_reversible
0.16781383656157264,0.1675642711043554,0.5392247745066264,trap_mixing_adversarial,10,7,5000,0.39601238705321884,start,0,A_2_reversible
0.13654607921691925,0.1378377894979405,0.5246754222910587,best_of_10_hashes_per_world,8,7,5000,0.41809444263582723,start,0,A_2_reversible
0.16290842912699488,0.16390170279547706,0.6089416821905288,best_of_10_hashes_per_world,10,7,5000,0.4426564573152308,start,0,A_2_reversible
0.07390264885575822,0.07168648600283983,0.281376495526504,viability_signature,8,7,5000,0.2208669785690523,start,0,A_2_reversible
0.10254836772308651,0.10428532752925333,0.3597380505458687,viability_signature,10,7,10000,0.2784133804383356,start,0,A_2_reversible
0.04980998928584055,0.05012488446401603,0.2638479072589832,behavioral_quotient_k5,8,7,5000,0.2272250649072166,start,0,A_2_reversible
0.14607990346555255,0.1450611978161121,0.48967020205050465,behavioral_quotient_k5,10,7,5000,0.334353992936517,start,0,A_2_reversible
0.06591811936237227,0.057151256567277924,0.27331503651943234,predictive_quotient_k5,8,7,5000,0.2272250649072166,start,0,A_2_reversible
0.12668426952267467,0.12502169574763258,0.46454891214371796,predictive_quotient_k5,10,7,5000,0.334353992936517,start,0,A_2_reversible
0.05159819764397751,0.05079727230914002,0.27196793808226644,predictive_quotient_k8,8,7,5000,0.2272250649072166,start,0,A_2_reversible
0.12997521563241343,0.12891750468858623,0.4735026716631179,predictive_quotient_k8,10,7,5000,0.334353992936517,start,0,A_2_reversible
0.04834599844540134,0.04843321320575771,0.1992228874578442,identity,8,7,5000,0.15275860782664386,start,0,A_1_reversible
0.12060864393787551,0.1203704763632286,0.3609197322510351,identity,10,7,5000,0.2744548964694899,start,0,A_1_reversible
0.0,0.0,0.0,all_one,8,7,5000,0.22627779474513185,start,0,A_1_reversible
0.0,0.0,0.0,all_one,10,7,5000,0.39823986274851275,start,0,A_1_reversible
0.04909360828225428,0.049248421080652555,0.19973435700333836,random_k,8,7,5000,0.15275860782664386,start,0,A_1_reversible
0.12060864393787551,0.1203704763632286,0.3609197322510351,random_k,10,7,5000,0.2744548964694899,start,0,A_1_reversible
0.0493412638325094,0.0481995977154073,0.2157696342091649,hash_k34_s1206,8,7,5000,0.1659742632024953,start,0,A_1_reversible
0.17369690807585275,0.1738162099832873,0.6326010732076603,hash_k34_s1206,10,7,5000,0.45958893930027056,start,0,A_1_reversible
0.0725176289264223,0.07264940129426825,0.305176035585585,trap_mixing_adversarial,8,7,5000,0.2392166168811448,start,0,A_1_reversible
0.09140599015589222,0.09192214765290732,0.36432452403176346,trap_mixing_adversarial,10,7,10000,0.2798227954016147,start,0,A_1_reversible
0.06014281437777251,0.059968229877296594,0.2639862443463578,best_of_10_hashes_per_world,8,7,5000,0.20721527452002994,start,0,A_1_reversible
0.11379696772503967,0.11388320147799554,0.515447324401472,best_of_10_hashes_per_world,10,7,10000,0.38717399667811325,start,0,A_1_reversible
0.10325212346476104,0.09952764171325154,0.37679962581586096,viability_signature,8,7,5000,0.31487106912228424,start,0,A_1_reversible
0.19992964582189243,0.1996412250519318,0.7093795431231633,viability_signature,10,7,5000,0.5306844836078947,start,0,A_1_reversible
0.0929730057524626,0.09192792415244123,0.2888195721192205,behavioral_quotient_k5,8,7,5000,0.22754598777434557,start,0,A_1_reversible
0.1255307479946944,0.12584779422250128,0.4070261321042007,behavioral_quotient_k5,10,7,5000,0.28587885520269934,start,0,A_1_reversible
0.08659454004815033,0.08282863602249521,0.28699774792526017,predictive_quotient_k5,8,7,5000,0.22754598777434557,start,0,A_1_reversible
0.13230940193744237,0.13224937574095375,0.41481402997241484,predictive_quotient_k5,10,7,5000,0.28587885520269934,start,0,A_1_reversible
0.0745394771335904,0.07577433885685673,0.2790010734478386,predictive_quotient_k8,8,7,5000,0.22754598777434557,start,0,A_1_reversible
0.1255307479946944,0.12584779422250128,0.4070261321042007,predictive_quotient_k8,10,7,5000,0.28587885520269934,start,0,A_1_reversible
0.0,0.0,0.0,identity,6,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,identity,8,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,identity,10,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,all_one,6,7,5000,3.919999999999999,start,0,A_1_irreversible
0.0,0.0,0.0,all_one,8,7,5000,3.919999999999999,start,0,A_1_irreversible
0.0,0.0,0.0,all_one,10,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,random_k,6,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,random_k,8,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,random_k,10,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,hash_k34_s1206,6,7,5000,3.919999999999999,start,0,A_1_irreversible
0.0,0.0,0.0,hash_k34_s1206,8,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,hash_k34_s1206,10,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,trap_mixing_adversarial,6,7,5000,3.919999999999999,start,0,A_1_irreversible
0.0,0.0,0.0,trap_mixing_adversarial,8,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,trap_mixing_adversarial,10,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,best_of_10_hashes_per_world,6,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,best_of_10_hashes_per_world,8,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,best_of_10_hashes_per_world,10,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,viability_signature,6,7,5000,3.919999999999999,start,0,A_1_irreversible
0.0,0.0,0.0,viability_signature,8,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,viability_signature,10,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,behavioral_quotient_k5,6,7,5000,2.5303491195221786,start,0,A_1_irreversible
0.0,0.0,0.0,behavioral_quotient_k5,8,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,behavioral_quotient_k5,10,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,predictive_quotient_k5,6,7,5000,2.5303491195221786,start,0,A_1_irreversible
0.0,0.0,0.0,predictive_quotient_k5,8,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,predictive_quotient_k5,10,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,predictive_quotient_k8,6,7,5000,2.5303491195221786,start,0,A_1_irreversible
0.0,0.0,0.0,predictive_quotient_k8,8,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,predictive_quotient_k8,10,7,5000,0.0,start,0,A_1_irreversible
0.0,0.0,0.0,identity,6,7,5000,2.5303491195221786,start,0,A_2_irreversible
0.0,0.0,0.0,identity,8,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,identity,10,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,all_one,6,7,5000,1.8479057215008439,start,0,A_2_irreversible
0.0,0.0,0.0,all_one,8,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,all_one,10,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,random_k,6,7,5000,2.5303491195221786,start,0,A_2_irreversible
0.0,0.0,0.0,random_k,8,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,random_k,10,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,hash_k34_s1206,6,7,5000,3.919999999999999,start,0,A_2_irreversible
0.0,0.0,0.0,hash_k34_s1206,8,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,hash_k34_s1206,10,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,trap_mixing_adversarial,6,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,trap_mixing_adversarial,8,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,trap_mixing_adversarial,10,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,best_of_10_hashes_per_world,6,7,5000,2.7200435726357464,start,0,A_2_irreversible
0.0,0.0,0.0,best_of_10_hashes_per_world,8,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,best_of_10_hashes_per_world,10,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,viability_signature,6,7,5000,3.919999999999999,start,0,A_2_irreversible
0.0,0.0,0.0,viability_signature,8,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,viability_signature,10,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,behavioral_quotient_k5,6,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,behavioral_quotient_k5,8,7,5000,3.919999999999999,start,0,A_2_irreversible
0.0,0.0,0.0,behavioral_quotient_k5,10,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,predictive_quotient_k5,6,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,predictive_quotient_k5,8,7,5000,3.919999999999999,start,0,A_2_irreversible
0.0,0.0,0.0,predictive_quotient_k5,10,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,predictive_quotient_k8,6,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,predictive_quotient_k8,8,7,5000,3.919999999999999,start,0,A_2_irreversible
0.0,0.0,0.0,predictive_quotient_k8,10,7,5000,0.0,start,0,A_2_irreversible
0.0,0.0,0.0,identity,6,7,5000,0.0,start,0,A_7_irreversible
0.0,0.0,0.0,identity,8,7,5000,0.0,start,0,A_7_irreversible
0.0,0.0,0.0,identity,10,7,5000,0.0,start,0,A_7_irreversible
0.0,0.0,0.0,all_one,6,7,5000,3.919999999999999,start,0,A_7_irreversible
0.0,0.0,0.0,all_one,8,7,5000,0.0,start,0,A_7_irreversible
0.0,0.0,0.0,all_one,10,7,5000,0.0,start,0,A_7_irreversible
