H_cond_mean,H_recovery_mean,H_weighted_mean,Pi_mean,candidate_C,condition,family,horizon_T,p_viable_mean,rows
1.7309856169634035,1.7309856169634035,0.3939773759054288,1.0,identity,reversible,A,2,0.22666666666666666,75
2.899838249403397,2.8917725966239134,0.4278667838898474,0.9235,identity,reversible,A,3,0.14666666666666667,75
3.8532043183019042,3.8403886823036917,0.2955190409790767,0.8818799042371025,identity,reversible,A,4,0.07626666666666666,75
4.650757417776888,4.6353042791542745,0.15905368650272467,0.8638166006323326,identity,reversible,A,5,0.03398826666666666,75
5.36275506177073,5.346021770455937,0.07617635209970836,0.8608499839121241,identity,reversible,A,6,0.014053546666666668,75
2.700342345713816,2.68554279378946,0.007499663655688913,0.8816643332848548,identity,reversible,A,8,0.0025823809523809523,75
1.7818789081086095,1.7763293575217525,0.0017551816930655231,0.8573686443646985,identity,reversible,A,10,0.0007123809523809524,75
0.0,0.0,0.0,1.0,all_one,reversible,A,2,0.22666666666666666,75
0.0,0.0,0.0,0.9235,all_one,reversible,A,3,0.14666666666666667,75
0.0,0.0,0.0,0.8818799042371025,all_one,reversible,A,4,0.07626666666666666,75
0.0,0.0,0.0,0.8638166006323326,all_one,reversible,A,5,0.03398826666666666,75
0.0,0.0,0.0,0.8608499839121241,all_one,reversible,A,6,0.014053546666666668,75
0.0,0.0,0.0,0.8811075392486815,all_one,reversible,A,8,0.0026036190476190478,75
0.0,0.0,0.0,0.8705120568818048,all_one,reversible,A,10,0.0007282857142857143,75
1.6226614766595011,1.6226614766595011,0.36892262375894386,1.0,random_k,reversible,A,2,0.22666666666666666,75
2.7165713036017314,2.7081882911772026,0.4005594226345586,0.9235,random_k,reversible,A,3,0.14666666666666667,75
3.6132346207936203,3.5993062039046473,0.27699087137635575,0.8818799042371025,random_k,reversible,A,4,0.07626666666666666,75
4.370820387560001,4.354132371255808,0.14943266036753447,0.8638166006323326,random_k,reversible,A,5,0.03398826666666666,75
5.053095379150812,5.035590563771102,0.07177300007321348,0.8608499839121241,random_k,reversible,A,6,0.014053546666666668,75
2.709081438327169,2.694428131102193,0.0075029040351455595,0.8822265152465948,random_k,reversible,A,8,0.0025854285714285714,75
1.781638857136987,1.7761074616656307,0.001755049665031131,0.8573686443646985,random_k,reversible,A,10,0.0007123809523809524,75
1.7309856169634035,1.7309856169634035,0.3939773759054288,1.0,hash_k34_s1206,reversible,A,2,0.22666666666666666,75
2.899838249403397,2.8917725966239134,0.4278667838898474,0.9235,hash_k34_s1206,reversible,A,3,0.14666666666666667,75
