I_cost_constrained,I_unconstrained,candidate,candidate_category,cost_sustainment_ratio,family,pair_id,unsustainable_branch_penalty,variant,world_seed
3.7306271352504474,3.5913184387716184,identity,DIAGNOSTIC_ONLY,1.038790404931755,C,5,0.0,budget,205
0.0,0.0,all_one,DIAGNOSTIC_ONLY,0.0,C,5,0.0,budget,205
3.6165335132282292,3.5157255123836095,random_k,ADVERSARIAL,1.028673456016273,C,5,0.0,budget,205
3.7306271352504474,3.5913184387716184,hash_k34_s1206,ADVERSARIAL,1.038790404931755,C,5,0.0,budget,205
2.0857120533875912,2.1462346180592737,best_of_10_hashes_per_world,ADAPTIVE_HASH,0.9718005831410874,C,5,0.06052256467168249,budget,205
2.0890366789035872,2.133139711765415,checkerboard,ADVERSARIAL,0.9793248268650311,C,5,0.04410303286182771,budget,205
2.244506161438449,2.2635378776682176,trap_mixing_adversarial,ADVERSARIAL,0.9915920487050237,C,5,0.019031716229768403,budget,205
2.41328479492336,2.509966290893088,viability_signature,THEORY_INFORMED,0.9614809584015062,C,5,0.09668149596972819,budget,205
2.179343525117389,2.1512188422708274,behavioral_quotient_k5,THEORY_INFORMED,1.0130738362336362,C,5,0.0,budget,205
2.599117826967169,2.6456501998175814,behavioral_quotient_k8,THEORY_INFORMED,0.9824117440568595,C,5,0.04653237285041234,budget,205
2.9736374512178756,2.9141700718734636,behavioral_quotient_k13,THEORY_INFORMED,1.02040628305066,C,5,0.0,budget,205
3.0348950729594746,3.0306071063152986,behavioral_quotient_k21,THEORY_INFORMED,1.0014148870156216,C,5,0.0,budget,205
2.072195155183663,2.2072658003866876,predictive_quotient_k5,THEORY_INFORMED,0.9388063525564697,C,5,0.1350706452030246,budget,205
2.0610575337183397,2.193317184786913,predictive_quotient_k8,THEORY_INFORMED,0.939698803262045,C,5,0.13225965106857318,budget,205
2.8595853375615734,2.8444762206811247,predictive_quotient_k13,THEORY_INFORMED,1.00531173956407,C,5,0.0,budget,205
