candidate,early_mean,irreversibility_sensitivity,late_mean,norm_irrev_sensitivity,pair_id,start_name
predictive_quotient_k8,0.9405788919858745,-0.8088816942803453,1.7494605862662198,-0.8599828267169884,6,near_trap
predictive_quotient_k13,1.451810219324058,-0.7856386656087868,2.237448884932845,-0.5411441903023446,6,near_trap
predictive_quotient_k21,1.503762164881445,-0.8347483952456485,2.3385105601270935,-0.5551066616385173,6,near_trap
identity,2.4924080436106038,-1.1805941818098686,3.6730022254204724,-0.4736761241147384,8,near_trap
all_one,0.0,0.0,0.0,0.0,8,near_trap
random_k,2.38800296990797,-1.1460068851465661,3.5340098550545362,-0.4799017838703657,8,near_trap
hash_k34_s1206,2.4924080436106038,-1.1805941818098686,3.6730022254204724,-0.4736761241147384,8,near_trap
best_of_10_hashes_per_world,0.7991260755399309,-0.6065639771844559,1.4056900527243867,-0.7590341446118247,8,near_trap
checkerboard,0.8366515952718037,-0.7779676965570852,1.6146192918288889,-0.9298586185141334,8,near_trap
trap_mixing_adversarial,1.3089758187251017,-0.7889799436449043,2.097955762370006,-0.6027460036758694,8,near_trap
viability_signature,1.4670552642629768,-1.4581730063992298,2.9252282706622066,-0.9939455192451735,8,near_trap
behavioral_quotient_k5,0.5345856391731164,-1.1914564657887117,1.7260421049618282,-2.228747610264328,8,near_trap
behavioral_quotient_k8,0.830975621456908,-0.713724514658119,1.544700136115027,-0.8588994625459427,8,near_trap
behavioral_quotient_k13,1.374639962581616,-0.8535549775844338,2.2281949401660497,-0.6209298440454412,8,near_trap
behavioral_quotient_k21,2.216848579825442,-1.2182540980502936,3.4351026778757356,-0.5495432160487121,8,near_trap
predictive_quotient_k5,0.5259276219548454,-1.126391512831868,1.6523191347867134,-2.1417234345766625,8,near_trap
predictive_quotient_k8,1.0011981182735712,-1.1877984142412508,2.188996532514822,-1.1863769942850533,8,near_trap
predictive_quotient_k13,1.3301272523746317,-0.7991100919959393,2.129237344370571,-0.6007771741909015,8,near_trap
predictive_quotient_k21,1.6265652164033204,-0.7719693820657882,2.3985345984691087,-0.474600940854235,8,near_trap
identity,0.0,0.0,0.0,0.0,0,near_trap
all_one,0.0,0.0,0.0,0.0,0,near_trap
random_k,0.0,0.0,0.0,0.0,0,near_trap
hash_k34_s1206,0.0,0.0,0.0,0.0,0,near_trap
best_of_10_hashes_per_world,0.0,0.0,0.0,0.0,0,near_trap
checkerboard,0.0,0.0,0.0,0.0,0,near_trap
trap_mixing_adversarial,0.0,0.0,0.0,0.0,0,near_trap
viability_signature,0.0,0.0,0.0,0.0,0,near_trap
behavioral_quotient_k5,0.0,0.0,0.0,0.0,0,near_trap
behavioral_quotient_k8,0.0,0.0,0.0,0.0,0,near_trap
behavioral_quotient_k13,0.0,0.0,0.0,0.0,0,near_trap
behavioral_quotient_k21,0.0,0.0,0.0,0.0,0,near_trap
predictive_quotient_k5,0.0,0.0,0.0,0.0,0,near_trap
predictive_quotient_k8,0.0,0.0,0.0,0.0,0,near_trap
predictive_quotient_k13,0.0,0.0,0.0,0.0,0,near_trap
predictive_quotient_k21,0.0,0.0,0.0,0.0,0,near_trap
identity,0.0,0.0,0.0,0.0,2,near_trap
all_one,0.0,0.0,0.0,0.0,2,near_trap
random_k,0.0,0.0,0.0,0.0,2,near_trap
hash_k34_s1206,0.0,0.0,0.0,0.0,2,near_trap
best_of_10_hashes_per_world,0.0,0.0,0.0,0.0,2,near_trap
checkerboard,0.0,0.0,0.0,0.0,2,near_trap
trap_mixing_adversarial,0.0,0.0,0.0,0.0,2,near_trap
viability_signature,0.0,0.0,0.0,0.0,2,near_trap
behavioral_quotient_k5,0.0,0.0,0.0,0.0,2,near_trap
behavioral_quotient_k8,0.0,0.0,0.0,0.0,2,near_trap
behavioral_quotient_k13,0.0,0.0,0.0,0.0,2,near_trap
behavioral_quotient_k21,0.0,0.0,0.0,0.0,2,near_trap
predictive_quotient_k5,0.0,0.0,0.0,0.0,2,near_trap
predictive_quotient_k8,0.0,0.0,0.0,0.0,2,near_trap
predictive_quotient_k13,0.0,0.0,0.0,0.0,2,near_trap
predictive_quotient_k21,0.0,0.0,0.0,0.0,2,near_trap
identity,0.0,0.0,0.0,0.0,4,near_trap
all_one,0.0,0.0,0.0,0.0,4,near_trap
random_k,0.0,0.0,0.0,0.0,4,near_trap
hash_k34_s1206,0.0,0.0,0.0,0.0,4,near_trap
best_of_10_hashes_per_world,0.0,0.0,0.0,0.0,4,near_trap
checkerboard,0.0,0.0,0.0,0.0,4,near_trap
trap_mixing_adversarial,0.0,0.0,0.0,0.0,4,near_trap
viability_signature,0.0,0.0,0.0,0.0,4,near_trap
behavioral_quotient_k5,0.0,0.0,0.0,0.0,4,near_trap
behavioral_quotient_k8,0.0,0.0,0.0,0.0,4,near_trap
behavioral_quotient_k13,0.0,0.0,0.0,0.0,4,near_trap
behavioral_quotient_k21,0.0,0.0,0.0,0.0,4,near_trap
predictive_quotient_k5,0.0,0.0,0.0,0.0,4,near_trap
predictive_quotient_k8,0.0,0.0,0.0,0.0,4,near_trap
predictive_quotient_k13,0.0,0.0,0.0,0.0,4,near_trap
predictive_quotient_k21,0.0,0.0,0.0,0.0,4,near_trap
identity,2.2027174894857917,-0.9926477970149401,3.195365286500732,-0.45064689491645454,11,near_trap
all_one,0.0,0.0,0.0,0.0,11,near_trap
random_k,1.966810618096275,-1.0970941819136868,3.063904800009962,-0.5578036704802781,11,near_trap
hash_k34_s1206,2.2027174894857917,-0.9926477970149401,3.195365286500732,-0.45064689491645454,11,near_trap
best_of_10_hashes_per_world,0.47137641296951116,-0.3972312776571504,0.8686076906266615,-0.8427050372646531,11,near_trap
checkerboard,0.8443433845971866,-0.6206238676195599,1.4649672522167465,-0.7350372833389851,11,near_trap
trap_mixing_adversarial,1.0587048983559515,-0.5962505563928202,1.6549554547487717,-0.563188625384401,11,near_trap
viability_signature,1.2617678462646935,-1.2480569878112526,2.509824834075946,-0.989133612420042,11,near_trap
behavioral_quotient_k5,1.323734015310546,-0.8769673618127427,2.2007013771232886,-0.6624951475670946,11,near_trap
behavioral_quotient_k8,0.9729416314369761,-0.7360447755674069,1.708986407004383,-0.7565148327349434,11,near_trap
behavioral_quotient_k13,0.9811317141980965,-0.736336925145174,1.7174686393432705,-0.7504975269778131,11,near_trap
behavioral_quotient_k21,1.207814383159811,-0.6679844601567613,1.8757988433165722,-0.5530522483175111,11,near_trap
predictive_quotient_k5,1.1303289319977226,-1.0163958802940587,2.1467248122917812,-0.8992036313692328,11,near_trap
predictive_quotient_k8,1.1330629888571941,-0.5801583986834884,1.7132213875406825,-0.5120266078663777,11,near_trap
predictive_quotient_k13,1.0437768319342087,-0.6361528490954755,1.6799296810296842,-0.6094720917656596,11,near_trap
predictive_quotient_k21,1.0437768319342087,-0.6361528490954755,1.6799296810296842,-0.6094720917656596,11,near_trap
identity,0.0,0.0,0.0,0.0,9,near_trap
all_one,0.0,0.0,0.0,0.0,9,near_trap
random_k,0.0,0.0,0.0,0.0,9,near_trap
hash_k34_s1206,0.0,0.0,0.0,0.0,9,near_trap
best_of_10_hashes_per_world,0.0,0.0,0.0,0.0,9,near_trap
checkerboard,0.0,0.0,0.0,0.0,9,near_trap
trap_mixing_adversarial,0.0,0.0,0.0,0.0,9,near_trap
