candidate,collapse,early_mean,horizon_coherence_score,late_mean,lure_detected,pair_id,start_name
identity,0.7724054139242843,1.292358696906529,0.5642050019390875,0.5199532829822447,0,1,near_trap
all_one,0.0,0.0,1.0,0.0,0,1,near_trap
random_k,0.7748393003485098,1.291004893819498,0.5634312919505663,0.5161655934709882,0,1,near_trap
hash_k34_s1206,0.7724054139242843,1.292358696906529,0.5642050019390875,0.5199532829822447,0,1,near_trap
best_of_10_hashes_per_world,0.10464630401158354,0.43214297306603344,0.9052671396884644,0.3274966690544499,0,1,near_trap
checkerboard,0.4594788824488889,0.7995447725516404,0.6851760666259726,0.34006589010275146,1,1,near_trap
trap_mixing_adversarial,0.6998514061583812,1.1652681502439588,0.5882867151664588,0.4654167440855777,1,1,near_trap
viability_signature,0.8516846167680199,1.1823878914596324,0.5400487701547291,0.3307032746916126,1,1,near_trap
behavioral_quotient_k5,0.15709541475967942,0.6140135664249015,0.8642329640617347,0.45691815166522204,0,1,near_trap
behavioral_quotient_k8,0.48425967405780684,0.9411778257230289,0.6737365553199375,0.45691815166522204,1,1,near_trap
behavioral_quotient_k13,0.7595104946226227,1.2216459755361628,0.5683398894500363,0.4621354809135402,1,1,near_trap
behavioral_quotient_k21,0.616266638667732,1.0978417968374832,0.6187097945820915,0.4815751581697511,1,1,near_trap
predictive_quotient_k5,0.18720391621711568,0.5420899559578896,0.8423152807534372,0.3548860397407739,0,1,near_trap
predictive_quotient_k8,0.5478803695912204,1.0047985212564425,0.6460447587846145,0.45691815166522204,1,1,near_trap
predictive_quotient_k13,0.7505338741647362,1.2088816655670198,0.5712542983363564,0.45834779140228366,1,1,near_trap
predictive_quotient_k21,0.8200650575921021,1.2784128489943858,0.5494309095318678,0.45834779140228366,1,1,near_trap
identity,1.2609085005652847,1.4291614173175988,0.4423000752794615,0.16825291675231413,1,0,near_trap
all_one,0.0,0.0,1.0,0.0,0,0,near_trap
random_k,1.0049039236232302,1.1731568403755444,0.49877701779984357,0.16825291675231413,1,0,near_trap
hash_k34_s1206,1.2609085005652847,1.4291614173175988,0.4423000752794615,0.16825291675231413,1,0,near_trap
best_of_10_hashes_per_world,0.38730769427685463,0.5555606110291688,0.7208206255363258,0.16825291675231413,0,0,near_trap
checkerboard,0.8364311306338754,0.8364311306338754,0.5445344414602866,0.0,1,0,near_trap
trap_mixing_adversarial,1.061076467693648,1.229329384445962,0.48518335717985445,0.16825291675231413,1,0,near_trap
viability_signature,0.9987733747802505,1.1670262915325647,0.5003068444965364,0.16825291675231413,1,0,near_trap
behavioral_quotient_k5,0.4359357384924717,0.4359357384924717,0.6964099946769607,0.0,0,0,near_trap
behavioral_quotient_k8,0.5478776843793269,0.5478776843793269,0.646045879523732,0.0,0,0,near_trap
behavioral_quotient_k13,0.974344239738941,0.974344239738941,0.5064972864773701,0.0,1,0,near_trap
behavioral_quotient_k21,0.9367271001880373,1.1049800169403514,0.5163350065700582,0.16825291675231413,1,0,near_trap
predictive_quotient_k5,0.43510771051599806,0.43510771051599806,0.6968118090874493,0.0,0,0,near_trap
predictive_quotient_k8,0.6734410421534032,0.6734410421534032,0.5975710974036997,0.0,0,0,near_trap
predictive_quotient_k13,1.1668585740595248,1.1668585740595248,0.4614975854776434,0.0,1,0,near_trap
predictive_quotient_k21,1.0594447349806342,1.2276976517329483,0.48556777611680046,0.16825291675231413,1,0,near_trap
identity,0.43129037150500704,1.4291614173175988,0.6986702488248394,0.9978710458125918,0,2,near_trap
all_one,0.0,0.0,1.0,0.0,0,2,near_trap
random_k,0.35264458671089494,1.3091108396701177,0.739292501389157,0.9564662529592227,0,2,near_trap
hash_k34_s1206,0.43129037150500704,1.4291614173175988,0.6986702488248394,0.9978710458125918,0,2,near_trap
best_of_10_hashes_per_world,0.1329665099091727,0.5007849210154057,0.882638622813456,0.36781841110623303,0,2,near_trap
checkerboard,0.18736947200261533,0.8364311306338754,0.8421978361237481,0.6490616586312601,0,2,near_trap
trap_mixing_adversarial,0.3243459362963146,1.229329384445962,0.7550897183228537,0.9049834481496475,0,2,near_trap
viability_signature,0.34272922908425274,1.1670262915325647,0.7447517923490832,0.8242970624483119,0,2,near_trap
behavioral_quotient_k5,0.10200296021095012,0.4359357384924717,0.9074385787571531,0.33393277828152157,0,2,near_trap
behavioral_quotient_k8,0.2833319231060145,0.8399374076073369,0.7792216354906268,0.5566054845013224,0,2,near_trap
behavioral_quotient_k13,0.31824949633460997,1.0966329902610996,0.7585817425157361,0.7783834939264896,0,2,near_trap
behavioral_quotient_k21,0.4138288196025698,1.2301347721965858,0.7072992049214997,0.8163059525940161,0,2,near_trap
predictive_quotient_k5,0.02418148442267526,0.31800995092409823,0.9763894536364263,0.29382846650142297,0,2,near_trap
predictive_quotient_k8,0.15163926788496018,0.5870051562246117,0.868327459723171,0.4353658883396515,0,2,near_trap
predictive_quotient_k13,0.2838013408816137,1.0060002131856676,0.7789367156395699,0.7221988723040539,0,2,near_trap
predictive_quotient_k21,0.3149212988487826,1.0732829005070648,0.7605017888717012,0.7583616016582821,0,2,near_trap
identity,0.7693730916203076,1.292358696906529,0.5651719271282958,0.5229856052862214,0,5,near_trap
all_one,0.0,0.0,1.0,0.0,0,5,near_trap
random_k,0.5574135930033357,1.0678724420143775,0.6420901965235757,0.5104588490110418,0,5,near_trap
hash_k34_s1206,0.7693730916203076,1.292358696906529,0.5651719271282958,0.5229856052862214,0,5,near_trap
best_of_10_hashes_per_world,0.3612667668840212,0.5527177688824455,0.7346098680488827,0.1914510019984243,0,5,near_trap
checkerboard,0.4630200264181909,0.7995447725516404,0.6835176429185523,0.33652474613344946,1,5,near_trap
trap_mixing_adversarial,0.7024041510908099,1.1652681502439588,0.5874045827245271,0.46286399915314896,1,5,near_trap
viability_signature,0.8352287979168851,1.1823878914596324,0.5448911880279292,0.3471590935427473,1,5,near_trap
behavioral_quotient_k5,0.5076585317358495,0.8567639650641568,0.6632801652033538,0.34910543332830724,1,5,near_trap
behavioral_quotient_k8,0.5968696493174679,0.9459750826457751,0.626225190282387,0.34910543332830724,1,5,near_trap
behavioral_quotient_k13,0.678497796527987,1.0276032298562943,0.5957708148729918,0.34910543332830724,1,5,near_trap
behavioral_quotient_k21,0.8101103079108236,1.2693570109164853,0.5524525194015224,0.4592467030056618,1,5,near_trap
predictive_quotient_k5,0.31306810394731854,0.6621735372756258,0.7615751208896328,0.34910543332830724,0,5,near_trap
predictive_quotient_k8,0.6066747802247736,0.949005091328758,0.6224034959085498,0.3423303111039843,1,5,near_trap
predictive_quotient_k13,0.8158460512711099,1.164951484599417,0.5507074783679984,0.34910543332830724,1,5,near_trap
predictive_quotient_k21,0.7249765915150789,1.2239321724244072,0.5797180117799057,0.49895558090932834,1,5,near_trap
identity,0.78600030977657,1.2579184641551702,0.5599103172188703,0.47191815437860013,1,3,near_trap
all_one,0.0,0.0,1.0,0.0,0,3,near_trap
random_k,0.8294259036105636,1.1801292619116492,0.5466195695744743,0.3507033583010857,1,3,near_trap
hash_k34_s1206,0.78600030977657,1.2579184641551702,0.5599103172188703,0.47191815437860013,1,3,near_trap
