adaptive_idx,bounded_cost_sustainment,candidate,candidate_category,compression_ratio,fake_viability_rate,fake_viability_rejection_score,family,heldout_l1_loss,heldout_nll,heldout_predictive_quality,hidden_nonviability_rate,horizon_coherence,irreversibility_sensitivity,label_entropy,macro_viability_purity,mc_fallback_used,mean_fiber_size,mixed_viability_label_fraction,norm_irrev_sensitivity,pair_id,quotient_gate_pass,raw_I_mean,recoverability_preservation,recoverability_purity,singleton_fraction,truncated,truncation_fraction,unsustainable_branch_penalty,variant,world_seed
0,,best_of_10_hashes_per_world,ADAPTIVE_HASH,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6931089307033735,0.6763345800748044,0,171.5,1.0,0.0,1,1,0.0,0.815880007158725,0.6559503570214213,0.0,0,0.0,,irreversible,1
,,checkerboard,ADVERSARIAL,0.0058309037900874635,1.0,0.0,A,1.0,inf,0.0,0.0,1.0,0.0,0.6929389195380611,0.6763095238095238,0,171.5,1.0,0.0,1,1,0.0,0.8158825317861753,0.6558333333333333,0.0,0,0.0,,irreversible,1
,,trap_mixing_adversarial,ADVERSARIAL,0.011661807580174927,0.75,0.25,A,1.0,inf,0.0,0.0,1.0,0.0,1.215287025007243,0.7748015873015872,0,85.75,0.75,0.0,1,1,0.0,0.8787621571641053,0.7632236227824463,0.0,0,0.0,,irreversible,1
,,viability_signature,THEORY_INFORMED,0.08746355685131195,0.06666666666666667,0.9333333333333333,A,1.0,inf,0.0,0.13333333333333333,1.0,0.0,3.0356074242114475,0.9417460317460318,0,11.433333333333334,0.2,0.0,1,1,0.0,1.0,1.0,0.06666666666666667,0,0.0,,irreversible,1
,,behavioral_quotient_k5,THEORY_INFORMED,0.014577259475218658,0.0,1.0,A,1.0,inf,0.0,0.2,1.0,0.0,1.5173759329966694,0.9208791208791208,0,68.6,0.2,0.0,1,1,0.0,0.958382519732426,0.9362637362637363,0.0,0,0.0,,irreversible,1
,,behavioral_quotient_k8,THEORY_INFORMED,0.023323615160349854,0.25,0.75,A,1.0,inf,0.0,0.125,1.0,0.0,1.9055163605164034,0.9323317307692308,0,42.875,0.375,0.0,1,1,0.0,0.9503675469164896,0.9293269230769231,0.0,0,0.0,,irreversible,1
,,behavioral_quotient_k13,THEORY_INFORMED,0.037900874635568516,0.07692307692307693,0.9230769230769231,A,1.0,inf,0.0,0.15384615384615385,1.0,0.0,2.3901149898925733,0.9279739867975162,0,26.384615384615383,0.23076923076923078,0.0,1,1,0.0,1.0,1.0,0.0,0,0.0,,irreversible,1
,,behavioral_quotient_k21,THEORY_INFORMED,0.061224489795918366,0.09523809523809523,0.9047619047619048,A,1.0,inf,0.0,0.14285714285714285,1.0,0.0,2.8302541892687394,0.9273292222872055,0,16.333333333333332,0.23809523809523808,0.0,1,1,0.0,1.0,1.0,0.047619047619047616,0,0.0,,irreversible,1
,,predictive_quotient_k5,THEORY_INFORMED,0.014577259475218658,0.0,1.0,A,1.0,inf,0.0,0.4,1.0,0.0,1.538272080081736,0.9120527306967985,0,68.6,0.4,0.0,1,1,0.0,0.9501037832057668,0.9276082862523541,0.0,0,0.0,,irreversible,1
,,predictive_quotient_k8,THEORY_INFORMED,0.023323615160349854,0.25,0.75,A,1.0,inf,0.0,0.25,1.0,0.0,1.9607044647936052,0.9198907504645257,0,42.875,0.5,0.0,1,1,0.0,0.9796138622583966,0.9765207801253772,0.0,0,0.0,,irreversible,1
