condition,alpha,T,p_viable_T,control,sample_n,early_to_late_neighbor_preservation,future_profile_separation,ordered_persistence,viability_gate,component_non_erasure,counterfactual_affordance,minimal_recoverability,horizon_coherence,ridge_R2_past_to_future,ridge_R2_time_shuffled,temporal_prediction_delta,A_past_to_A_future_delta,B_past_to_B_future_delta,component_continuity_balance,component_erasure_score,counterfactual_profile_separation,intervention_viable_reachability_delta,component_conditioned_affordance_balance,post_displacement_viability,return_to_viable_corridor_rate,recoverable_continuation_profile,gpu_used
coupled,0.45,900,0.998884814814815,rigid_collapse,252000,0.5064951479434967,1.0818852186203003,0.7807788081166412,0.998884814814815,0.3523888193042549,0.19515799497226885,0.40165853334208906,0.7277437685836862,0.7538503408432007,-0.00010571694292593747,0.7539560577861266,0.8137625455856323,0.23264819383621216,0.41888564825057983,0.71410800964207,0.01910619903355837,0.20508163265306126,0.3612861532301869,0.20508163265306126,0.9811479591836733,0.018746008189532863,1.0
coupled,0.45,900,0.998884814814815,noise_fakeout,252000,-0.004646182060241699,0.008129394613206387,0.0011727995006367564,0.998884814814815,0.4998816771112615,0.6406483757346174,0.6681515927581737,0.757342309463994,-0.000677459582220763,-0.0007126455311663449,3.518594894558191e-05,-0.0005977023392915726,-0.0003610565618146211,0.999763354222523,1.0,0.004454778274521232,1.0,0.9174903489293311,1.0,1.0,0.004454778274521232,1.0
coupled,0.45,900,0.998884814814815,single_component_erasure,252000,0.5855753421783447,1.1954108476638794,0.877294934053983,0.998884814814815,0.3273855359940577,0.5560241865632491,0.6817669297258059,0.748280191424529,0.8508397936820984,-5.881863762624562e-05,0.8508986123197246,0.8511962294578552,0.23264819383621216,0.38145196437835693,0.7266808923902416,0.045300789177417755,1.0,0.6227717705123296,1.0,1.0,0.045300789177417755,1.0
coupled,0.45,900,0.998884814814815,endpoint_fakeout,252000,0.4783775806427002,1.0633597373962402,0.7692698463409519,0.998884814814815,0.40795151274741925,0.570846191961908,0.6746669312318166,0.8174514086614557,0.7656180262565613,-0.00045419472735375166,0.766072220983915,0.8223093152046204,0.28799059987068176,0.4656812846660614,0.6497782591712229,0.02400079369544983,1.0,0.688537782190274,1.0,1.0,0.02400079369544983,1.0
coupled,0.45,1500,0.9988651851851853,rigid_collapse,252000,0.35936981439590454,0.8879087567329407,0.6115956422921348,0.9988651851851853,0.3762281237759043,0.16213391331425817,0.3735031814608203,0.7277437685836862,0.5873230695724487,-0.00018528617511037737,0.5875083557475591,0.6450875401496887,0.15588869154453278,0.510801151394844,0.7583449038430354,0.01714473031461239,0.14891836734693878,0.3203386422812233,0.14891836734693878,0.9552142857142856,0.01637689132123653,1.0
coupled,0.45,1500,0.9988651851851853,noise_fakeout,252000,0.008138000965118408,0.017583444714546204,0.00857381522655487,0.9988651851851853,0.4997384287185014,0.6533735529520618,0.6678868338931352,0.757342309463994,-0.0009368828614242375,-0.000293597491690889,-0.0006432853697333485,-1.4627655218646396e-05,-0.0005377702182158828,0.9994768574370028,1.0,0.00366050167940557,1.0,0.9564601571767797,1.0,1.0,0.00366050167940557,1.0
coupled,0.45,1500,0.9988651851851853,single_component_erasure,252000,0.4231418967247009,0.9958394169807434,0.7079915817497143,0.9988651851851853,0.34051501844213933,0.5995225429294083,0.6793863990654548,0.748280191424529,0.7045910954475403,-0.00040233609615825117,0.7049934315436985,0.6981476545333862,0.15588869154453278,0.45774103701114655,0.7767110001268679,0.0381591971963644,1.0,0.7604084315918607,1.0,1.0,0.0381591971963644,1.0
coupled,0.45,1500,0.9988651851851853,endpoint_fakeout,252000,0.3533242344856262,0.9240126609802246,0.6358787863185474,0.9988651851851853,0.3928275858331066,0.5871740150087124,0.6737929371496042,0.8174514086614557,0.6301323771476746,-0.00016708634211681783,0.6302994634897914,0.6955870985984802,0.1974218338727951,0.5018347352743149,0.7161795636081016,0.021378811448812485,1.0,0.7401432335773246,1.0,1.0,0.021378811448812485,1.0
coupled,0.45,2400,0.9988562962962964,rigid_collapse,252000,0.21767514944076538,0.6373276710510254,0.4110978805983905,0.9988562962962964,0.4258755292291332,0.18461292201842258,0.3707003619032152,0.7277437685836862,0.37800461053848267,-0.00028621076489798725,0.37829082130338065,0.429280549287796,0.08440708369016647,0.6551265344023705,0.8033754759441041,0.01472798828035593,0.14337755102040814,0.3957332267545036,0.14337755102040814,0.9546632653061226,0.014060269383114898,1.0
coupled,0.45,2400,0.9988562962962964,noise_fakeout,252000,-0.0016077756881713867,0.014803078025579453,0.004412810822638373,0.9988562962962964,0.49990444659488276,0.6539922832125763,0.6678877177958688,0.757342309463994,-0.00044134349445812404,-0.000484473624965176,4.3130130507051945e-05,-0.0005091466009616852,-0.0003180397907271981,0.9998088931897655,1.0,0.003663153387606144,1.0,0.9583136962501226,1.0,1.0,0.003663153387606144,1.0
coupled,0.45,2400,0.9988562962962964,single_component_erasure,252000,0.2568374276161194,0.7163809537887573,0.4881911879589704,0.9988562962962964,0.38311994921387243,0.4835248053002923,0.6850369355330864,0.748280191424529,0.491138756275177,-0.00021642619685735554,0.49135518247203436,0.49031564593315125,0.08440708369016647,0.5940914377570152,0.8278515393292704,0.055110806599259377,1.0,0.3954636093016175,1.0,1.0,0.055110806599259377,1.0
coupled,0.45,2400,0.9988562962962964,endpoint_fakeout,252000,0.25599968433380127,0.8006510734558105,0.5139823405770585,0.9988562962962964,0.4426387074133803,0.5801757341173231,0.6731195434307059,0.8174514086614557,0.48420020937919617,-0.0010960545623674989,0.48529626394156367,0.5487907528877258,0.15380553901195526,0.6050147861242294,0.7197373712974688,0.019358630292117596,1.0,0.7211685720598521,1.0,1.0,0.019358630292117596,1.0
coupled,0.5,900,0.9988955555555555,rigid_collapse,252000,0.5123004913330078,1.0776033401489258,0.784060753202842,0.9988955555555555,0.37434733010201104,0.2161017632447918,0.3957358693560779,0.7335517360534528,0.7618876695632935,-0.00039075856329873204,0.7622784281265922,0.8151033520698547,0.25318318605422974,0.438079833984375,0.6893851737803529,0.020527548156678677,0.19044897959183674,0.43732876198586,0.19044897959183674,0.9767091836734695,0.020049444802927464,1.0
coupled,0.5,900,0.9988955555555555,noise_fakeout,252000,-0.0035157203674316406,0.019290762022137642,0.0052583472182353335,0.9988955555555555,0.4999189736772678,0.6059125013928967,0.6677911255586272,0.660381865649642,-0.0007114235195331275,-0.000413203815696761,-0.00029821970383636653,-0.00036191430990584195,-0.00019986166444141418,0.9998379473545356,1.0,0.0033733766758814454,1.0,0.8143641275028086,1.0,1.0,0.0033733766758814454,1.0
coupled,0.5,900,0.9988955555555555,single_component_erasure,252000,0.5910680294036865,1.1927282810211182,0.8797869496726586,0.9988955555555555,0.34876081228605205,0.6011866578571661,0.6802473521480957,0.7488813929289175,0.8552378416061401,-0.0003266969870310277,0.8555645385931712,0.8526117205619812,0.25318318605422974,0.40057146549224854,0.7030498409201444,0.0407420564442873,1.0,0.7628179171272109,1.0,1.0,0.0407420564442873,1.0
coupled,0.5,900,0.9988955555555555,endpoint_fakeout,252000,0.48604291677474976,1.0728319883346558,0.7770303482927071,0.9988955555555555,0.4139799410659235,0.577208950399937,0.6749254073947668,0.8151138104932154,0.771285891532898,-0.0009302482358179986,0.772216139768716,0.8265562057495117,0.29618269205093384,0.4696264863014221,0.6416666041695751,0.024776222184300423,1.0,0.7068506290155108,1.0,1.0,0.024776222184300423,1.0
coupled,0.5,1500,0.9989048148148147,rigid_collapse,252000,0.37264764308929443,0.8870105743408203,0.6185216028922392,0.9989048148148147,0.40151843211061045,0.22197923411392048,0.3756253275843717,0.7335517360534528,0.5954845547676086,-0.0004220364789944142,0.5959065912466031,0.6364448070526123,0.17092286050319672,0.5344780534505844,0.7314411892293635,0.018898146227002144,0.14768367346938777,0.4993558826453715,0.14768367346938777,0.961030612244898,0.01816169703882948,1.0
coupled,0.5,1500,0.9989048148148147,noise_fakeout,252000,0.004197120666503906,0.01985582709312439,0.008073789901876202,0.9989048148148147,0.49964973048190586,0.5986181104980347,0.6680132009011382,0.660381865649642,-0.0005878854426555336,-0.0007563073886558414,0.0001684219460003078,0.00021084421314299107,-0.0004896948230452836,0.9992994609638117,1.0,0.004039602703414857,1.0,0.7918147287906894,1.0,1.0,0.004039602703414857,1.0
coupled,0.5,1500,0.9989048148148147,single_component_erasure,252000,0.437252938747406,0.9737145900726318,0.7056312248071966,0.9989048148148147,0.3622229854011386,0.5649661678029627,0.6824368592351675,0.7488813929289175,0.7055562138557434,-0.0003699317458085716,0.705926145601552,0.693087637424469,0.17092286050319672,0.4778352230787277,0.7533892522764505,0.04731057770550251,1.0,0.6475879257033857,1.0,1.0,0.04731057770550251,1.0
coupled,0.5,1500,0.9989048148148147,endpoint_fakeout,252000,0.36010605096817017,0.9379228353500366,0.6434721383557189,0.9989048148148147,0.4028384384017948,0.5897412361946945,0.6742965265487632,0.8151138104932154,0.631993293762207,-0.0003942349867429584,0.63238752874895,0.6841393709182739,0.1989755630493164,0.5148361921310425,0.7091593153274529,0.02288957964628935,1.0,0.7463341289377943,1.0,1.0,0.02288957964628935,1.0
coupled,0.5,2400,0.9988885185185186,rigid_collapse,252000,0.22153466939926147,0.6624600887298584,0.41950237260122475,0.9988885185185186,0.46070533351641796,0.24062726886778474,0.3688504709953182,0.7335517360534528,0.37425100803375244,-0.0002613516408018768,0.3745123596745543,0.4163737893104553,0.09929906576871872,0.6829252764582634,0.7615146094254275,0.014624915085732937,0.14304081632653062,0.5642160751910906,0.14304081632653062,0.9496224489795918,0.013888147679832288,1.0
coupled,0.5,2400,0.9988885185185186,noise_fakeout,252000,-0.009041547775268555,0.016810884699225426,0.0025897789746522903,0.9988885185185186,0.4998608950554626,0.6327757868742857,0.6680464978950719,0.660381865649642,-0.0005332707078196108,-0.00031052978010848165,-0.0002227409277111292,-0.0007352735265158117,-0.0004570636374410242,0.9997217901109252,1.0,0.004139493685215712,1.0,0.8941878669376413,1.0,1.0,0.004139493685215712,1.0
coupled,0.5,2400,0.9988885185185186,single_component_erasure,252000,0.26351797580718994,0.7284569144248962,0.49091818762826733,0.9988885185185186,0.414907181030965,0.5656129854082524,0.6798530941208204,0.7488813929289175,0.4805235266685486,-0.0002561459841672331,0.4807796726527158,0.47745880484580994,0.09929906576871872,0.6218402609229088,0.7920258988609787,0.03955928236246109,1.0,0.6572796738622962,1.0,1.0,0.03955928236246109,1.0
coupled,0.5,2400,0.9988885185185186,endpoint_fakeout,252000,0.26279276609420776,0.8046015501022339,0.5161357558099553,0.9988885185185186,0.4521620280809654,0.5737465749498477,0.6735223578289151,0.8151138104932154,0.47995471954345703,-0.001058231689967215,0.48101295123342425,0.5352605581283569,0.15325887501239777,0.6179983168840408,0.71367426072211,0.020567073486745358,1.0,0.7006726513627977,1.0,1.0,0.020567073486745358,1.0
coupled,0.525,900,0.9989051851851851,rigid_collapse,252000,0.5063274800777435,1.077174425125122,0.7807747783954255,0.9989051851851851,0.38093008453900873,0.18063548826045217,0.39122899343846623,0.7284722531292647,0.7585519552230835,-0.0002704747603274882,0.758822429983411,0.8086410164833069,0.2550703287124634,0.4464293122291565,0.684569143151139,0.019765875302255154,0.182734693877551,0.3394058956015504,0.182734693877551,0.9717448979591837,0.019207388478663885,1.0
coupled,0.525,900,0.9989051851851851,noise_fakeout,252000,-0.005890607833862305,0.030356165021657944,0.008207261678762734,0.9989051851851851,0.49986707740754355,0.5210862677968139,0.6680703827102358,0.8554008355257614,-0.0007291819201782346,-0.0008854097686707973,0.00015622784849256277,-0.000282090186374262,-0.0005479353712871671,0.9997341548150871,1.0,0.004211148130707443,1.0,0.5590476552597343,1.0,1.0,0.004211148130707443,1.0
coupled,0.525,900,0.9989051851851851,single_component_erasure,252000,0.5841057896614075,1.1711701154708862,0.869323164166417,0.9989051851851851,0.35405529409290815,0.5768857905357957,0.6807295028120279,0.7491220010535448,0.852070152759552,-0.0006234346074052155,0.8526935873669572,0.8478156328201294,0.2550703287124634,0.407254695892334,0.6991441077065177,0.042188508436083794,1.0,0.6884688631713032,1.0,1.0,0.042188508436083794,1.0
coupled,0.525,900,0.9989051851851851,endpoint_fakeout,252000,0.47290074825286865,1.0542552471160889,0.7649137496288555,0.9989051851851851,0.4109761998006749,0.5642280622299555,0.6751563167199492,0.8239906030525028,0.7672664523124695,-0.0003188012051396072,0.7675852535176091,0.8195682764053345,0.28895315527915955,0.4693848788738251,0.6474324792724753,0.025468950159847736,1.0,0.6672152365300186,1.0,1.0,0.025468950159847736,1.0
