rule,ic_family,T,ring_size,localized_component_lifetime_max,recurrence_up_to_shift,translation_velocity_estimate,motif_type
131,periodic_perturbation,512,512,516.0,0.9114227294921875,-0.0127105712890625,global_periodic_artifact
131,two_cell_seed,1024,256,1028.0,0.83203125,-0.001953125,global_periodic_artifact
131,g0_candidate_window_seed,256,256,260.0,0.76885986328125,-0.005767822265625,global_periodic_artifact
131,bernoulli_050,1024,512,1028.0,0.8769454956054688,-0.00286865234375,global_periodic_artifact
131,g0_motif_seed,256,512,260.0,0.623046875,-0.0078125,emitter
131,short_random_block,512,512,516.0,0.8137054443359375,0.0113525390625,global_periodic_artifact
131,periodic_perturbation,1024,256,1028.0,0.905517578125,-0.0079345703125,global_periodic_artifact
131,g0_motif_seed,512,256,516.0,0.7734375,-0.015625,global_periodic_artifact
131,short_random_block,1024,256,1028.0,0.835845947265625,-0.001953125,global_periodic_artifact
131,bernoulli_025,1024,512,1028.0,0.8940505981445312,-0.00244903564453125,global_periodic_artifact
131,g0_candidate_window_seed,256,512,260.0,0.644073486328125,-0.0078125,emitter
62,bernoulli_050,256,256,260.0,0.7886199951171875,-0.010894775390625,emitter
131,single_seed,1024,512,1028.0,0.8203125,0.0078125,global_periodic_artifact
131,g0_candidate_window_seed,512,256,516.0,0.7967071533203125,0.0001373291015625,global_periodic_artifact
131,periodic_perturbation,1024,512,1028.0,0.9114227294921875,-0.00841522216796875,global_periodic_artifact
131,g0_motif_seed,512,512,516.0,0.8203125,0.03125,global_periodic_artifact
62,bernoulli_025,256,256,260.0,0.7838134765625,-0.010955810546875,emitter
62,bernoulli_050,256,512,260.0,0.782684326171875,-0.010101318359375,emitter
62,bernoulli_050,512,256,516.0,0.830169677734375,-0.003875732421875,global_periodic_artifact
131,g0_motif_seed,1024,256,1028.0,0.83984375,-0.001953125,global_periodic_artifact
131,two_cell_seed,1024,512,1028.0,0.833984375,-0.001953125,global_periodic_artifact
131,g0_candidate_window_seed,512,512,516.0,0.8007965087890625,0.0102996826171875,global_periodic_artifact
62,single_seed,256,256,260.0,0.83203125,-0.0078125,global_periodic_artifact
62,bernoulli_025,256,512,260.0,0.7847061157226562,-0.00897216796875,emitter
62,bernoulli_025,512,256,516.0,0.8396453857421875,-0.004638671875,global_periodic_artifact
131,short_random_block,1024,512,1028.0,0.76824951171875,-0.00176239013671875,global_periodic_artifact
131,g0_candidate_window_seed,1024,256,1028.0,0.845977783203125,-0.001953125,global_periodic_artifact
