rule,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,component_fragmentation_rate,component_size_median
0,0.0,0.0003828161261602511,0.9996171838738398,0.005456938877003232,1.0416666666666667
4,0.861572265625,0.09993232975579776,0.9000676702442023,0.860388025677183,1.125
5,0.9999186197916666,0.479339094264291,0.520660905735709,0.6834145925503101,1.125
8,0.0,0.00044197125063205844,0.9995580287493678,0.006584352523928048,1.1875
12,1.0,0.12464046355920812,0.8753595364407919,0.9969941776673305,1.0
29,0.9999186197916666,0.4992600393813969,0.500739960618603,0.8285477686295623,1.0
30,0.9999186197916666,0.4385466612530499,0.5614533387469501,0.5325202556842552,1.3333333333333333
32,0.0,0.013663810699718955,0.986336189300281,0.06011907848300093,1.1458333333333333
36,0.7090657552083334,0.023642311415711798,0.9763576885842883,0.7092416116135719,1.125
44,0.9999186197916666,0.04657362135023921,0.9534263786497608,0.9970662299687326,1.0
45,0.9999186197916666,0.4992771223978993,0.5007228776021008,0.5110288106725819,1.1875
50,0.9998372395833334,0.43754808945615986,0.5624519105438401,0.9484714646316501,1.0
51,0.9998372395833334,0.4992597138700368,0.5007402861299631,0.6683588182179209,1.3125
54,0.93408203125,0.3917277792861138,0.6082722207138862,0.5125565147444581,1.875
57,0.9999186197916666,0.4954321420026106,0.5045678579973895,0.845835093563234,1.0104166666666667
60,0.16666666666666666,0.15349053086293807,0.8465094691370619,0.35393145349432187,1.9791666666666667
61,0.9999186197916666,0.5153294244829711,0.48467057551702886,0.3841500185192297,2.0625
62,0.9332682291666666,0.500176600401569,0.499823399598431,0.43783216568654676,2.0
64,0.0,0.0004421251765048414,0.9995578748234952,0.006596807782990244,1.2291666666666667
68,1.0,0.12604061310879777,0.8739593868912022,0.9975776832721642,1.0
71,0.9998372395833334,0.49926067335151597,0.500739326648484,0.8037400218076471,1.0
72,0.6348470052083334,0.028755874364075267,0.9712441256359248,0.32112722402710236,1.6458333333333333
73,0.9308268229166666,0.43453562105414556,0.5654643789458544,0.5358258581850293,1.125
75,0.9999186197916666,0.500066970908733,0.4999330290912671,0.4863286043791688,1.4375
76,0.999755859375,0.15255846211164695,0.847441537888353,0.8146837475853372,1.1875
77,0.9999186197916666,0.5003207326668985,0.4996792673331015,0.9488359299946084,1.0
78,1.0,0.4041049210614683,0.5958950789385317,0.9147216116926636,1.0
86,1.0,0.4386763341092521,0.5613236658907479,0.5351767273425615,1.25
89,0.9999186197916666,0.5002500559065644,0.49974994409343565,0.48754264048576856,1.375
90,0.0,0.09819425180050155,0.9018057481994984,0.24574988364300523,1.6875
94,0.8719889322916666,0.42142231460513674,0.5785776853948633,0.7433910205102908,1.125
99,1.0,0.4982160545046221,0.501783945495378,0.8375472581245288,1.0729166666666667
102,0.16666666666666666,0.15359923144009566,0.8464007685599043,0.38059510192206364,1.6666666666666667
109,0.940185546875,0.5649921602304018,0.4350078397695982,0.39759242138244527,1.2083333333333333
118,0.9306640625,0.5004109490808911,0.49958905091910893,0.4382948860766665,2.0
122,0.7369791666666666,0.30236373277083367,0.6976362672291664,0.36989737716110843,1.7708333333333333
126,0.5214029947916666,0.20810030085418085,0.7918996991458193,0.20147772450515763,2.375
128,0.0,0.0004470396693354317,0.9995529603306647,0.0068680266815715095,1.2291666666666667
129,0.646240234375,0.7842331830242192,0.21576681697578085,0.10167897846055186,3.2083333333333335
131,0.94140625,0.49504567990108433,0.5049543200989156,0.6007578752726641,1.0
145,0.9425455729166666,0.493210333070437,0.506789666929563,0.6061834892667507,1.0
161,0.6984049479166666,0.7332726908551527,0.26672730914484727,0.14144978447029838,3.125
163,0.9999186197916666,0.5251823161260932,0.4748176838739067,0.8436451893316034,1.0
167,0.8936360677083334,0.8523107249480658,0.14768927505193408,0.21334170658218768,1.25
169,1.0,0.7610566436776716,0.2389433563223284,0.2554483106031709,1.9583333333333333
170,1.0,0.17414077123006186,0.8258592287699381,0.7293023183281435,1.1666666666666667
177,1.0,0.5240687903040794,0.4759312096959207,0.8434600545540761,1.0
181,0.89306640625,0.8530646503916048,0.1469353496083951,0.21833004517708168,1.25
188,0.9998372395833334,0.6238261799248619,0.3761738200751381,0.2737482258032042,2.9375
204,1.0,0.17395893732706705,0.826041062672933,0.6712120685451491,1.3125
225,1.0,0.7609715351548038,0.23902846484519613,0.2557161519026094,2.1041666666666665
230,0.9999186197916666,0.6242292134824804,0.37577078651751966,0.2738128232435465,2.9583333333333335
240,1.0,0.1739217440287272,0.8260782559712728,0.6397055375429653,1.5416666666666667
