space,rule_id,confirmed_fraction,localized_component_lifetime_max,recurrence_up_to_shift,motif_material_turnover,background_contrast,frozen_order_index,chaos_index,stratum,classification,stage1_score,relation_dependence_delta,asymmetry_dependence_delta,relation_dependence_positive,asymmetry_dependence_positive,post_perturbation_survival_rate,future_distinct_descendant_count,composition_positive_count,stable_product_rate,interaction_outcome_diversity,dominant_interaction_outcome
q2_radius2,q2r2_s1_0017,0.0,178.0,0.6931355794270834,0.4679972330729167,1.0,0.031901041666666664,0.34865448148629613,S1_random_unbiased,emitter_or_generator,0.17235034138231445,,,,,,,,,,
q2_radius2,q2r2_s1_0022,0.0,232.0,0.5632832845052084,0.505828857421875,1.0,0.0,0.4007793473623926,S1_random_unbiased,emitter_or_generator,0.17362352602888764,,,,,,,,,,
q2_radius2,q2r2_s1_0043,0.5,516.0,0.8573201497395834,0.14306640625,1.0,0.11757812499999999,0.2639048388494356,S1_random_unbiased,transported_identity,0.18040998397319147,0.016534388065338135,-0.00585956871509552,False,False,1.0,48.0,9.0,0.0,-0.0,emission
q2_radius2,q2r2_s1_0046,0.0,449.3333333333333,0.5906473795572916,0.481597900390625,1.0,0.0,0.43571837304790223,S1_random_unbiased,emitter_or_generator,0.18721984550015036,,,,,,,,,,
q2_radius2,q2r2_s2_0007,0.6666666666666666,504.0,0.721038818359375,0.4930318196614583,1.0,0.0018229166666666665,0.32408176764412305,S2_quiescent_preserving,emitter_or_generator,0.18360355403914472,0.038756221532821655,0.31999131850898266,True,True,1.0,48.0,9.0,0.0,-0.0,emission
q2_radius2,q2r2_s2_0010,0.0,227.33333333333334,0.5547688802083334,0.4897664388020833,1.0,0.0,0.4833026025181555,S2_quiescent_preserving,emitter_or_generator,0.1689051686270797,,,,,,,,,,
q2_radius2,q2r2_s2_0017,0.16666666666666666,482.0,0.8422139485677084,0.17731730143229166,0.9270833333333334,0.2661458333333333,0.2705358508559814,S2_quiescent_preserving,emitter_or_generator,0.17690978911082764,,,,,,,,,,
q2_radius2,q2r2_s2_0046,0.16666666666666666,198.66666666666666,0.6751200358072916,0.3670145670572917,1.0,0.09479166666666666,0.2820846674444378,S2_quiescent_preserving,emitter_or_generator,0.17109268025020924,,,,,,,,,,
q2_radius2,q2r2_s2_0047,0.0,484.6666666666667,0.6148681640625,0.4565836588541667,1.0,0.0,0.3469787507183106,S2_quiescent_preserving,emitter_or_generator,0.18119288208070247,,,,,,,,,,
q2_radius2,q2r2_s3_0001,0.16666666666666666,188.0,0.5988566080729166,0.43896484375,0.9114583333333334,0.08854166666666667,0.29512889038183804,S3_sparse_active_preserving,emitter_or_generator,0.17463008584810286,,,,,,,,,,
q2_radius2,q2r2_s3_0002,0.16666666666666666,285.3333333333333,0.6219584147135416,0.4227396647135417,0.9296875,0.047526041666666664,0.1820821408027006,S3_sparse_active_preserving,emitter_or_generator,0.20354959887922072,,,,,,,,,,
q2_radius2,q2r2_s3_0003,0.0,184.0,0.5632120768229166,0.48016357421875,1.0,0.0,0.40661760460547086,S3_sparse_active_preserving,emitter_or_generator,0.16688033386921433,,,,,,,,,,
q2_radius2,q2r2_s3_0004,0.0,441.3333333333333,0.576324462890625,0.4752909342447917,1.0,0.0,0.3906622125199382,S3_sparse_active_preserving,emitter_or_generator,0.16987361885435098,,,,,,,,,,
q2_radius2,q2r2_s3_0011,0.0,150.0,0.55462646484375,0.4978841145833333,1.0,0.0,0.3874405939128756,S3_sparse_active_preserving,emitter_or_generator,0.17365548301855596,,,,,,,,,,
q2_radius2,q2r2_s3_0020,0.0,189.33333333333334,0.5572306315104166,0.5,1.0,0.0,0.420182906716226,S3_sparse_active_preserving,emitter_or_generator,0.17534403536791876,,,,,,,,,,
q2_radius2,q2r2_s3_0022,0.0,248.66666666666666,0.55560302734375,0.4940592447916667,1.0,0.0,0.4211953959810313,S3_sparse_active_preserving,emitter_or_generator,0.17085846801022064,,,,,,,,,,
q2_radius2,q2r2_s3_0044,0.0,516.0,0.576385498046875,0.4932149251302083,1.0,0.0,0.39155651801801544,S3_sparse_active_preserving,emitter_or_generator,0.1801228924234024,,,,,,,,,,
q2_radius2,q2r2_s4_0018,0.0,142.66666666666666,0.6054789225260416,0.456939697265625,1.0,0.0,0.31764352148522296,S4_neighbor_dependent,emitter_or_generator,0.18821100296898965,,,,,,,,,,
q2_radius2,q2r2_s4_0027,0.0,188.66666666666666,0.629852294921875,0.4229838053385417,1.0,0.0,0.3494301885401368,S4_neighbor_dependent,emitter_or_generator,0.17943184050219338,,,,,,,,,,
q2_radius2,q2r2_s4_0030,0.3333333333333333,516.0,0.6999613444010416,0.6168924967447916,1.0,0.0,0.35386602855429744,S4_neighbor_dependent,transported_identity,0.1627169973592437,,,,,,,,,,
q2_radius2,q2r2_s4_0034,0.16666666666666666,516.0,0.6468709309895834,0.58319091796875,1.0,0.0,0.5571560414524157,S4_neighbor_dependent,emitter_or_generator,0.16438054012019745,,,,,,,,,,
q2_radius2,q2r2_s5_0021,0.16666666666666666,274.0,0.62591552734375,0.4307657877604167,0.9114583333333334,0.10130208333333333,0.30961189667478967,S5_asymmetric_neighbor_dependent,emitter_or_generator,0.18301580672151638,,,,,,,,,,
q2_radius2,q2r2_s5_0025,0.16666666666666666,440.0,0.9055887858072916,0.2834574381510417,1.0,0.144921875,0.374786998795843,S5_asymmetric_neighbor_dependent,transported_identity,0.199772003471565,,,,,,,,,,
q2_radius2,q2r2_s5_0026,0.16666666666666666,475.3333333333333,0.825775146484375,0.19804890950520834,1.0,0.19505208333333332,0.5030618630002981,S5_asymmetric_neighbor_dependent,emitter_or_generator,0.16664905904357194,,,,,,,,,,
q2_radius2,q2r2_s5_0027,0.0,146.66666666666666,0.5640462239583334,0.4943644205729167,1.0,0.0,0.3792267881345252,S5_asymmetric_neighbor_dependent,emitter_or_generator,0.17696030281181976,,,,,,,,,,
q2_radius2,q2r2_s5_0029,0.0,516.0,0.5778605143229166,0.48187255859375,1.0,0.0,0.37949865193105065,S5_asymmetric_neighbor_dependent,emitter_or_generator,0.17682545457380236,,,,,,,,,,
q2_radius2,q2r2_s6_0033,0.0,211.33333333333334,0.556060791015625,0.507598876953125,1.0,0.0,0.2942842899814177,S6_relation_rich_nonchaotic_bias,emitter_or_generator,0.1960174484361045,,,,,,,,,,
q2_radius2,q2r2_s7_0005,0.0,288.0,0.65057373046875,0.3910929361979167,0.828125,0.171875,0.12053690856762732,S7_symmetric_control,emitter_or_generator,0.17131605214306833,,,,,,,,,,
q3_radius1,q3r1_s1_0002,0.375,288.0,0.7294387817382812,0.355224609375,1.0,0.00888671875,0.155761345573712,S1_random_unbiased,emitter_or_generator,0.2449698536115823,0.029176175594329834,0.18097197981551288,True,True,1.0,48.0,9.0,1.0,-0.0,new_motif
q3_radius1,q3r1_s1_0030,0.125,435.0,0.595489501953125,0.429656982421875,1.0,0.04375,0.28852689934045556,S1_random_unbiased,transported_identity,0.1656301534454667,,,,,,,,,,
