space,rule_id,T,ring_size,confirmed_rate,recurrence_up_to_shift,motif_material_turnover,frozen_order_index,chaos_index
ECA_anchor,ECA_0,512,256,0.0,1.0,0.0,1.0,0.0
ECA_anchor,ECA_109,512,256,0.5,0.7552388509114584,0.3342793782552083,0.028255208333333334,0.4451165324918696
ECA_anchor,ECA_118,512,256,0.0,0.8118998209635416,0.5640767415364584,0.08333333333333333,0.5293742642896679
ECA_anchor,ECA_12,512,256,0.0,1.0,0.0,1.0,0.2781647826194192
ECA_anchor,ECA_131,512,256,0.0,0.810394287109375,0.5837910970052084,0.059895833333333336,0.5454154962725727
ECA_anchor,ECA_145,512,256,0.0,0.8223470052083334,0.5568440755208334,0.1015625,0.5162592521176446
ECA_anchor,ECA_163,512,256,0.0,1.0,0.0,0.3499999999999999,0.8971271039486335
ECA_anchor,ECA_169,512,256,0.3333333333333333,0.77593994140625,0.24509684244791666,0.09205729166666665,0.3091644106144605
ECA_anchor,ECA_170,512,256,0.0,1.0,0.0,0.3499999999999999,0.30088722155580133
ECA_anchor,ECA_177,512,256,0.0,1.0,0.0,0.3499999999999999,0.8971130417854841
ECA_anchor,ECA_188,512,256,0.0,1.0,0.0,0.3499999999999999,0.33799823772123255
ECA_anchor,ECA_225,512,256,0.3333333333333333,0.7701416015625,0.251953125,0.08658854166666667,0.3010326668632388
ECA_anchor,ECA_230,512,256,0.0,1.0,0.0,0.3499999999999999,0.3362717552655057
ECA_anchor,ECA_240,512,256,0.0,1.0,0.0,0.3499999999999999,0.301482728466396
ECA_anchor,ECA_32,512,256,0.0,1.0,0.0,1.0,0.0
ECA_anchor,ECA_36,512,256,0.0,1.0,0.0,1.0,0.018721704873793706
ECA_anchor,ECA_4,512,256,0.0,1.0,0.0,1.0,0.2160790395280557
ECA_anchor,ECA_44,512,256,0.0,1.0,0.0,1.0,0.0667219664330101
ECA_anchor,ECA_51,512,256,0.0,1.0,0.0,0.3499999999999999,0.31864414408939384
ECA_anchor,ECA_54,512,256,0.3333333333333333,0.8593343098958334,0.2548828125,0.20976562499999998,0.41311736999331
ECA_anchor,ECA_57,512,256,0.0,0.7639363606770834,0.23606363932291666,0.17499999999999996,0.9883151041786111
ECA_anchor,ECA_60,512,256,0.0,1.0,0.0,1.0,0.0
ECA_anchor,ECA_61,512,256,0.16666666666666666,0.8305562337239584,0.20189412434895834,0.0009114583333333332,0.15395521639000134
ECA_anchor,ECA_62,512,256,0.0,0.8145751953125,0.56280517578125,0.09114583333333333,0.5230935125184797
ECA_anchor,ECA_64,512,256,0.0,1.0,0.0,1.0,0.0
ECA_anchor,ECA_72,512,256,0.0,1.0,0.0,1.0,0.014960616680238901
