variant_id,family,strength_label,strength,noise_multiplier,sink_shift,initial_shift_a,initial_shift_b,dt_multiplier,drift_scale_f,drift_scale_t,center_shift_f,center_shift_t
reference_000,reference,reference,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
potential_shape_000,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,1.05,0.95,-0.027514162266145694,0.013563871736825286
potential_shape_001,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,0.9,1.1,0.05431172868005529,-0.016530883400009015
potential_shape_002,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,0.95,1.05,-0.029496630108808798,-0.009178903401594492
potential_shape_003,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,1.1,0.9,-0.0028666620547789373,-0.001817758909072327
potential_shape_004,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,1.05,0.95,-0.026280886578344972,-0.019940799592576816
potential_shape_005,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,1.1,0.9,-0.04666964229640014,-0.014606900378109924
potential_shape_006,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,1.05,0.95,0.013248200503648375,-0.017660687152631502
potential_shape_007,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,0.9,1.1,0.04802766815997454,0.027919649976075017
potential_shape_008,potential_shape,mild,0.05,1.0,0.0,0.0,0.0,1.0,0.95,1.05,-0.0014177113831224594,-0.0012127589517952897
potential_shape_009,potential_shape,moderate,0.1,1.0,0.0,0.0,0.0,1.0,0.9,0.9,-0.03456399088281097,0.043750627944216997
noise_000,noise,mild,0.05,1.15,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_001,noise,moderate,0.1,1.3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_002,noise,mild,0.05,1.15,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_003,noise,moderate,0.1,0.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_004,noise,mild,0.05,1.15,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_005,noise,moderate,0.1,0.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_006,noise,mild,0.05,0.85,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
