variant_id,perturbation_family,perturbation_strength,condition,alpha,T,kappa,seed,p_viable,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,transport_survival_mean,certified_transport_density,viable_propagation_index,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction,certified_node_fraction,viable_fiber_fraction,macro_path_entropy,macro_node_entropy,breadth_index,Delta_viable_propagation_vs_product,Delta_viable_propagation_vs_shuffled,Delta_depth_vs_product,Delta_depth_vs_shuffled,Delta_robust_reachability_vs_product,Delta_robust_reachability_vs_shuffled,Delta_breadth_vs_product,Delta_breadth_vs_shuffled,Delta_R,Delta_H_weighted_product,ci_low,ci_high,ci_width,estimator_stable,category,propagation_retained
initial_location_000,initial_location,mild,coupled,0.45,900,boundary_v2_regime_sequence,79.5,0.9986806250000001,0.9945672262131996,0.9947404631913723,0.9976477241450276,0.3901931461192781,0.5894342940192794,1.0,1.0,0.0,0.4059534010795616,0.5854055593529278,1.0,2.0848884855196577,0.6903183197166284,0.15692598803214874,-0.2715020813003035,-0.2680831690945038,0.00033124506723736236,0.00039569071697387326,-0.08260530878023303,-0.08295517474872918,-0.08313649003571441,-0.08350396882365843,-1.10941071417162,-1.102976411586131,-0.2794424675165013,-0.2554226548529787,0.0240198126635226,True,Propagation lost,False
initial_location_000,initial_location,mild,coupled,0.45,900,center_of_mass,79.5,0.9986806250000001,0.6340459504846447,0.6432543024135581,0.7981639167097339,0.5011956352478817,0.26922467307137316,1.0,0.79865469633034,0.10067265183482996,0.3339139556389001,0.7225078987691217,1.0,7.13918705338517,2.110949111808874,0.5373544003926571,0.053203179372107584,0.0544373912533552,0.0417806646122022,0.0416928881914671,0.027731543691813243,0.027325925798380668,0.00891580147794424,0.008309349907911212,0.11041127585156829,0.11852092870813458,0.05314582967520695,0.05590141324745573,0.002755583572248775,True,Robust propagation retained,True
initial_location_000,initial_location,mild,coupled,0.45,900,joint_basin,79.5,0.9986806250000001,0.9851671929162167,0.9877482034914742,0.9941786347158222,0.5220015906359768,0.5461143961774485,1.0,1.0,0.0,0.44242005675023793,0.6297395037560479,1.0,4.41973847528638,1.2253471923641266,0.33266615610100286,-0.060998336899540484,-0.054051415937435676,-0.010627799530651849,-0.01047260347243617,0.24441010819014647,0.24442559207493042,0.2489926333115697,0.24899514233529402,3.308103932254094,3.3037390736504886,-0.06287354972120116,-0.04478473469551619,0.018088815025684962,True,Entropy-only pseudo-risk,False
initial_location_000,initial_location,mild,coupled,0.45,1500,boundary_v2_regime_sequence,79.5,0.9986806250000001,0.9930633912995936,0.9932753692620686,0.9976409550781835,0.3637299924728513,0.6069335816983659,1.0,1.0,0.0,0.38740716503979555,0.5758091997764019,1.0,1.6547384123914117,0.5683316062026343,0.12454932775183107,-0.2861258198209119,-0.28717520136556407,-0.0002012870818012269,-0.00015435286174358964,-0.15736429676119573,-0.15789285047907298,-0.1584061429093293,-0.15895167687243955,-2.1117933189739535,-2.1016569404104652,-0.3026206222026737,-0.2729329974191431,0.029687624783530597,True,Propagation lost,False
initial_location_000,initial_location,mild,coupled,0.45,1500,center_of_mass,79.5,0.9986806250000001,0.6671752860832842,0.6736852355290744,0.8755157970839887,0.49681596219142926,0.28688179450963835,1.0,0.7741974677186457,0.11290126614067711,0.36563030337409463,0.7413549936147186,1.0,7.842889159199944,2.014036382077289,0.5903208556247309,0.06948337785872247,0.07066960249752474,0.09163699293689254,0.09189938988207702,0.06899956949242175,0.06900063141638108,0.025896350586088412,0.025640749155677267,0.3406738438096397,0.3438388255388132,0.06937038255225139,0.07198359423617465,0.0026132116839232555,True,Robust propagation retained,True
initial_location_000,initial_location,mild,coupled,0.45,1500,joint_basin,79.5,0.9986806250000001,0.990365404908888,0.9912146800413788,0.9964872383337313,0.6753859311040752,0.5603755052678436,1.0,0.999946916746121,2.6541626939459374e-05,0.43215080287801727,0.6971547937356761,1.0,6.009591184972345,1.43399199384868,0.452331639164034,-0.04442312556526662,-0.05456803275122246,-0.004721104941978749,-0.004575301705456725,0.3698436840002737,0.369761235474103,0.3738159300271217,0.37372155619151876,4.9651950085236205,4.9599272035703805,-0.06333960054000999,-0.045673226456588084,0.017666374083421907,True,Entropy-only pseudo-risk,False
initial_location_000,initial_location,mild,coupled,0.45,2400,boundary_v2_regime_sequence,79.5,0.9986806250000001,0.9957757046244027,0.9958749174076942,0.9988430579924336,0.4794240356178812,0.6603207763813901,1.0,1.0,0.0,0.3361255641342232,0.6445047987143575,1.0,1.2234810138078318,0.4936450410579106,0.09208932226162699,-0.24812343853322993,-0.24854542918657385,-0.00024203696898750238,-0.00031901319891958213,-0.22939472400681146,-0.2298870379137483,-0.23028950731282571,-0.23075883858389984,-3.0658085041622094,-3.0554087995676658,-0.2657026027712779,-0.23212782074769478,0.033574782023583105,True,Propagation lost,False
initial_location_000,initial_location,mild,coupled,0.45,2400,center_of_mass,79.5,0.9986806250000001,0.7232310086283658,0.7279409595619057,0.9293721797779723,0.5348641627371761,0.28622052419172456,1.0,0.7172872816567091,0.1413563591716454,0.4063317103088667,0.7489380607192435,1.0,8.524982155735717,1.9605628719345938,0.6416608137255475,0.07736966416545599,0.07812583038978851,0.16958773104522396,0.16983715560877666,0.13922990708254895,0.13916423717125948,0.0549308676065956,0.054547750282710195,0.7247275583555854,0.7290865282046175,0.07695120153772332,0.07933797219403378,0.0023867706563104607,True,Robust propagation retained,True
initial_location_000,initial_location,mild,coupled,0.45,2400,joint_basin,79.5,0.9986806250000001,0.9916602357293934,0.9922812949266573,0.9973659984646591,0.7388847322011916,0.5171940149420575,1.0,0.9273988039201502,0.03630059803992489,0.4361441623861994,0.7244432773109244,1.0,6.593605094134541,1.4659248514801997,0.49628936844157145,-0.11767291111485967,-0.12077769452891662,-0.0009160255643452242,-0.0008152658752053066,0.4222773668443635,0.4223071022656275,0.4258937041695654,0.42591651820978954,5.65864700618845,5.650906172199187,-0.13162292515521382,-0.11079681030622895,0.02082611484898486,True,Entropy-only pseudo-risk,False
initial_location_000,initial_location,mild,coupled,0.5,900,boundary_v2_regime_sequence,79.5,0.9987225000000001,0.9928452525478605,0.9932919839438616,0.9970126471633629,0.36573642076295654,0.587938402619674,1.0,1.0,0.0,0.40605484088864036,0.5659915413533835,1.0,1.9893057941576295,0.6631601134076016,0.14973095936116587,-0.27368236589707584,-0.27350567419055016,-0.0012589293691789294,-0.0013672203420467266,-0.09008068494676202,-0.0904480832182023,-0.09042531545456131,-0.09076869428364384,-1.2059328146381667,-1.1997424101094718,-0.28460060444774155,-0.2604133637958566,0.024187240651884934,True,Propagation lost,False
