variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,Delta_R,Delta_H_weighted_product,Delta_breadth_vs_product,Delta_breadth_vs_shuffled,macro_path_entropy,macro_node_entropy,breadth_index
initial_location_000,initial_location,mild,0.45,900,boundary_v2_regime_sequence,-1.10941071417162,-1.102976411586131,-0.08313649003571441,-0.08350396882365843,2.0848884855196577,0.6903183197166284,0.15692598803214874
initial_location_000,initial_location,mild,0.45,900,center_of_mass,0.11041127585156829,0.11852092870813458,0.00891580147794424,0.008309349907911212,7.13918705338517,2.110949111808874,0.5373544003926571
initial_location_000,initial_location,mild,0.45,900,joint_basin,3.308103932254094,3.3037390736504886,0.2489926333115697,0.24899514233529402,4.41973847528638,1.2253471923641266,0.33266615610100286
initial_location_000,initial_location,mild,0.45,1500,boundary_v2_regime_sequence,-2.1117933189739535,-2.1016569404104652,-0.1584061429093293,-0.15895167687243955,1.6547384123914117,0.5683316062026343,0.12454932775183107
initial_location_000,initial_location,mild,0.45,1500,center_of_mass,0.3406738438096397,0.3438388255388132,0.025896350586088412,0.025640749155677267,7.842889159199944,2.014036382077289,0.5903208556247309
initial_location_000,initial_location,mild,0.45,1500,joint_basin,4.9651950085236205,4.9599272035703805,0.3738159300271217,0.37372155619151876,6.009591184972345,1.43399199384868,0.452331639164034
initial_location_000,initial_location,mild,0.45,2400,boundary_v2_regime_sequence,-3.0658085041622094,-3.0554087995676658,-0.23028950731282571,-0.23075883858389984,1.2234810138078318,0.4936450410579106,0.09208932226162699
initial_location_000,initial_location,mild,0.45,2400,center_of_mass,0.7247275583555854,0.7290865282046175,0.0549308676065956,0.054547750282710195,8.524982155735717,1.9605628719345938,0.6416608137255475
initial_location_000,initial_location,mild,0.45,2400,joint_basin,5.65864700618845,5.650906172199187,0.4258937041695654,0.42591651820978954,6.593605094134541,1.4659248514801997,0.49628936844157145
initial_location_000,initial_location,mild,0.5,900,boundary_v2_regime_sequence,-1.2059328146381667,-1.1997424101094718,-0.09042531545456131,-0.09076869428364384,1.9893057941576295,0.6631601134076016,0.14973095936116587
initial_location_000,initial_location,mild,0.5,900,center_of_mass,0.12500342119062058,0.12235656537511552,0.009204419778144013,0.009407410560869134,7.149745650630825,2.1187977112294627,0.5381466699975366
initial_location_000,initial_location,mild,0.5,900,joint_basin,3.8648803150164452,3.857856752833424,0.29074172102947493,0.2909013929457842,4.9740094266680845,1.3716962018389607,0.3743834836177179
initial_location_000,initial_location,mild,0.5,1500,boundary_v2_regime_sequence,-2.2051275951387774,-2.1948224274825936,-0.1654201216752875,-0.1659761471939973,1.563289385586352,0.5486709623103454,0.11766557958563864
