witness_id,carrier_id,system_id,source_count,intervention_count,transition_edge_count,deterministic_transition,target_support_size,target_support,effect_by_intervention_signature,target_support_by_intervention_signature,target_count_by_intervention_signature
same_intervention_effect_different_declared_recovery_v0,X2_dn_intervention_panel,effect_with_declared_d_carried,4,2,8,1,4,00;01;10;11,set_effect_0:0;set_effect_1:1,"set_effect_0:00,01;set_effect_1:10,11",set_effect_0:2;set_effect_1:2
same_intervention_effect_different_declared_recovery_v0,X2_dn_intervention_panel,effect_with_nuisance_n_carried,4,2,8,1,4,00;01;10;11,set_effect_0:0;set_effect_1:1,"set_effect_0:00,01;set_effect_1:10,11",set_effect_0:2;set_effect_1:2
