witness_id,metric,declared_system_value,nuisance_system_value,expected_relation,relation_holds
same_intervention_effect_different_declared_recovery_v0,source_count,4,4,matched,1
same_intervention_effect_different_declared_recovery_v0,intervention_count,2,2,matched,1
same_intervention_effect_different_declared_recovery_v0,transition_edge_count,8,8,matched,1
same_intervention_effect_different_declared_recovery_v0,deterministic_transition,1,1,matched,1
same_intervention_effect_different_declared_recovery_v0,target_support_size,4,4,matched,1
same_intervention_effect_different_declared_recovery_v0,target_support,00;01;10;11,00;01;10;11,matched,1
same_intervention_effect_different_declared_recovery_v0,effect_by_intervention_signature,set_effect_0:0;set_effect_1:1,set_effect_0:0;set_effect_1:1,matched,1
same_intervention_effect_different_declared_recovery_v0,target_support_by_intervention_signature,"set_effect_0:00,01;set_effect_1:10,11","set_effect_0:00,01;set_effect_1:10,11",matched,1
same_intervention_effect_different_declared_recovery_v0,target_count_by_intervention_signature,set_effect_0:2;set_effect_1:2,set_effect_0:2;set_effect_1:2,matched,1
same_intervention_effect_different_declared_recovery_v0,declared_recovery_signature,effect_with_declared_d_carried:1:0->{0};1->{1},"effect_with_nuisance_n_carried:0:0->{0,1};1->{0,1}",different,1
