witness_id,system_id,system_role,transition_rule
same_intervention_effect_different_declared_recovery_v0,effect_with_declared_d_carried,declared_recovery_positive,target = intervention effect bit + source d
same_intervention_effect_different_declared_recovery_v0,effect_with_nuisance_n_carried,matched_intervention_effect_control,target = intervention effect bit + source n
